"arc_length","T"
0,92.2366
0.1,92.2102
0.2,92.1839
0.3,92.1575
0.4,92.1311
0.5,92.1046
0.6,92.0782
0.7,92.0517
0.8,92.0252
0.9,91.9987
1,91.9722
1.1,91.9456
1.2,91.9191
1.3,91.8925
1.4,91.8659
1.5,91.8392
1.6,91.8126
1.7,91.7859
1.8,91.7592
1.9,91.7325
2,91.7058
2.1,91.6791
2.2,91.6523
2.3,91.6255
2.4,91.5987
2.5,91.5719
2.6,91.5451
2.7,91.5182
2.8,91.4913
2.9,91.4644
3,91.4375
3.1,91.4106
3.2,91.3836
3.3,91.3567
3.4,91.3297
3.5,91.3026
3.6,91.2756
3.7,91.2485
3.8,91.2215
3.9,91.1944
4,91.1673
4.1,91.1401
4.2,91.113
4.3,91.0858
4.4,91.0586
4.5,91.0314
4.6,91.0041
4.7,90.9769
4.8,90.9496
4.9,90.9223
5,90.895
5.1,90.8676
5.2,90.8403
5.3,90.8129
5.4,90.7855
5.5,90.758
5.6,90.7306
5.7,90.7031
5.8,90.6757
5.9,90.6481
6,90.6206
6.1,90.5931
6.2,90.5655
6.3,90.5379
6.4,90.5103
6.5,90.4827
6.6,90.455
6.7,90.4273
6.8,90.3996
6.9,90.3719
7,90.3442
7.1,90.3164
7.2,90.2886
7.3,90.2608
7.4,90.233
7.5,90.2052
7.6,90.1773
7.7,90.1494
7.8,90.1215
7.9,90.0936
8,90.0656
8.1,90.0376
8.2,90.0096
8.3,89.9816
8.4,89.9536
8.5,89.9255
8.6,89.8974
8.7,89.8693
8.8,89.8412
8.9,89.813
9,89.7849
9.1,89.7567
9.2,89.7285
9.3,89.7002
9.4,89.672
9.5,89.6437
9.6,89.6154
9.7,89.587
9.8,89.5587
9.9,89.5303
10,89.5019
10.1,89.4735
10.2,89.4451
10.3,89.4166
10.4,89.3881
10.5,89.3596
10.6,89.3311
10.7,89.3025
10.8,89.2739
10.9,89.2453
11,89.2167
11.1,89.1881
11.2,89.1594
11.3,89.1307
11.4,89.102
11.5,89.0732
11.6,89.0445
11.7,89.0157
11.8,88.9869
11.9,88.9581
12,88.9292
12.1,88.9003
12.2,88.8714
12.3,88.8425
12.4,88.8135
12.5,88.7846
12.6,88.7556
12.7,88.7266
12.8,88.6975
12.9,88.6684
13,88.6393
13.1,88.6102
13.2,88.5811
13.3,88.5519
13.4,88.5227
13.5,88.4935
13.6,88.4643
13.7,88.435
13.8,88.4058
13.9,88.3764
14,88.3471
14.1,88.3178
14.2,88.2884
14.3,88.259
14.4,88.2295
14.5,88.2001
14.6,88.1706
14.7,88.1411
14.8,88.1116
14.9,88.082
15,88.0524
15.1,88.0228
15.2,87.9932
15.3,87.9636
15.4,87.9339
15.5,87.9042
15.6,87.8744
15.7,87.8447
15.8,87.8149
15.9,87.7851
16,87.7553
16.1,87.7254
16.2,87.6955
16.3,87.6656
16.4,87.6357
16.5,87.6057
16.6,87.5758
16.7,87.5458
16.8,87.5157
16.9,87.4857
17,87.4556
17.1,87.4255
17.2,87.3953
17.3,87.3652
17.4,87.335
17.5,87.3048
17.6,87.2745
17.7,87.2443
17.8,87.214
17.9,87.1836
18,87.1533
18.1,87.1229
18.2,87.0925
18.3,87.0621
18.4,87.0316
18.5,87.0012
18.6,86.9707
18.7,86.9401
18.8,86.9096
18.9,86.879
19,86.8484
19.1,86.8177
19.2,86.7871
19.3,86.7564
19.4,86.7256
19.5,86.6949
19.6,86.6641
19.7,86.6333
19.8,86.6025
19.9,86.5716
20,86.5407
20.1,86.5098
20.2,86.4789
20.3,86.4479
20.4,86.4169
20.5,86.3859
20.6,86.3548
20.7,86.3238
20.8,86.2926
20.9,86.2615
21,86.2303
21.1,86.1991
21.2,86.1679
21.3,86.1367
21.4,86.1054
21.5,86.0741
21.6,86.0428
21.7,86.0114
21.8,85.98
21.9,85.9486
22,85.9171
22.1,85.8857
22.2,85.8541
22.3,85.8226
22.4,85.791
22.5,85.7595
22.6,85.7278
22.7,85.6962
22.8,85.6645
22.9,85.6328
23,85.601
23.1,85.5693
23.2,85.5375
23.3,85.5056
23.4,85.4738
23.5,85.4419
23.6,85.41
23.7,85.378
23.8,85.3461
23.9,85.314
24,85.282
24.1,85.2499
24.2,85.2178
24.3,85.1857
24.4,85.1536
24.5,85.1214
24.6,85.0891
24.7,85.0569
24.8,85.0246
24.9,84.9923
25,84.96
25.1,84.9276
25.2,84.8952
25.3,84.8627
25.4,84.8303
25.5,84.7978
25.6,84.7653
25.7,84.7327
25.8,84.7001
25.9,84.6675
26,84.6348
26.1,84.6021
26.2,84.5694
26.3,84.5367
26.4,84.5039
26.5,84.4711
26.6,84.4382
26.7,84.4054
26.8,84.3725
26.9,84.3395
27,84.3066
27.1,84.2735
27.2,84.2405
27.3,84.2074
27.4,84.1743
27.5,84.1412
27.6,84.108
27.7,84.0748
27.8,84.0416
27.9,84.0083
28,83.975
28.1,83.9417
28.2,83.9083
28.3,83.875
28.4,83.8415
28.5,83.8081
28.6,83.7746
28.7,83.741
28.8,83.7075
28.9,83.6739
29,83.6402
29.1,83.6066
29.2,83.5729
29.3,83.5391
29.4,83.5054
29.5,83.4716
29.6,83.4377
29.7,83.4039
29.8,83.3699
29.9,83.336
30,83.302
30.1,83.268
30.2,83.234
30.3,83.1999
30.4,83.1658
30.5,83.1316
30.6,83.0975
30.7,83.0632
30.8,83.029
30.9,82.9947
31,82.9604
31.1,82.926
31.2,82.8916
31.3,82.8572
31.4,82.8227
31.5,82.7882
31.6,82.7537
31.7,82.7191
31.8,82.6845
31.9,82.6498
32,82.6152
32.1,82.5804
32.2,82.5457
32.3,82.5109
32.4,82.476
32.5,82.4412
32.6,82.4063
32.7,82.3713
32.8,82.3364
32.9,82.3013
33,82.2663
33.1,82.2312
33.2,82.1961
33.3,82.1609
33.4,82.1257
33.5,82.0905
33.6,82.0552
33.7,82.0199
33.8,81.9845
33.9,81.9491
34,81.9137
34.1,81.8782
34.2,81.8427
34.3,81.8072
34.4,81.7716
34.5,81.736
34.6,81.7003
34.7,81.6646
34.8,81.6288
34.9,81.5931
35,81.5572
35.1,81.5214
35.2,81.4855
35.3,81.4496
35.4,81.4136
35.5,81.3776
35.6,81.3415
35.7,81.3054
35.8,81.2693
35.9,81.2331
36,81.1969
36.1,81.1606
36.2,81.1243
36.3,81.088
36.4,81.0516
36.5,81.0152
36.6,80.9787
36.7,80.9422
36.8,80.9057
36.9,80.8691
37,80.8325
37.1,80.7958
37.2,80.7591
37.3,80.7223
37.4,80.6855
37.5,80.6487
37.6,80.6118
37.7,80.5749
37.8,80.5379
37.9,80.5009
38,80.4639
38.1,80.4268
38.2,80.3897
38.3,80.3525
38.4,80.3153
38.5,80.278
38.6,80.2407
38.7,80.2033
38.8,80.166
38.9,80.1285
39,80.091
39.1,80.0535
39.2,80.0159
39.3,79.9783
39.4,79.9407
39.5,79.903
39.6,79.8652
39.7,79.8274
39.8,79.7896
39.9,79.7517
40,79.7138
40.1,79.6758
40.2,79.6378
40.3,79.5998
40.4,79.5617
40.5,79.5235
40.6,79.4853
40.7,79.4471
40.8,79.4088
40.9,79.3704
41,79.3321
41.1,79.2936
41.2,79.2552
41.3,79.2166
41.4,79.1781
41.5,79.1394
41.6,79.1008
41.7,79.0621
41.8,79.0233
41.9,78.9845
42,78.9457
42.1,78.9068
42.2,78.8678
42.3,78.8288
42.4,78.7898
42.5,78.7507
42.6,78.7115
42.7,78.6723
42.8,78.6331
42.9,78.5938
43,78.5545
43.1,78.5151
43.2,78.4756
43.3,78.4362
43.4,78.3966
43.5,78.357
43.6,78.3174
43.7,78.2777
43.8,78.238
43.9,78.1982
44,78.1584
44.1,78.1185
44.2,78.0785
44.3,78.0385
44.4,77.9985
44.5,77.9584
44.6,77.9183
44.7,77.8781
44.8,77.8378
44.9,77.7975
45,77.7572
45.1,77.7167
45.2,77.6763
45.3,77.6358
45.4,77.5952
45.5,77.5546
45.6,77.5139
45.7,77.4732
45.8,77.4324
45.9,77.3916
46,77.3507
46.1,77.3098
46.2,77.2688
46.3,77.2277
46.4,77.1866
46.5,77.1455
46.6,77.1043
46.7,77.063
46.8,77.0217
46.9,76.9803
47,76.9389
47.1,76.8974
47.2,76.8558
47.3,76.8142
47.4,76.7726
47.5,76.7308
47.6,76.6891
47.7,76.6472
47.8,76.6054
47.9,76.5634
48,76.5214
48.1,76.4794
48.2,76.4372
48.3,76.3951
48.4,76.3528
48.5,76.3105
48.6,76.2682
48.7,76.2258
48.8,76.1833
48.9,76.1408
49,76.0982
49.1,76.0556
49.2,76.0129
49.3,75.9701
49.4,75.9273
49.5,75.8844
49.6,75.8414
49.7,75.7984
49.8,75.7553
49.9,75.7122
50,75.669
50.1,75.6258
50.2,75.5825
50.3,75.5391
50.4,75.4956
50.5,75.4521
50.6,75.4086
50.7,75.3649
50.8,75.3212
50.9,75.2775
51,75.2337
51.1,75.1898
51.2,75.1458
51.3,75.1018
51.4,75.0578
51.5,75.0136
51.6,74.9694
51.7,74.9251
51.8,74.8808
51.9,74.8364
52,74.7919
52.1,74.7474
52.2,74.7028
52.3,74.6581
52.4,74.6134
52.5,74.5686
52.6,74.5237
52.7,74.4788
52.8,74.4338
52.9,74.3887
53,74.3436
53.1,74.2984
53.2,74.2531
53.3,74.2077
53.4,74.1623
53.5,74.1168
53.6,74.0713
53.7,74.0256
53.8,73.9799
53.9,73.9342
54,73.8883
54.1,73.8424
54.2,73.7964
54.3,73.7504
54.4,73.7043
54.5,73.6581
54.6,73.6118
54.7,73.5655
54.8,73.519
54.9,73.4725
55,73.426
55.1,73.3793
55.2,73.3326
55.3,73.2858
55.4,73.239
55.5,73.1921
55.6,73.145
55.7,73.098
55.8,73.0508
55.9,73.0036
56,72.9562
56.1,72.9088
56.2,72.8614
56.3,72.8138
56.4,72.7662
56.5,72.7185
56.6,72.6707
56.7,72.6229
56.8,72.5749
56.9,72.5269
57,72.4788
57.1,72.4306
57.2,72.3824
57.3,72.334
57.4,72.2856
57.5,72.2371
57.6,72.1885
57.7,72.1399
57.8,72.0911
57.9,72.0423
58,71.9934
58.1,71.9444
58.2,71.8953
58.3,71.8461
58.4,71.7969
58.5,71.7476
58.6,71.6982
58.7,71.6486
58.8,71.5991
58.9,71.5494
59,71.4996
59.1,71.4498
59.2,71.3999
59.3,71.3498
59.4,71.2997
59.5,71.2495
59.6,71.1992
59.7,71.1489
59.8,71.0984
59.9,71.0479
60,70.9972
60.1,70.9465
