"arc_length","N"
0,1
0.1,1.00029
0.2,1.00057
0.3,1.00086
0.4,1.00115
0.5,1.00143
0.6,1.00172
0.7,1.00201
0.8,1.0023
0.9,1.00259
1,1.00288
1.1,1.00316
1.2,1.00345
1.3,1.00375
1.4,1.00404
1.5,1.00433
1.6,1.00462
1.7,1.00491
1.8,1.0052
1.9,1.0055
2,1.00579
2.1,1.00608
2.2,1.00638
2.3,1.00667
2.4,1.00696
2.5,1.00726
2.6,1.00755
2.7,1.00785
2.8,1.00815
2.9,1.00844
3,1.00874
3.1,1.00904
3.2,1.00933
3.3,1.00963
3.4,1.00993
3.5,1.01023
3.6,1.01053
3.7,1.01083
3.8,1.01113
3.9,1.01143
4,1.01173
4.1,1.01203
4.2,1.01233
4.3,1.01263
4.4,1.01294
4.5,1.01324
4.6,1.01354
4.7,1.01385
4.8,1.01415
4.9,1.01446
5,1.01476
5.1,1.01507
5.2,1.01537
5.3,1.01568
5.4,1.01598
5.5,1.01629
5.6,1.0166
5.7,1.01691
5.8,1.01722
5.9,1.01752
6,1.01783
6.1,1.01814
6.2,1.01845
6.3,1.01876
6.4,1.01907
6.5,1.01939
6.6,1.0197
6.7,1.02001
6.8,1.02032
6.9,1.02063
7,1.02095
7.1,1.02126
7.2,1.02158
7.3,1.02189
7.4,1.02221
7.5,1.02252
7.6,1.02284
7.7,1.02315
7.8,1.02347
7.9,1.02379
8,1.02411
8.1,1.02442
8.2,1.02474
8.3,1.02506
8.4,1.02538
8.5,1.0257
8.6,1.02602
8.7,1.02634
8.8,1.02666
8.9,1.02699
9,1.02731
9.1,1.02763
9.2,1.02795
9.3,1.02828
9.4,1.0286
9.5,1.02893
9.6,1.02925
9.7,1.02958
9.8,1.0299
9.9,1.03023
10,1.03056
10.1,1.03088
10.2,1.03121
10.3,1.03154
10.4,1.03187
10.5,1.0322
10.6,1.03253
10.7,1.03286
10.8,1.03319
10.9,1.03352
11,1.03385
11.1,1.03418
11.2,1.03451
11.3,1.03485
11.4,1.03518
11.5,1.03552
11.6,1.03585
11.7,1.03619
11.8,1.03652
11.9,1.03686
12,1.03719
12.1,1.03753
12.2,1.03787
12.3,1.03821
12.4,1.03854
12.5,1.03888
12.6,1.03922
12.7,1.03956
12.8,1.0399
12.9,1.04024
13,1.04058
13.1,1.04093
13.2,1.04127
13.3,1.04161
13.4,1.04196
13.5,1.0423
13.6,1.04264
13.7,1.04299
13.8,1.04333
13.9,1.04368
14,1.04403
14.1,1.04437
14.2,1.04472
14.3,1.04507
14.4,1.04542
14.5,1.04577
14.6,1.04612
14.7,1.04647
14.8,1.04682
14.9,1.04717
15,1.04752
15.1,1.04787
15.2,1.04823
15.3,1.04858
15.4,1.04893
15.5,1.04929
15.6,1.04964
15.7,1.05
15.8,1.05035
15.9,1.05071
16,1.05107
16.1,1.05143
16.2,1.05178
16.3,1.05214
16.4,1.0525
16.5,1.05286
16.6,1.05322
16.7,1.05358
16.8,1.05395
16.9,1.05431
17,1.05467
17.1,1.05503
17.2,1.0554
17.3,1.05576
17.4,1.05613
17.5,1.05649
17.6,1.05686
17.7,1.05722
17.8,1.05759
17.9,1.05796
18,1.05833
18.1,1.0587
18.2,1.05907
18.3,1.05944
18.4,1.05981
18.5,1.06018
18.6,1.06055
18.7,1.06092
18.8,1.0613
18.9,1.06167
19,1.06204
19.1,1.06242
19.2,1.06279
19.3,1.06317
19.4,1.06355
19.5,1.06392
19.6,1.0643
19.7,1.06468
19.8,1.06506
19.9,1.06544
20,1.06582
20.1,1.0662
20.2,1.06658
20.3,1.06696
20.4,1.06735
20.5,1.06773
20.6,1.06811
20.7,1.0685
20.8,1.06888
20.9,1.06927
21,1.06966
21.1,1.07004
21.2,1.07043
21.3,1.07082
21.4,1.07121
21.5,1.0716
21.6,1.07199
21.7,1.07238
21.8,1.07277
21.9,1.07316
22,1.07356
22.1,1.07395
22.2,1.07434
22.3,1.07474
22.4,1.07513
22.5,1.07553
22.6,1.07593
22.7,1.07632
22.8,1.07672
22.9,1.07712
23,1.07752
23.1,1.07792
23.2,1.07832
23.3,1.07872
23.4,1.07912
23.5,1.07953
23.6,1.07993
23.7,1.08034
23.8,1.08074
23.9,1.08115
24,1.08155
24.1,1.08196
24.2,1.08237
24.3,1.08277
24.4,1.08318
24.5,1.08359
24.6,1.084
24.7,1.08441
24.8,1.08483
24.9,1.08524
25,1.08565
25.1,1.08607
25.2,1.08648
25.3,1.08689
25.4,1.08731
25.5,1.08773
25.6,1.08815
25.7,1.08856
25.8,1.08898
25.9,1.0894
26,1.08982
26.1,1.09024
