# Nnorm    = 1e+20 1/m^3
# Tnorm    = 100.0 eV
# Pnorm    = 1602.176634 Pa
# Cs0      = 69205.61141651045 m/s
# Cst      = 69886.01296924929 m/s
# Nesource = 1.5999999999999998e+22 m/s
# PeSource = 533333.3333333334 m/s
ypos,M,Ne,Te,P,Nn,NVi,Cs
0.0,-0.0012645841669100687,0.11219029035652166,0.5173924773552125,0.11609282452552269,0.0,70398.97934520055,-0.00014432051328906238
0.0625,0.0012645841669100687,0.11219029035652166,0.5173924773552125,0.11609282452552269,0.0,70398.97934520055,0.00014432051328906238
0.1875,0.003797291762759722,0.11218905439676774,0.5173919795933153,0.1160914338860916,0.0,70398.94548121965,0.0004333604750237993
0.3125,0.0063309914821779376,0.11218626775923822,0.51739099247082,0.11608832883509886,0.0,70398.87832477095,0.0007224966851779363
0.4375,0.008863669319763408,0.11218226840588992,0.5173895211730904,0.116083860269269,0.0,70398.7782285333,0.0010114899567191665
0.5625,0.011396477360888549,0.1121769535832713,0.5173875697519188,0.11607792279324508,0.0,70398.64546802094,0.0013004608033045904
0.6875,0.01392990548693563,0.11217028115022214,0.5173851368010074,0.11607047251583029,0.0,70398.47994737452,0.0015894539509193038
0.8125,0.01646387397831706,0.11216227054163719,0.5173822188095717,0.11606152879910342,0.0,70398.2814275132,0.001878449710748702
0.9375,0.018998420075110222,0.11215292755577166,0.5173788074275422,0.11605109581662536,0.0,70398.04934007443,0.0021674416582764732
1.0625,0.021533669408027645,0.11214224789451593,0.5173748994332669,0.11603916845329133,0.0,70397.78346554558,0.002456433287604182
1.1875,0.024069725261363684,0.11213022965526481,0.5173704940868118,0.11602574463762406,0.0,70397.48375320318,0.0027454255503500066
1.3125,0.026606676888346597,0.11211687239435177,0.5173655978472352,0.116010825430132,0.0,70397.1506420522,0.003034417826667776
1.4375,0.029144617880964972,0.11210217509220848,0.5173602178155561,0.11599441144660516,0.0,70396.78461473345,0.003323409967148771
1.5625,0.03168364432951005,0.11208613637816006,0.5173543611045182,0.11597650294919379,0.0,70396.38615464885,0.003612402079900198
1.6875,0.03422385192417701,0.11206875487220012,0.517348033027161,0.11595709979387163,0.0,70395.95562272241,0.0039013941991695987
1.8125,0.03676533663643112,0.1120500291376841,0.517341230392109,0.11593619987912229,0.0,70395.49280123776,0.004190386330157983
1.9375,0.0393081950368989,0.1120299576151081,0.5173339484621691,0.11591380063814663,0.0,70394.99736725684,0.004479378498755695
2.0625,0.041852524130399346,0.11200853861558807,0.5173261820662619,0.1158898992816473,0.0,70394.46896826722,0.004768370732442913
2.1875,0.04439842099837731,0.11198577031531778,0.5173179305818686,0.1158644939082733,0.0,70393.90756117202,0.005057363039983152
2.3125,0.046945982821900496,0.11196165074483651,0.517309195700333,0.11583758299218591,0.0,70393.31326025704,0.005346355405220207
2.4375,0.049495306592343295,0.11193617778793674,0.517299987761443,0.11580916679952478,0.0,70392.68676819338,0.005635347788553156
2.5625,0.05204648992595055,0.11190934919276048,0.5172903096444728,0.11577924379206901,0.0,70392.02828002501,0.005924340136833953
2.6875,0.054599631119955146,0.11188116258966649,0.517280160768977,0.11574781154280547,0.0,70391.3377553606,0.00621333240112169
2.8125,0.057154829196079206,0.11185161550944199,0.5172695403680372,0.11571486748798294,0.0,70390.61514107573,0.006502324555402278
2.9375,0.059712184250726795,0.11182070539503375,0.5172584437542891,0.11568040810428397,0.0,70389.86011724784,0.006791316609536673
3.0625,0.062271797396275794,0.11178842960043221,0.5172468646408158,0.11564442942788825,0.0,70389.07225505932,0.007080308610170519
3.1875,0.06483377029530034,0.11175478537504031,0.5172348013619381,0.11560692842941,0.0,70388.25144006991,0.007369300626054732
3.3125,0.06739820479666357,0.11171976983819006,0.5172222586680673,0.11556790338717055,0.0,70387.39799436218,0.00765829272176166
3.4375,0.06996520325754783,0.11168337995266746,0.5172092390211022,0.1155273519132475,0.0,70386.51208426796,0.007947284931255964
3.5625,0.07253486776012148,0.11164561250774575,0.5171957526374175,0.11548527317921806,0.0,70385.59440373878,0.008236277240823929
3.6875,0.07510730118639287,0.1116064641199274,0.5171818020021965,0.11544166445727509,0.0,70384.64512063956,0.008525269590619156
3.8125,0.07768260718663107,0.11156593125210022,0.5171673863968428,0.11539652215315703,0.0,70383.66418479307,0.008814261896416197
3.9375,0.08026089058003477,0.1115240102432736,0.5171525011806156,0.11534984167800309,0.0,70382.65127908158,0.009103254082956489
4.0625,0.08284225744601836,0.1114806973364445,0.5171371409017046,0.11530161817259436,0.0,70381.60603113307,0.009392246115956944
4.1875,0.08542681531289777,0.11143598869213445,0.5171212991551335,0.11525184649022667,0.0,70380.52800364594,0.009681238019054404
4.3125,0.08801467246939977,0.11138988037969301,0.517104976456452,0.11520052294245633,0.0,70379.41723019783,0.009970229866549898
4.4375,0.09060593765711909,0.11134236834736272,0.5170881802383365,0.11514764526432869,0.0,70378.2742150503,0.010259221752429971
4.5625,0.09320072091362365,0.11129344838189259,0.5170709112254492,0.1150932095364954,0.0,70377.09900594839,0.010548213749272915
4.6875,0.09579913246651876,0.1112431160737419,0.5170531735953331,0.11503721241312453,0.0,70375.891885581,0.010837205872683274
4.8125,0.09840128370299492,0.11119136680257434,0.5170349635537048,0.1149796485645113,0.0,70374.65259408238,0.011126198067000105
4.9375,0.10100728633756693,0.11113819575001355,0.5170162805520458,0.11492051318787438,0.0,70373.38109242226,0.011415190220372042
5.0625,0.10361725370191235,0.11108359793565128,0.5169971176654189,0.11485979990527198,0.0,70372.07690755396,0.011704182205371005
5.1875,0.10623130010715863,0.11102756826277364,0.5169774730214404,0.11479750335240838,0.0,70370.73991022633,0.01199317393114811
5.3125,0.10884954179133405,0.11097010155514798,0.5169573437817622,0.11473361787828339,0.0,70369.369905388,0.012282165386300541
5.4375,0.11147209598672482,0.1109111925684744,0.5169367363403573,0.11466813981992809,0.0,70367.96732630058,0.012571156654111829
5.5625,0.11409908159793858,0.11085083596970408,0.5169156579979974,0.11460106562981534,0.0,70366.53266793479,0.012860147892798234
5.6875,0.11673061934377614,0.11078902628909046,0.5168941124938708,0.11453239083551908,0.0,70365.06618283733,0.01314913928655913
5.8125,0.11936683101947748,0.11072575785958641,0.5168721028025419,0.11446211059857903,0.0,70363.568071487,0.013438130982118242
5.9375,0.12200783983339902,0.11066102476371653,0.5168496249893484,0.11439021830012776,0.0,70362.0380640384,0.013727123032299046
6.0625,0.12465376934847415,0.11059482080634501,0.516826676284761,0.11431670730330405,0.0,70360.47596988968,0.014016115367430566
6.1875,0.12730474426091223,0.1105271395230494,0.5168032497957649,0.11424156979228374,0.0,70358.88131768763,0.014305107806386975
6.3125,0.1299608894916031,0.11045797422205088,0.5167793456016898,0.11416479926991956,0.0,70357.25411061864,0.014594100104796262
6.4375,0.1326223311352429,0.1103873180475623,0.5167549675189542,0.11408638990434505,0.0,70355.5946062244,0.014883092027919728
