"arc_length","T"
0,62.4097
0.025,62.4099
0.05,62.4101
0.075,62.4104
0.1,62.4106
0.125,62.4109
0.15,62.4111
0.175,62.4114
0.2,62.4116
0.225,62.4118
0.25,62.412
0.275,62.4122
0.3,62.4124
0.325,62.4126
0.35,62.4127
0.375,62.4129
0.4,62.4131
0.425,62.4133
0.45,62.4135
0.475,62.4137
0.5,62.4138
0.525,62.414
0.55,62.4141
0.575,62.4141
0.6,62.4142
0.625,62.4142
0.65,62.4142
0.675,62.4141
0.7,62.414
0.725,62.4139
0.75,62.4138
0.775,62.4136
0.8,62.4135
0.825,62.4133
0.85,62.4131
0.875,62.4129
0.9,62.4127
0.925,62.4126
0.95,62.4124
0.975,62.4122
1,62.412
1.025,62.4119
1.05,62.4117
1.075,62.4114
1.1,62.4112
1.125,62.411
1.15,62.4108
1.175,62.4105
1.2,62.4103
1.225,62.4102
1.25,62.41
1.275,62.4098
1.3,62.4096
1.325,62.4094
1.35,62.4091
1.375,62.4088
1.4,62.4085
1.425,62.4082
1.45,62.4078
1.475,62.4074
1.5,62.4071
1.525,62.4067
1.55,62.4063
1.575,62.4059
1.6,62.4055
1.625,62.4051
1.65,62.4047
1.675,62.4043
1.7,62.4038
1.725,62.4034
1.75,62.4029
1.775,62.4024
1.8,62.402
1.825,62.4015
1.85,62.401
1.875,62.4005
1.9,62.4
1.925,62.3995
1.95,62.3989
1.975,62.3984
2,62.3978
2.025,62.3973
2.05,62.3967
2.075,62.3961
2.1,62.3955
2.125,62.3949
2.15,62.3943
2.175,62.3937
2.2,62.3931
2.225,62.3924
2.25,62.3918
2.275,62.3911
2.3,62.3904
2.325,62.3897
2.35,62.3891
2.375,62.3883
2.4,62.3876
2.425,62.3869
2.45,62.3862
2.475,62.3854
2.5,62.3846
2.525,62.3839
2.55,62.3831
2.575,62.3823
2.6,62.3815
2.625,62.3807
2.65,62.3798
2.675,62.379
2.7,62.3782
2.725,62.3773
2.75,62.3764
2.775,62.3756
2.8,62.3747
2.825,62.3738
2.85,62.3729
2.875,62.3719
2.9,62.371
2.925,62.3701
2.95,62.3691
2.975,62.3682
3,62.3672
3.025,62.3662
3.05,62.3652
3.075,62.3642
3.1,62.3632
3.125,62.3622
3.15,62.3611
3.175,62.3601
3.2,62.359
3.225,62.358
3.25,62.3569
3.275,62.3558
3.3,62.3547
3.325,62.3536
3.35,62.3525
3.375,62.3514
3.4,62.3502
3.425,62.3491
3.45,62.3479
3.475,62.3467
3.5,62.3455
3.525,62.3444
3.55,62.3431
3.575,62.3419
3.6,62.3407
3.625,62.3395
3.65,62.3382
3.675,62.337
3.7,62.3357
3.725,62.3344
3.75,62.3331
3.775,62.3318
3.8,62.3305
3.825,62.3292
3.85,62.3279
3.875,62.3265
3.9,62.3252
3.925,62.3238
3.95,62.3224
3.975,62.321
4,62.3196
4.025,62.3182
4.05,62.3168
4.075,62.3154
4.1,62.314
4.125,62.3125
4.15,62.311
4.175,62.3096
4.2,62.3081
4.225,62.3066
4.25,62.3051
4.275,62.3036
4.3,62.302
4.325,62.3005
4.35,62.299
4.375,62.2974
4.4,62.2958
4.425,62.2943
4.45,62.2927
4.475,62.2911
4.5,62.2895
4.525,62.2878
4.55,62.2862
4.575,62.2845
4.6,62.2829
4.625,62.2812
4.65,62.2795
4.675,62.2779
4.7,62.2762
4.725,62.2744
4.75,62.2727
4.775,62.271
4.8,62.2692
4.825,62.2675
4.85,62.2657
4.875,62.2639
4.9,62.2622
4.925,62.2604
4.95,62.2586
4.975,62.2567
5,62.2549
5.025,62.2531
5.05,62.2512
5.075,62.2493
5.1,62.2475
5.125,62.2456
5.15,62.2437
5.175,62.2418
5.2,62.2398
5.225,62.2379
5.25,62.236
5.275,62.234
5.3,62.232
5.325,62.2301
5.35,62.2281
5.375,62.2261
5.4,62.2241
5.425,62.2221
5.45,62.22
5.475,62.218
5.5,62.2159
5.525,62.2139
5.55,62.2118
5.575,62.2097
5.6,62.2076
5.625,62.2055
5.65,62.2034
5.675,62.2012
5.7,62.1991
5.725,62.1969
5.75,62.1947
5.775,62.1926
5.8,62.1904
5.825,62.1882
5.85,62.186
5.875,62.1837
5.9,62.1815
5.925,62.1792
5.95,62.177
5.975,62.1747
6,62.1724
6.025,62.1701
6.05,62.1678
6.075,62.1655
6.1,62.1632
6.125,62.1609
6.15,62.1585
6.175,62.1561
6.2,62.1538
6.225,62.1514
6.25,62.149
6.275,62.1466
6.3,62.1441
6.325,62.1417
6.35,62.1393
6.375,62.1368
6.4,62.1343
6.425,62.1319
6.45,62.1294
6.475,62.1269
6.5,62.1244
6.525,62.1218
6.55,62.1193
6.575,62.1167
6.6,62.1142
6.625,62.1116
6.65,62.109
6.675,62.1064
6.7,62.1038
6.725,62.1012
6.75,62.0986
6.775,62.0959
6.8,62.0933
6.825,62.0906
6.85,62.0879
6.875,62.0852
6.9,62.0825
6.925,62.0798
6.95,62.0771
6.975,62.0743
7,62.0716
7.025,62.0688
7.05,62.066
7.075,62.0633
7.1,62.0605
7.125,62.0576
7.15,62.0548
7.175,62.052
7.2,62.0491
7.225,62.0463
7.25,62.0434
7.275,62.0405
7.3,62.0376
7.325,62.0347
7.35,62.0318
7.375,62.0288
7.4,62.0259
7.425,62.0229
7.45,62.02
7.475,62.017
7.5,62.014
7.525,62.011
7.55,62.008
7.575,62.0049
7.6,62.0019
7.625,61.9988
7.65,61.9958
7.675,61.9927
7.7,61.9896
7.725,61.9865
7.75,61.9834
7.775,61.9802
7.8,61.9771
7.825,61.9739
7.85,61.9707
7.875,61.9676
7.9,61.9644
7.925,61.9612
7.95,61.9579
7.975,61.9547
8,61.9515
8.025,61.9482
8.05,61.9449
8.075,61.9416
8.1,61.9383
8.125,61.935
8.15,61.9317
8.175,61.9284
8.2,61.925
8.225,61.9217
8.25,61.9183
8.275,61.9149
8.3,61.9115
8.325,61.9081
8.35,61.9047
8.375,61.9012
8.4,61.8978
8.425,61.8943
8.45,61.8908
8.475,61.8873
8.5,61.8838
8.525,61.8803
8.55,61.8768
8.575,61.8733
8.6,61.8697
8.625,61.8661
8.65,61.8625
8.675,61.8589
8.7,61.8553
8.725,61.8517
8.75,61.8481
8.775,61.8444
8.8,61.8408
8.825,61.8371
8.85,61.8334
8.875,61.8297
8.9,61.826
8.925,61.8222
8.95,61.8185
8.975,61.8147
9,61.811
9.025,61.8072
9.05,61.8034
9.075,61.7996
9.1,61.7958
9.125,61.7919
9.15,61.7881
9.175,61.7842
9.2,61.7803
9.225,61.7764
9.25,61.7725
9.275,61.7686
9.3,61.7647
9.325,61.7607
9.35,61.7568
9.375,61.7528
9.4,61.7488
9.425,61.7448
9.45,61.7408
9.475,61.7367
9.5,61.7327
9.525,61.7286
9.55,61.7246
9.575,61.7205
9.6,61.7164
9.625,61.7123
9.65,61.7081
9.675,61.704
9.7,61.6998
9.725,61.6956
9.75,61.6915
9.775,61.6873
9.8,61.683
9.825,61.6788
9.85,61.6746
9.875,61.6703
9.9,61.666
9.925,61.6617
9.95,61.6574
9.975,61.6531
10,61.6488
10.025,61.6444
10.05,61.6401
10.075,61.6357
10.1,61.6313
10.125,61.6269
10.15,61.6225
10.175,61.6181
10.2,61.6136
10.225,61.6092
10.25,61.6047
10.275,61.6002
10.3,61.5957
10.325,61.5911
10.35,61.5866
10.375,61.5821
10.4,61.5775
10.425,61.5729
10.45,61.5683
10.475,61.5637
10.5,61.5591
10.525,61.5544
10.55,61.5498
10.575,61.5451
10.6,61.5404
10.625,61.5357
10.65,61.531
10.675,61.5262
10.7,61.5215
10.725,61.5167
10.75,61.5119
10.775,61.5071
10.8,61.5023
10.825,61.4975
10.85,61.4927
10.875,61.4878
10.9,61.4829
10.925,61.478
10.95,61.4731
10.975,61.4682
11,61.4633
11.025,61.4583
11.05,61.4533
11.075,61.4484
11.1,61.4434
11.125,61.4383
11.15,61.4333
11.175,61.4283
11.2,61.4232
11.225,61.4181
11.25,61.413
11.275,61.4079
11.3,61.4028
11.325,61.3976
11.35,61.3925
11.375,61.3873
11.4,61.3821
11.425,61.3769
11.45,61.3716
11.475,61.3664
11.5,61.3611
11.525,61.3558
11.55,61.3506
11.575,61.3452
11.6,61.3399
11.625,61.3346
11.65,61.3292
11.675,61.3238
11.7,61.3184
11.725,61.313
11.75,61.3076
11.775,61.3021
11.8,61.2967
11.825,61.2912
11.85,61.2857
11.875,61.2802
11.9,61.2747
