# Nnorm    = 1e+20 1/m^3
# Tnorm    = 100.0 eV
# Pnorm    = 1602.176634 Pa
# Cs0      = 69205.61141651045 m/s
# Cst      = 69602.08996163515 m/s
# Nesource = 1.5999999999999998e+22 m/s
# PeSource = 533333.3333333334 m/s
ypos,M,Ne,Te,P,Nn,NVi,Cs
0.0,-0.001386495446320979,0.09318585319279925,0.6241530344516023,0.11632446607649435,0.0,77321.78135955457,-0.00014435405048227937
0.0625,0.001386495446320979,0.09318585319279925,0.6241530344516023,0.11632446607649435,0.0,77321.78135955457,0.00014435405048227937
0.1875,0.004162806148903222,0.09318492931265202,0.6241501283410589,0.11632277117988851,0.0,77321.60135089228,0.0004334024852952868
0.3125,0.0069398685867552495,0.09318281078237182,0.6241442872367658,0.11631903803696375,0.0,77321.23954323272,0.0007225111454611181
0.4375,0.009715996561283637,0.09317969571431255,0.6241363380344732,0.11631366812459507,0.0,77320.74715377706,0.0010114941431127703
0.5625,0.01249252940682549,0.09317550899413471,0.6241258919462649,0.11630649531702313,0.0,77320.10009745658,0.0013004787255357936
0.6875,0.01526972237193905,0.09317024539054998,0.6241128815541479,0.11629750065160642,0.0,77319.29419429156,0.0015894795741805575
0.8125,0.01804750226023374,0.09316392128903754,0.624097345845009,0.1162867120100033,0.0,77318.33185432368,0.0018784776417298133
0.9375,0.020825989635181227,0.09315653806944545,0.6240792662152513,0.11627412784306528,0.0,77317.2119193113,0.0021674738351835157
1.0625,0.023605320940155227,0.09314809521574295,0.6240586233391184,0.11625974413399537,0.0,77315.9331852518,0.00245647065345371
1.1875,0.02638560233862492,0.09313859381229095,0.6240354108114619,0.1162435613041097,0.0,77314.49524748483,0.0027454674846652738
1.3125,0.029166942131774364,0.09312803435856803,0.6240096237131874,0.11622557935447765,0.0,77312.89779239694,0.00303446392001186
1.4375,0.0319494526313915,0.09311641675041782,0.6239812572240515,0.11620579758424888,0.0,77311.14051148636,0.0033234599353967873
1.5625,0.034733245313829916,0.09310374071130931,0.6239503075893489,0.11618421530908087,0.0,77309.22316124501,0.0036124553960232213
1.6875,0.037518431358387797,0.09309000581123392,0.6239167715399065,0.1161608317767524,0.0,77307.14552722749,0.0039014501086033285
1.8125,0.04030512239011796,0.09307521145207179,0.623880645787281,0.11613564605501257,0.0,77304.9073927754,0.004190443893062369
1.9375,0.04309343042772917,0.09305935689661382,0.623841926872103,0.1161086570397246,0.0,77302.5085296164,0.004479436573917661
2.0625,0.04588346792364779,0.09304244128221205,0.6238006110502323,0.11607986345089846,0.0,77299.94869080406,0.0047684279809165776
2.1875,0.04867534791119973,0.09302446362139932,0.6237566941898021,0.11604926381452711,0.0,77297.22760433056,0.005057417960218652
2.3125,0.05146918412403652,0.09300542280136419,0.623710171706412,0.11601685645013261,0.0,77294.34496910135,0.005346406382624621
2.4375,0.05426509110073036,0.09298531758281696,0.6236610385219596,0.11598263946198771,0.0,77291.30045237255,0.005635393150198822
2.5625,0.05706318428966636,0.09296414659803459,0.6236092890355119,0.11594661073158691,0.0,77288.0936879331,0.005924378202810838
2.6875,0.05986358014680578,0.09294190834911834,0.6235549171043019,0.11590876791230023,0.0,77284.72427491282,0.006213361523883052
2.8125,0.06266639622210209,0.09291860120700805,0.6234979160333584,0.11586910842660843,0.0,77281.1917771241,0.006502343144955619
2.9375,0.06547175123249749,0.09289422341145429,0.6234382785723643,0.11582762946590737,0.0,77277.49572285035,0.00679132314889055
3.0625,0.06827976511927264,0.09286877307208494,0.623375996919004,0.11578432799291138,0.0,77273.63560503528,0.007080301671522875
3.1875,0.07109055908715554,0.09284224817059737,0.6233110627281867,0.11573920074657822,0.0,77269.61088183548,0.007369278901524492
3.3125,0.07390425562396817,0.09281464656405629,0.6232434671266284,0.11569224424943009,0.0,77265.42097750402,0.007658255078385986
3.4375,0.07672097850034737,0.09278596598914735,0.6231732007318911,0.11564345481691467,0.0,77261.06528354966,0.007947230488486381
3.5625,0.0795408527502867,0.0927562040672613,0.6231002536751905,0.1155928285685165,0.0,77256.54316012877,0.008236205459345208
3.6875,0.08236400463415051,0.09272535831021027,0.6230246156270146,0.11554036144019193,0.0,77251.85393761106,0.008525180352232679
3.8125,0.08519056158609231,0.09269342612641993,0.6229462758248225,0.11548604919779319,0.0,77246.99691827378,0.008814155553341856
3.9375,0.0880206521485735,0.09266040482743851,0.6228652231020781,0.11542988745114273,0.0,77241.97137807833,0.009103131463800193
4.0625,0.09085440589580784,0.09262629163459123,0.6227814459178465,0.1153718716683977,0.0,77236.77656848141,0.009392108488700713
4.1875,0.09369195334906645,0.09259108368563804,0.6226949323863039,0.11531199719040598,0.0,77231.41171824074,0.009681087025445937
4.3125,0.09653342588559995,0.09255477804120484,0.6226056703051304,0.11525025924457381,0.0,77225.87603515136,0.009970067451558009
