"arc_length","M"
0,-0.0149473
0.025,-0.014347
0.05,-0.0137468
0.075,-0.0131466
0.1,-0.0125463
0.125,-0.0119461
0.15,-0.0113459
0.175,-0.0107458
0.2,-0.0101456
0.225,-0.00954548
0.25,-0.00894536
0.275,-0.00834524
0.3,-0.00774514
0.325,-0.00714504
0.35,-0.00654496
0.375,-0.00594488
0.4,-0.00534482
0.425,-0.00474476
0.45,-0.0041447
0.475,-0.00354466
0.5,-0.00294461
0.525,-0.00234458
0.55,-0.00174454
0.575,-0.00114451
0.6,-0.000544478
0.625,5.55528e-05
0.65,0.000655583
0.675,0.00125562
0.7,0.00185565
0.725,0.00245568
0.75,0.00305572
0.775,0.00365576
0.8,0.00425581
0.825,0.00485587
0.85,0.00545593
0.875,0.006056
0.9,0.00665607
0.925,0.00725616
0.95,0.00785626
0.975,0.00845636
1,0.00905648
1.025,0.00965661
1.05,0.0102568
1.075,0.0108569
1.1,0.0114571
1.125,0.0120573
1.15,0.0126575
1.175,0.0132577
1.2,0.0138579
1.225,0.0144582
1.25,0.0150585
1.275,0.0156588
1.3,0.0162591
1.325,0.0168594
1.35,0.0174598
1.375,0.0180602
1.4,0.0186606
1.425,0.019261
1.45,0.0198615
1.475,0.020462
1.5,0.0210625
1.525,0.021663
1.55,0.0222636
1.575,0.0228642
1.6,0.0234649
1.625,0.0240655
1.65,0.0246662
1.675,0.025267
1.7,0.0258677
1.725,0.0264685
1.75,0.0270694
1.775,0.0276703
1.8,0.0282712
1.825,0.0288721
1.85,0.0294731
1.875,0.0300742
1.9,0.0306752
1.925,0.0312763
1.95,0.0318775
1.975,0.0324787
2,0.0330799
2.025,0.0336812
2.05,0.0342826
2.075,0.034884
2.1,0.0354854
2.125,0.0360869
2.15,0.0366884
2.175,0.03729
2.2,0.0378916
2.225,0.0384933
2.25,0.039095
2.275,0.0396968
2.3,0.0402986
2.325,0.0409005
2.35,0.0415025
2.375,0.0421045
2.4,0.0427065
2.425,0.0433087
2.45,0.0439108
2.475,0.0445131
2.5,0.0451154
2.525,0.0457177
2.55,0.0463202
2.575,0.0469227
2.6,0.0475252
2.625,0.0481278
2.65,0.0487305
2.675,0.0493333
2.7,0.0499361
2.725,0.050539
2.75,0.0511419
2.775,0.0517449
2.8,0.052348
2.825,0.0529512
2.85,0.0535544
2.875,0.0541578
2.9,0.0547611
2.925,0.0553646
2.95,0.0559681
2.975,0.0565717
3,0.0571754
3.025,0.0577792
3.05,0.0583831
3.075,0.058987
3.1,0.059591
3.125,0.0601951
3.15,0.0607993
3.175,0.0614035
3.2,0.0620079
3.225,0.0626123
3.25,0.0632168
3.275,0.0638214
3.3,0.0644261
3.325,0.0650309
3.35,0.0656357
3.375,0.0662407
3.4,0.0668457
3.425,0.0674509
3.45,0.0680561
3.475,0.0686614
3.5,0.0692669
3.525,0.0698724
3.55,0.070478
3.575,0.0710837
3.6,0.0716895
3.625,0.0722954
3.65,0.0729014
3.675,0.0735075
3.7,0.0741137
3.725,0.07472
3.75,0.0753264
3.775,0.075933
3.8,0.0765396
3.825,0.0771463
3.85,0.0777531
3.875,0.0783601
3.9,0.0789671
3.925,0.0795743
3.95,0.0801816
3.975,0.080789
4,0.0813965
4.025,0.0820041
4.05,0.0826118
4.075,0.0832196
4.1,0.0838276
4.125,0.0844356
4.15,0.0850438
4.175,0.0856521
4.2,0.0862605
4.225,0.0868691
4.25,0.0874778
4.275,0.0880865
4.3,0.0886955
4.325,0.0893045
4.35,0.0899136
4.375,0.0905229
4.4,0.0911323
4.425,0.0917419
4.45,0.0923515
4.475,0.0929613
4.5,0.0935713
4.525,0.0941813
4.55,0.0947915
4.575,0.0954018
4.6,0.0960123
4.625,0.0966228
4.65,0.0972336
4.675,0.0978444
4.7,0.0984554
4.725,0.0990666
4.75,0.0996778
4.775,0.100289
4.8,0.100901
4.825,0.101512
4.85,0.102124
4.875,0.102736
4.9,0.103348
4.925,0.103961
4.95,0.104573
4.975,0.105186
5,0.105798
5.025,0.106411
5.05,0.107024
5.075,0.107637
5.1,0.108251
5.125,0.108864
5.15,0.109478
5.175,0.110092
5.2,0.110706
5.225,0.11132
5.25,0.111934
5.275,0.112548
5.3,0.113163
5.325,0.113778
5.35,0.114393
5.375,0.115008
5.4,0.115623
5.425,0.116238
5.45,0.116854
5.475,0.117469
5.5,0.118085
5.525,0.118701
5.55,0.119318
5.575,0.119934
5.6,0.120551
5.625,0.121167
5.65,0.121784
5.675,0.122401
5.7,0.123018
5.725,0.123636
5.75,0.124254
5.775,0.124871
5.8,0.125489
5.825,0.126107
5.85,0.126726
5.875,0.127344
5.9,0.127963
5.925,0.128582
5.95,0.129201
5.975,0.12982
6,0.13044
6.025,0.131059
6.05,0.131679
6.075,0.132299
6.1,0.132919
6.125,0.13354
6.15,0.13416
6.175,0.134781
6.2,0.135402
6.225,0.136023
6.25,0.136644
6.275,0.137266
6.3,0.137888
6.325,0.13851
6.35,0.139132
6.375,0.139754
6.4,0.140377
6.425,0.141
6.45,0.141623
6.475,0.142246
6.5,0.142869
6.525,0.143493
6.55,0.144116
6.575,0.144741
6.6,0.145365
6.625,0.145989
6.65,0.146614
6.675,0.147239
6.7,0.147864
6.725,0.148489
6.75,0.149115
6.775,0.14974
6.8,0.150366
6.825,0.150993
6.85,0.151619
6.875,0.152246
6.9,0.152872
6.925,0.153499
6.95,0.154127
6.975,0.154754
7,0.155382
7.025,0.15601
7.05,0.156638
7.075,0.157267
7.1,0.157895
7.125,0.158524
7.15,0.159154
7.175,0.159783
7.2,0.160413
7.225,0.161042
7.25,0.161673
7.275,0.162303
7.3,0.162934
7.325,0.163564
7.35,0.164195
7.375,0.164827
7.4,0.165458
7.425,0.16609
7.45,0.166722
7.475,0.167355
7.5,0.167987
7.525,0.16862
7.55,0.169253
7.575,0.169886
7.6,0.17052
7.625,0.171154
7.65,0.171788
7.675,0.172422
7.7,0.173057
7.725,0.173692
7.75,0.174327
7.775,0.174962
7.8,0.175598
7.825,0.176234
7.85,0.17687
7.875,0.177507
7.9,0.178144
7.925,0.178781
7.95,0.179418
7.975,0.180055
8,0.180693
8.025,0.181331
8.05,0.18197
8.075,0.182608
8.1,0.183247
8.125,0.183887
8.15,0.184526
8.175,0.185166
8.2,0.185806
8.225,0.186447
8.25,0.187087
8.275,0.187728
8.3,0.188369
8.325,0.189011
8.35,0.189653
8.375,0.190295
8.4,0.190937
8.425,0.19158
8.45,0.192223
8.475,0.192866
8.5,0.19351
8.525,0.194154
8.55,0.194798
8.575,0.195443
8.6,0.196087
8.625,0.196732
8.65,0.197378
8.675,0.198024
8.7,0.19867
8.725,0.199316
8.75,0.199963
8.775,0.20061
8.8,0.201257
8.825,0.201905
8.85,0.202553
8.875,0.203201
8.9,0.203849
8.925,0.204498
8.95,0.205148
8.975,0.205797
9,0.206447
9.025,0.207097
9.05,0.207748
9.075,0.208399
9.1,0.20905
9.125,0.209701
9.15,0.210353
9.175,0.211005
9.2,0.211658
9.225,0.212311
9.25,0.212964
9.275,0.213618
9.3,0.214271
9.325,0.214926
9.35,0.21558
9.375,0.216235
9.4,0.216891
9.425,0.217546
9.45,0.218202
9.475,0.218858
9.5,0.219515
9.525,0.220172
9.55,0.22083
9.575,0.221487
9.6,0.222145
9.625,0.222804
9.65,0.223463
9.675,0.224122
9.7,0.224782
9.725,0.225442
9.75,0.226102
9.775,0.226763
9.8,0.227424
9.825,0.228085
9.85,0.228747
9.875,0.229409
9.9,0.230072
9.925,0.230734
9.95,0.231398
9.975,0.232061
10,0.232726
10.025,0.23339
10.05,0.234055
10.075,0.23472
10.1,0.235386
10.125,0.236052
10.15,0.236718
10.175,0.237385
10.2,0.238052
10.225,0.23872
10.25,0.239388
10.275,0.240056
10.3,0.240725
10.325,0.241394
10.35,0.242064
10.375,0.242734
10.4,0.243404
10.425,0.244075
10.45,0.244746
10.475,0.245418
10.5,0.24609
10.525,0.246763
10.55,0.247436
10.575,0.248109
10.6,0.248783
10.625,0.249457
10.65,0.250131
10.675,0.250807
10.7,0.251482
10.725,0.252158
10.75,0.252834
10.775,0.253511
10.8,0.254188
10.825,0.254866
10.85,0.255544
10.875,0.256222
10.9,0.256901
10.925,0.257581
10.95,0.258261
10.975,0.258941
11,0.259622
11.025,0.260303
11.05,0.260985
11.075,0.261667
11.1,0.262349
11.125,0.263032
11.15,0.263716
11.175,0.2644
11.2,0.265084
11.225,0.265769
11.25,0.266454
11.275,0.26714
11.3,0.267827
11.325,0.268513
11.35,0.269201
11.375,0.269888
11.4,0.270577
11.425,0.271265
11.45,0.271954
11.475,0.272644
11.5,0.273334
11.525,0.274025
11.55,0.274716
11.575,0.275408
11.6,0.2761
11.625,0.276792
11.65,0.277485
11.675,0.278179
11.7,0.278873
11.725,0.279568
11.75,0.280263
11.775,0.280958
11.8,0.281655
11.825,0.282351
11.85,0.283048
11.875,0.283746
11.9,0.284444
11.925,0.285143
11.95,0.285842
11.975,0.286542
12,0.287242
12.025,0.287943
12.05,0.288644
12.075,0.289346
12.1,0.290049
12.125,0.290752
12.15,0.291455
12.175,0.292159
12.2,0.292864
12.225,0.293569
12.25,0.294275
12.275,0.294981
12.3,0.295688
12.325,0.296395
12.35,0.297103
12.375,0.297811
12.4,0.29852
12.425,0.29923
12.45,0.29994
12.475,0.300651
12.5,0.301362
12.525,0.302074
12.55,0.302786
12.575,0.303499
12.6,0.304213
12.625,0.304927
12.65,0.305642
12.675,0.306357
12.7,0.307073
12.725,0.307789
12.75,0.308507
12.775,0.309224
12.8,0.309943
12.825,0.310661
12.85,0.311381
12.875,0.312101
12.9,0.312822
12.925,0.313543
12.95,0.314265
12.975,0.314988
13,0.315711
13.025,0.316435
13.05,0.317159
13.075,0.317884
13.1,0.31861
13.125,0.319336
13.15,0.320063
13.175,0.32079
13.2,0.321519
13.225,0.322248
13.25,0.322977
13.275,0.323707
13.3,0.324438
13.325,0.325169
13.35,0.325901
13.375,0.326634
13.4,0.327368
13.425,0.328102
13.45,0.328836
13.475,0.329572
13.5,0.330308
13.525,0.331045
13.55,0.331782
13.575,0.33252
13.6,0.333259
13.625,0.333998
13.65,0.334738
13.675,0.335479
13.7,0.336221
13.725,0.336963
13.75,0.337706
13.775,0.338449
13.8,0.339194
13.825,0.339939
13.85,0.340685
13.875,0.341431
13.9,0.342178
13.925,0.342926
13.95,0.343675
13.975,0.344424
14,0.345174
14.025,0.345925
14.05,0.346676
14.075,0.347428
14.1,0.348181
14.125,0.348935
14.15,0.34969
14.175,0.350445
14.2,0.351201
14.225,0.351958
14.25,0.352715
14.275,0.353473
14.3,0.354232
14.325,0.354992
14.35,0.355753
14.375,0.356514
14.4,0.357276
14.425,0.358039
14.45,0.358802
14.475,0.359567
14.5,0.360332
14.525,0.361098
14.55,0.361865
14.575,0.362633
14.6,0.363401
14.625,0.36417
14.65,0.36494
14.675,0.365711
14.7,0.366483
14.725,0.367255
14.75,0.368029
