"arc_length","N"
0,0.0931859
0.025,0.093187
0.05,0.093188
0.075,0.093189
0.1,0.0931898
0.125,0.0931906
0.15,0.0931914
0.175,0.0931921
0.2,0.0931928
0.225,0.0931934
0.25,0.093194
0.275,0.0931945
0.3,0.093195
0.325,0.0931955
0.35,0.0931958
0.375,0.0931962
0.4,0.0931964
0.425,0.0931966
0.45,0.0931968
0.475,0.0931969
0.5,0.0931969
0.525,0.093197
0.55,0.093197
0.575,0.093197
0.6,0.093197
0.625,0.093197
0.65,0.093197
0.675,0.093197
0.7,0.093197
0.725,0.093197
0.75,0.0931969
0.775,0.0931969
0.8,0.0931967
0.825,0.0931966
0.85,0.0931963
0.875,0.0931961
0.9,0.0931957
0.925,0.0931953
0.95,0.0931948
0.975,0.0931943
1,0.0931937
1.025,0.0931931
1.05,0.0931925
1.075,0.0931918
1.1,0.093191
1.125,0.0931902
1.15,0.0931894
1.175,0.0931884
1.2,0.0931874
1.225,0.0931863
1.25,0.0931852
1.275,0.093184
1.3,0.0931828
1.325,0.0931815
1.35,0.0931803
1.375,0.0931791
1.4,0.0931778
1.425,0.0931765
1.45,0.0931751
1.475,0.0931738
1.5,0.0931723
1.525,0.0931708
1.55,0.0931693
1.575,0.0931677
1.6,0.0931661
1.625,0.0931645
1.65,0.0931628
1.675,0.093161
1.7,0.0931592
1.725,0.0931574
1.75,0.0931555
1.775,0.0931536
1.8,0.0931516
1.825,0.0931496
1.85,0.0931475
1.875,0.0931454
1.9,0.0931433
1.925,0.0931411
1.95,0.0931389
1.975,0.0931366
2,0.0931343
2.025,0.093132
2.05,0.0931296
2.075,0.0931271
2.1,0.0931246
2.125,0.0931221
2.15,0.0931195
2.175,0.0931169
2.2,0.0931142
2.225,0.0931116
2.25,0.0931088
2.275,0.093106
2.3,0.0931032
2.325,0.0931003
2.35,0.0930974
2.375,0.0930945
2.4,0.0930915
2.425,0.0930885
2.45,0.0930854
2.475,0.0930823
2.5,0.0930792
2.525,0.093076
2.55,0.0930727
2.575,0.0930694
2.6,0.0930661
2.625,0.0930628
2.65,0.0930594
2.675,0.0930559
2.7,0.0930524
2.725,0.0930489
2.75,0.0930453
2.775,0.0930417
2.8,0.093038
2.825,0.0930343
2.85,0.0930306
2.875,0.0930268
2.9,0.0930229
2.925,0.0930191
2.95,0.0930152
2.975,0.0930112
3,0.0930072
3.025,0.0930031
3.05,0.0929991
3.075,0.0929949
3.1,0.0929908
3.125,0.0929865
3.15,0.0929823
3.175,0.092978
3.2,0.0929736
3.225,0.0929693
3.25,0.0929648
3.275,0.0929604
3.3,0.0929558
3.325,0.0929513
3.35,0.0929467
3.375,0.092942
3.4,0.0929374
3.425,0.0929326
3.45,0.0929279
3.475,0.092923
3.5,0.0929182
3.525,0.0929133
3.55,0.0929083
3.575,0.0929034
3.6,0.0928983
3.625,0.0928933
3.65,0.0928882
3.675,0.092883
3.7,0.0928778
