"arc_length","N"
0,0.0923691
0.025,0.0923734
0.05,0.0923771
0.075,0.0923804
0.1,0.0923835
0.125,0.0923863
0.15,0.0923889
0.175,0.0923913
0.2,0.0923935
0.225,0.0923955
0.25,0.0923974
0.275,0.0923991
0.3,0.0924006
0.325,0.0924019
0.35,0.0924031
0.375,0.0924041
0.4,0.092405
0.425,0.0924056
0.45,0.0924061
0.475,0.0924065
0.5,0.0924066
0.525,0.0924066
0.55,0.0924064
0.575,0.0924061
0.6,0.0924056
0.625,0.0924049
0.65,0.092404
0.675,0.092403
0.7,0.0924018
0.725,0.0924004
0.75,0.0923989
0.775,0.0923972
0.8,0.0923953
0.825,0.0923933
0.85,0.0923911
0.875,0.0923887
0.9,0.0923861
0.925,0.0923834
0.95,0.0923805
0.975,0.0923774
1,0.0923742
1.025,0.0923708
1.05,0.0923672
1.075,0.0923635
1.1,0.0923595
1.125,0.0923554
1.15,0.0923512
1.175,0.0923468
1.2,0.0923422
1.225,0.0923374
1.25,0.0923325
1.275,0.0923273
1.3,0.0923221
1.325,0.0923166
1.35,0.092311
1.375,0.0923052
1.4,0.0922992
1.425,0.0922931
1.45,0.0922868
1.475,0.0922803
1.5,0.0922736
1.525,0.0922668
1.55,0.0922598
1.575,0.0922527
1.6,0.0922453
1.625,0.0922378
1.65,0.0922301
1.675,0.0922223
1.7,0.0922143
1.725,0.0922061
1.75,0.0921977
1.775,0.0921892
1.8,0.0921805
1.825,0.0921716
1.85,0.0921625
1.875,0.0921533
1.9,0.0921439
1.925,0.0921343
1.95,0.0921246
1.975,0.0921147
2,0.0921046
2.025,0.0920943
2.05,0.0920839
2.075,0.0920733
2.1,0.0920625
2.125,0.0920515
2.15,0.0920404
2.175,0.0920291
2.2,0.0920176
2.225,0.092006
2.25,0.0919941
2.275,0.0919821
2.3,0.0919699
2.325,0.0919576
2.35,0.0919451
2.375,0.0919324
2.4,0.0919195
2.425,0.0919064
2.45,0.0918932
2.475,0.0918798
2.5,0.0918662
2.525,0.0918525
2.55,0.0918386
2.575,0.0918245
2.6,0.0918102
2.625,0.0917958
2.65,0.0917811
2.675,0.0917663
2.7,0.0917513
2.725,0.0917361
2.75,0.0917208
2.775,0.0917052
2.8,0.0916895
2.825,0.0916736
2.85,0.0916575
2.875,0.0916413
2.9,0.0916249
2.925,0.0916083
2.95,0.0915915
2.975,0.0915745
3,0.0915574
3.025,0.0915401
3.05,0.0915226
3.075,0.0915049
3.1,0.091487
3.125,0.091469
3.15,0.0914508
3.175,0.0914324
3.2,0.0914138
3.225,0.091395
3.25,0.0913761
3.275,0.0913569
3.3,0.0913376
3.325,0.0913181
3.35,0.0912984
3.375,0.0912786
3.4,0.0912585
3.425,0.0912383
3.45,0.0912179
3.475,0.0911973
3.5,0.0911765
3.525,0.0911555
3.55,0.0911343
3.575,0.091113
3.6,0.0910915
3.625,0.0910698
3.65,0.0910478
3.675,0.0910258
3.7,0.0910035
3.725,0.090981
3.75,0.0909584
3.775,0.0909355
3.8,0.0909125
3.825,0.0908893
3.85,0.0908659
3.875,0.0908423
3.9,0.0908185
3.925,0.0907945
3.95,0.0907704
3.975,0.090746
4,0.0907215
4.025,0.0906967
4.05,0.0906718
4.075,0.0906467
4.1,0.0906214
4.125,0.0905959
4.15,0.0905702
4.175,0.0905443
4.2,0.0905182
4.225,0.0904919
4.25,0.0904654
4.275,0.0904388
