# Nnorm    = 1e+20 1/m^3
# Tnorm    = 100.0 eV
# Pnorm    = 1602.176634 Pa
# Cs0      = 69205.61141651045 m/s
# Cst      = 68987.73318078973 m/s
# Nesource = 3.1999999999999996e+22 m/s
# PeSource = 1066666.6666666667 m/s
ypos,M,Ne,Te,P,Nn,NVi,Cs
0.0,-0.00279464494230764,0.09236905993134277,0.6241551443937549,0.11530524787792527,0.0,77321.9120521403,-0.0002884127381158096
0.0625,0.00279464494230764,0.09236905993134277,0.6241551443937549,0.11530524787792527,0.0,77321.9120521403,0.0002884127381158096
0.1875,0.008397570572303044,0.09236533145374565,0.6241434420663683,0.1152984318022836,0.0,77321.18719184042,0.0008666023432656476
0.3125,0.01400430872967093,0.09235677402356392,0.6241199232117424,0.11528340542334191,0.0,77319.73037697225,0.0014450386134772014
0.4375,0.019608398616379676,0.09234419669378587,0.6240878821866616,0.11526178829370666,0.0,77317.74563403653,0.0020229707696417655
0.5625,0.025215711034914996,0.09232730210225844,0.6240456902605895,0.11523290994060371,0.0,77315.13202797365,0.0026009053986200425
0.6875,0.03082779888009517,0.09230606451979646,0.6239930193719134,0.11519667981209292,0.0,77311.86917181891,0.0031789054844198
0.8125,0.036444828271948254,0.09228054564182253,0.6239300004258136,0.11515320176319328,0.0,77307.96509326073,0.003756894451863992
0.9375,0.04206775400950426,0.092250744694489,0.6238565362159754,0.11510246009689634,0.0,77303.41367262533,0.0043348749033964235
1.0625,0.047697620625377884,0.09221665034080326,0.623772520270035,0.11504442478788689,0.0,77298.20819850921,0.00491285758583008
1.1875,0.05333535341549528,0.09217825673844719,0.6236778957073513,0.11497908238521345,0.0,77292.34501415877,0.005490840668195672
1.3125,0.05898189095904941,0.09213555501028355,0.6235726073976685,0.11490641654358767,0.0,77285.820553453,0.006068822850461992
1.4375,0.06463819899978332,0.09208853288062095,0.6234565942036314,0.11482640614992212,0.0,77278.6308598561,0.0066468045809197724
1.5625,0.07030525038233706,0.09203717649286679,0.6233297933222199,0.11473902840251868,0.0,77270.77185500466,0.007224785983919372
1.6875,0.07598402702612911,0.09198147052607233,0.6231921385234508,0.11464425864334954,0.0,77262.23922911762,0.007802766955113043
1.8125,0.08167552412203627,0.09192139806989333,0.6230435582939462,0.11454206987364124,0.0,77253.02832541161,0.008380747459627422
1.9375,0.08738075078445443,0.09185694069750719,0.6228839754548838,0.11443243278957357,0.0,77243.13411581278,0.008958727483365165
