"arc_length","M"
0,-0.0245498
0.025,-0.0233479
0.05,-0.0221462
0.075,-0.0209447
0.1,-0.0197433
0.125,-0.0185421
0.15,-0.017341
0.175,-0.0161399
0.2,-0.014939
0.225,-0.0137382
0.25,-0.0125374
0.275,-0.0113367
0.3,-0.0101361
0.325,-0.00893548
0.35,-0.00773495
0.375,-0.00653447
0.4,-0.00533402
0.425,-0.0041336
0.45,-0.0029332
0.475,-0.00173282
0.5,-0.000532445
0.525,0.000667923
0.55,0.0018683
0.575,0.00306868
0.6,0.00426908
0.625,0.0054695
0.65,0.00666996
0.675,0.00787045
0.7,0.00907098
0.725,0.0102716
0.75,0.0114722
0.775,0.0126729
0.8,0.0138737
0.825,0.0150745
0.85,0.0162755
0.875,0.0174765
0.9,0.0186776
0.925,0.0198788
0.95,0.0210802
0.975,0.0222816
1,0.0234832
1.025,0.0246849
1.05,0.0258867
1.075,0.0270887
1.1,0.0282908
1.125,0.0294931
1.15,0.0306956
1.175,0.0318982
1.2,0.033101
1.225,0.034304
1.25,0.0355071
1.275,0.0367105
1.3,0.0379141
1.325,0.0391178
1.35,0.0403218
1.375,0.041526
1.4,0.0427305
1.425,0.0439352
1.45,0.0451401
1.475,0.0463453
1.5,0.0475507
1.525,0.0487564
1.55,0.0499624
1.575,0.0511686
1.6,0.0523752
1.625,0.053582
1.65,0.0547891
1.675,0.0559966
1.7,0.0572043
1.725,0.0584124
1.75,0.0596207
1.775,0.0608295
1.8,0.0620385
1.825,0.0632479
1.85,0.0644577
1.875,0.0656678
1.9,0.0668783
1.925,0.0680892
1.95,0.0693004
1.975,0.070512
2,0.0717241
2.025,0.0729365
2.05,0.0741493
2.075,0.0753626
2.1,0.0765763
2.125,0.0777904
2.15,0.0790049
2.175,0.0802199
2.2,0.0814354
2.225,0.0826513
2.25,0.0838677
2.275,0.0850845
2.3,0.0863019
2.325,0.0875197
2.35,0.088738
2.375,0.0899568
2.4,0.0911762
2.425,0.092396
2.45,0.0936164
2.475,0.0948373
2.5,0.0960587
2.525,0.0972807
2.55,0.0985033
2.575,0.0997264
2.6,0.10095
2.625,0.102174
2.65,0.103399
2.675,0.104625
2.7,0.105851
2.725,0.107077
2.75,0.108305
2.775,0.109533
2.8,0.110761
2.825,0.11199
2.85,0.11322
2.875,0.11445
2.9,0.115682
2.925,0.116913
2.95,0.118146
2.975,0.119379
3,0.120613
3.025,0.121847
3.05,0.123083
3.075,0.124319
3.1,0.125555
3.125,0.126793
3.15,0.128031
3.175,0.12927
3.2,0.13051
3.225,0.13175
3.25,0.132991
3.275,0.134233
3.3,0.135476
3.325,0.13672
3.35,0.137964
3.375,0.139209
3.4,0.140455
3.425,0.141702
3.45,0.14295
3.475,0.144199
3.5,0.145448
3.525,0.146698
3.55,0.14795
3.575,0.149202
3.6,0.150455
3.625,0.151708
3.65,0.152963
3.675,0.154219
3.7,0.155476
3.725,0.156733
3.75,0.157992
3.775,0.159251
3.8,0.160512
3.825,0.161773
3.85,0.163035
3.875,0.164299
3.9,0.165563
3.925,0.166828
3.95,0.168095
3.975,0.169362
4,0.170631
4.025,0.1719
4.05,0.173171
4.075,0.174443
4.1,0.175715
4.125,0.176989
4.15,0.178264
4.175,0.17954
4.2,0.180817
4.225,0.182096
4.25,0.183375
4.275,0.184656
4.3,0.185937
4.325,0.18722
4.35,0.188504
4.375,0.189789
4.4,0.191076
4.425,0.192364
4.45,0.193652
4.475,0.194943
4.5,0.196234
4.525,0.197527
4.55,0.19882
4.575,0.200115
4.6,0.201412
4.625,0.20271
4.65,0.204009
4.675,0.205309
4.7,0.206611
4.725,0.207914
4.75,0.209218
4.775,0.210524
4.8,0.211831
4.825,0.213139
4.85,0.214449
4.875,0.21576
4.9,0.217073
4.925,0.218387
4.95,0.219702
4.975,0.221019
5,0.222338
5.025,0.223658
5.05,0.224979
5.075,0.226302
5.1,0.227626
5.125,0.228952
5.15,0.23028
5.175,0.231609
5.2,0.23294
5.225,0.234272
5.25,0.235605
5.275,0.236941
5.3,0.238278
5.325,0.239616
5.35,0.240957
5.375,0.242299
5.4,0.243642
5.425,0.244987
5.45,0.246334
5.475,0.247683
5.5,0.249033
5.525,0.250385
5.55,0.251739
5.575,0.253095
5.6,0.254452
5.625,0.255811
5.65,0.257172
5.675,0.258535
5.7,0.2599
5.725,0.261266
5.75,0.262635
5.775,0.264005
5.8,0.265377
5.825,0.266751
5.85,0.268127
5.875,0.269505
5.9,0.270885
5.925,0.272266
5.95,0.27365
5.975,0.275036
6,0.276424
6.025,0.277814
6.05,0.279206
6.075,0.2806
6.1,0.281996
6.125,0.283394
6.15,0.284794
6.175,0.286196
6.2,0.287601
6.225,0.289008
6.25,0.290416
6.275,0.291828
6.3,0.293241
6.325,0.294657
6.35,0.296074
6.375,0.297494
6.4,0.298917
6.425,0.300342
6.45,0.301768
6.475,0.303198
6.5,0.30463
6.525,0.306064
6.55,0.3075
6.575,0.308939
6.6,0.310381
6.625,0.311824
6.65,0.313271
6.675,0.31472
6.7,0.316171
6.725,0.317625
6.75,0.319081
6.775,0.320541
6.8,0.322002
6.825,0.323466
6.85,0.324933
6.875,0.326403
6.9,0.327875
6.925,0.32935
6.95,0.330828
6.975,0.332309
7,0.333792
7.025,0.335278
7.05,0.336767
7.075,0.338259
7.1,0.339754
7.125,0.341251
7.15,0.342752
7.175,0.344255
7.2,0.345762
7.225,0.347271
7.25,0.348784
7.275,0.350299
7.3,0.351818
7.325,0.35334
7.35,0.354864
7.375,0.356392
7.4,0.357924
7.425,0.359458
7.45,0.360996
7.475,0.362537
7.5,0.364081
7.525,0.365628
7.55,0.367179
7.575,0.368733
7.6,0.370291
7.625,0.371852
7.65,0.373417
7.675,0.374985
7.7,0.376556
7.725,0.378132
7.75,0.37971
7.775,0.381293
7.8,0.382879
7.825,0.384468
7.85,0.386062
7.875,0.387659
7.9,0.38926
7.925,0.390865
7.95,0.392474
7.975,0.394086
8,0.395703
8.025,0.397323
8.05,0.398947
8.075,0.400576
8.1,0.402209
8.125,0.403845
8.15,0.405486
8.175,0.407131
8.2,0.40878
8.225,0.410434
8.25,0.412092
8.275,0.413754
8.3,0.41542
8.325,0.417091
8.35,0.418767
8.375,0.420447
8.4,0.422131
8.425,0.42382
8.45,0.425514
8.475,0.427212
8.5,0.428916
8.525,0.430623
8.55,0.432336
8.575,0.434054
8.6,0.435777
8.625,0.437504
8.65,0.439237
8.675,0.440974
8.7,0.442717
8.725,0.444465
8.75,0.446218
8.775,0.447976
8.8,0.44974
8.825,0.451509
8.85,0.453284
8.875,0.455064
8.9,0.45685
8.925,0.458641
8.95,0.460438
8.975,0.462241
9,0.464049
9.025,0.465863
9.05,0.467684
9.075,0.46951
9.1,0.471342
9.125,0.47318
9.15,0.475025
9.175,0.476876
9.2,0.478733
9.225,0.480596
9.25,0.482466
9.275,0.484342
9.3,0.486225
9.325,0.488115
9.35,0.490012
9.375,0.491915
9.4,0.493825
9.425,0.495742
9.45,0.497666
9.475,0.499597
9.5,0.501536
9.525,0.503482
9.55,0.505435
9.575,0.507396
9.6,0.509364
9.625,0.51134
9.65,0.513324
9.675,0.515315
9.7,0.517315
9.725,0.519322
9.75,0.521338
9.775,0.523362
9.8,0.525394
9.825,0.527434
9.85,0.529484
9.875,0.531542
9.9,0.533608
9.925,0.535684
9.95,0.537768
9.975,0.539862
10,0.541965
10.025,0.544077
10.05,0.546199
10.075,0.54833
10.1,0.550471
10.125,0.552622
10.15,0.554783
10.175,0.556954
10.2,0.559136
10.225,0.561328
10.25,0.56353
10.275,0.565743
10.3,0.567967
10.325,0.570202
10.35,0.572449
10.375,0.574706
10.4,0.576976
10.425,0.579257
10.45,0.581549
10.475,0.583854
10.5,0.586171
10.525,0.588501
10.55,0.590843
10.575,0.593198
10.6,0.595566
10.625,0.597947
10.65,0.600342
10.675,0.60275
10.7,0.605173
10.725,0.607609
10.75,0.61006
10.775,0.612525
10.8,0.615005
10.825,0.6175
10.85,0.620011
10.875,0.622537
10.9,0.625079
10.925,0.627638
10.95,0.630212
10.975,0.632804
11,0.635412
11.025,0.638038
11.05,0.640682
11.075,0.643344
11.1,0.646024
11.125,0.648722
11.15,0.65144
11.175,0.654178
11.2,0.656935
11.225,0.659713
11.25,0.662511
11.275,0.66533
11.3,0.668171
11.325,0.671034
11.35,0.673919
11.375,0.676828
11.4,0.679759
11.425,0.682715
11.45,0.685695
11.475,0.688701
11.5,0.691732
11.525,0.694789
11.55,0.697874
11.575,0.700985
11.6,0.704125
11.625,0.707294
11.65,0.710493
11.675,0.713722
11.7,0.716982
11.725,0.720274
11.75,0.723599
11.775,0.726958
11.8,0.730352
11.825,0.733781
11.85,0.737247
11.875,0.74075
11.9,0.744293
11.925,0.747875
11.95,0.751499
11.975,0.755165
12,0.758875
12.025,0.762631
12.05,0.766433
12.075,0.770284
12.1,0.774185
12.125,0.778137
12.15,0.782143
12.175,0.786205
12.2,0.790324
12.225,0.794503
12.25,0.798744
12.275,0.80305
12.3,0.807422
12.325,0.811865
12.35,0.81638
12.375,0.82097
12.4,0.825639
12.425,0.83039
12.45,0.835228
12.475,0.840159
12.5,0.845211
12.525,0.845339
12.55,0.845381
12.575,0.845391
12.6,0.845392
12.625,0.845393
12.65,0.845393
12.675,0.845393
12.7,0.845393
12.725,0.845393
12.75,0.845393
12.775,0.845393
12.8,0.845393
12.825,0.845393
12.85,0.845393
12.875,0.845393
12.9,0.845393
12.925,0.845393
12.95,0.845393
12.975,0.845393
13,0.845393
13.025,0.845393
13.05,0.845393
13.075,0.845393
13.1,0.845393
13.125,0.845393
13.15,0.845393
13.175,0.845393
13.2,0.845393
13.225,0.845393
13.25,0.845393
13.275,0.845393
13.3,0.845393
13.325,0.845393
13.35,0.845393
13.375,0.845393
13.4,0.845393
13.425,0.845393
13.45,0.845393
13.475,0.845393
13.5,0.845393
13.525,0.845393
13.55,0.845393
13.575,0.845393
13.6,0.845393
13.625,0.845393
13.65,0.845393
13.675,0.845393
13.7,0.845393
13.725,0.845393
13.75,0.845393
13.775,0.845393
13.8,0.845393
13.825,0.845393
13.85,0.845393
13.875,0.845393
13.9,0.845393
13.925,0.845393
13.95,0.845393
13.975,0.845393
14,0.845393
14.025,0.845393
14.05,0.845393
14.075,0.845393
14.1,0.845393
14.125,0.845393
14.15,0.845393
14.175,0.845393
14.2,0.845393
14.225,0.845393
14.25,0.845393
14.275,0.845393
14.3,0.845393
14.325,0.845393
14.35,0.845393
14.375,0.845393
14.4,0.845393
14.425,0.845393
14.45,0.845393
14.475,0.845393
14.5,0.845393
14.525,0.845393
14.55,0.845393
14.575,0.845393
14.6,0.845393
14.625,0.845393
14.65,0.845393
14.675,0.845393
14.7,0.845393
14.725,0.845393
14.75,0.845393
14.775,0.845393
14.8,0.845393
14.825,0.845393
14.85,0.845393
14.875,0.845393
14.9,0.845393
14.925,0.845393
14.95,0.845393
14.975,0.845393
15,0.845393
15.025,0.845393
15.05,0.845393
15.075,0.845393
15.1,0.845393
15.125,0.845393
15.15,0.845393
15.175,0.845393
15.2,0.845393
15.225,0.845393
15.25,0.845393
15.275,0.845393
15.3,0.845393
15.325,0.845393
15.35,0.845393
15.375,0.845393
15.4,0.845393
15.425,0.845393
15.45,0.845393
15.475,0.845393
15.5,0.845393
15.525,0.845393
15.55,0.845393
15.575,0.845393
15.6,0.845393
15.625,0.845393
15.65,0.845393
15.675,0.845393
15.7,0.845393
15.725,0.845393
15.75,0.845393
15.775,0.845393
15.8,0.845393
15.825,0.845393
15.85,0.845393
15.875,0.845393
15.9,0.845393
15.925,0.845393
15.95,0.845393
15.975,0.845393
16,0.845393
16.025,0.845393
16.05,0.845393
16.075,0.845393
16.1,0.845393
16.125,0.845393
16.15,0.845393
16.175,0.845393
16.2,0.845393
16.225,0.845393
16.25,0.845393
16.275,0.845393
16.3,0.845393
16.325,0.845393
16.35,0.845393
16.375,0.845393
16.4,0.845393
16.425,0.845393
16.45,0.845393
16.475,0.845393
16.5,0.845393
16.525,0.845393
16.55,0.845393
16.575,0.845393
16.6,0.845393
16.625,0.845393
16.65,0.845393
16.675,0.845393
16.7,0.845393
16.725,0.845393
16.75,0.845393
16.775,0.845393
16.8,0.845393
16.825,0.845393
16.85,0.845393
16.875,0.845393
16.9,0.845393
16.925,0.845393
16.95,0.845393
16.975,0.845393
17,0.845393
17.025,0.845393
17.05,0.845393
17.075,0.845393
17.1,0.845393
17.125,0.845393
17.15,0.845393
17.175,0.845393
17.2,0.845393
17.225,0.845393
17.25,0.845393
17.275,0.845393
17.3,0.845393
17.325,0.845393
17.35,0.845393
17.375,0.845393
17.4,0.845393
17.425,0.845393
17.45,0.845393
17.475,0.845393
17.5,0.845393
17.525,0.845393
17.55,0.845393
17.575,0.845393
17.6,0.845393
17.625,0.845393
17.65,0.845393
17.675,0.845393
17.7,0.845393
17.725,0.845393
17.75,0.845393
17.775,0.845393
17.8,0.845393
17.825,0.845393
17.85,0.845393
17.875,0.845393
17.9,0.845393
17.925,0.845393
17.95,0.845393
17.975,0.845393
18,0.845393
18.025,0.845393
18.05,0.845393
18.075,0.845393
18.1,0.845393
18.125,0.845393
18.15,0.845393
18.175,0.845393
18.2,0.845393
18.225,0.845393
18.25,0.845393
18.275,0.845393
18.3,0.845393
18.325,0.845393
18.35,0.845393
18.375,0.845393
18.4,0.845393
18.425,0.845393
18.45,0.845393
18.475,0.845393
18.5,0.845393
18.525,0.845393
18.55,0.845393
18.575,0.845393
18.6,0.845393
18.625,0.845393
18.65,0.845393
18.675,0.845393
18.7,0.845393
18.725,0.845393
18.75,0.845393
18.775,0.845393
18.8,0.845393
18.825,0.845393
18.85,0.845393
18.875,0.845393
18.9,0.845393
18.925,0.845393
18.95,0.845393
18.975,0.845393
19,0.845393
19.025,0.845393
19.05,0.845393
19.075,0.845393
19.1,0.845393
19.125,0.845393
19.15,0.845393
19.175,0.845393
19.2,0.845393
19.225,0.845393
19.25,0.845393
19.275,0.845393
19.3,0.845393
19.325,0.845393
19.35,0.845393
19.375,0.845393
19.4,0.845393
19.425,0.845393
19.45,0.845393
19.475,0.845393
19.5,0.845393
19.525,0.845393
19.55,0.845393
19.575,0.845393
19.6,0.845393
19.625,0.845393
19.65,0.845393
19.675,0.845393
19.7,0.845393
19.725,0.845393
19.75,0.845393
19.775,0.845393
19.8,0.845393
19.825,0.845393
19.85,0.845393
19.875,0.845393
19.9,0.845393
19.925,0.845393
19.95,0.845393
19.975,0.845393
20,0.845393
20.025,0.845393
20.05,0.845393
20.075,0.845393
20.1,0.845393
20.125,0.845393
20.15,0.845393
20.175,0.845393
20.2,0.845393
20.225,0.845393
20.25,0.845393
20.275,0.845393
20.3,0.845393
20.325,0.845393
20.35,0.845393
20.375,0.845393
20.4,0.845393
20.425,0.845393
20.45,0.845393
20.475,0.845393
20.5,0.845393
20.525,0.845393
20.55,0.845393
20.575,0.845393
20.6,0.845393
20.625,0.845393
20.65,0.845393
20.675,0.845393
20.7,0.845393
20.725,0.845393
20.75,0.845393
20.775,0.845393
20.8,0.845393
20.825,0.845393
20.85,0.845393
20.875,0.845393
20.9,0.845393
20.925,0.845393
20.95,0.845393
20.975,0.845393
21,0.845393
21.025,0.845393
21.05,0.845393
21.075,0.845393
21.1,0.845393
21.125,0.845393
21.15,0.845393
21.175,0.845393
21.2,0.845393
21.225,0.845393
21.25,0.845393
21.275,0.845393
21.3,0.845393
21.325,0.845393
21.35,0.845393
21.375,0.845393
21.4,0.845393
21.425,0.845393
21.45,0.845393
21.475,0.845393
21.5,0.845393
21.525,0.845393
21.55,0.845393
21.575,0.845393
21.6,0.845393
21.625,0.845393
21.65,0.845393
21.675,0.845393
21.7,0.845393
21.725,0.845393
21.75,0.845393
21.775,0.845393
21.8,0.845393
21.825,0.845393
21.85,0.845393
21.875,0.845393
21.9,0.845393
21.925,0.845393
21.95,0.845393
21.975,0.845393
22,0.845393
22.025,0.845393
22.05,0.845393
22.075,0.845393
22.1,0.845393
22.125,0.845393
22.15,0.845393
22.175,0.845393
22.2,0.845393
22.225,0.845393
22.25,0.845393
22.275,0.845393
22.3,0.845393
22.325,0.845393
22.35,0.845393
22.375,0.845393
22.4,0.845393
22.425,0.845393
22.45,0.845393
22.475,0.845393
22.5,0.845393
22.525,0.845393
22.55,0.845393
22.575,0.845393
22.6,0.845393
22.625,0.845393
22.65,0.845393
22.675,0.845393
22.7,0.845393
22.725,0.845393
22.75,0.845393
22.775,0.845393
22.8,0.845393
22.825,0.845393
22.85,0.845393
22.875,0.845393
22.9,0.845393
22.925,0.845393
22.95,0.845393
22.975,0.845393
23,0.845393
23.025,0.845393
23.05,0.845393
23.075,0.845393
23.1,0.845393
23.125,0.845393
23.15,0.845393
23.175,0.845393
23.2,0.845393
23.225,0.845393
23.25,0.845393
23.275,0.845393
23.3,0.845393
23.325,0.845393
23.35,0.845393
23.375,0.845393
23.4,0.845393
23.425,0.845393
23.45,0.845393
23.475,0.845393
23.5,0.845393
23.525,0.845393
23.55,0.845393
23.575,0.845393
23.6,0.845393
23.625,0.845393
23.65,0.845393
23.675,0.845393
23.7,0.845393
23.725,0.845393
23.75,0.845393
23.775,0.845393
23.8,0.845393
23.825,0.845393
23.85,0.845393
23.875,0.845393
23.9,0.845393
23.925,0.845393
23.95,0.845393
23.975,0.845393
24,0.845393
24.025,0.845393
24.05,0.845393
24.075,0.845393
24.1,0.845393
24.125,0.845393
24.15,0.845393
24.175,0.845393
24.2,0.845393
24.225,0.845393
24.25,0.845393
24.275,0.845393
24.3,0.845393
24.325,0.845393
24.35,0.845393
24.375,0.845393
24.4,0.845393
24.425,0.845393
24.45,0.845393
24.475,0.845393
24.5,0.845393
24.525,0.845393
24.55,0.845393
24.575,0.845393
24.6,0.845393
24.625,0.845393
24.65,0.845393
24.675,0.845393
24.7,0.845393
24.725,0.845393
24.75,0.845393
24.775,0.845393
24.8,0.845394
24.825,0.845394
24.85,0.845395
24.875,0.845396
24.9,0.845396
24.925,0.845397
24.95,0.845399
24.975,0.8454
25,1
