"arc_length","T"
0,62.4055
0.025,62.4057
0.05,62.4061
0.075,62.4067
0.1,62.4073
0.125,62.4079
0.15,62.4085
0.175,62.409
0.2,62.4095
0.225,62.41
0.25,62.4105
0.275,62.4109
0.3,62.4113
0.325,62.4116
0.35,62.4119
0.375,62.4121
0.4,62.4123
0.425,62.4125
0.45,62.4126
0.475,62.4127
0.5,62.4127
0.525,62.4127
0.55,62.4127
0.575,62.4126
0.6,62.4125
0.625,62.4123
0.65,62.4121
0.675,62.4118
0.7,62.4116
0.725,62.4112
0.75,62.4108
0.775,62.4104
0.8,62.41
0.825,62.4095
0.85,62.4089
0.875,62.4083
0.9,62.4077
0.925,62.407
0.95,62.4063
0.975,62.4056
1,62.4048
1.025,62.4039
1.05,62.4031
1.075,62.4021
1.1,62.4012
1.125,62.4002
1.15,62.3991
1.175,62.398
1.2,62.3969
1.225,62.3957
1.25,62.3945
1.275,62.3933
1.3,62.392
1.325,62.3906
1.35,62.3892
1.375,62.3878
1.4,62.3864
1.425,62.3849
1.45,62.3833
1.475,62.3817
1.5,62.3801
1.525,62.3784
1.55,62.3767
1.575,62.3749
1.6,62.3731
1.625,62.3713
1.65,62.3694
1.675,62.3675
1.7,62.3655
1.725,62.3635
1.75,62.3614
1.775,62.3593
1.8,62.3572
1.825,62.355
1.85,62.3527
1.875,62.3505
1.9,62.3481
1.925,62.3458
1.95,62.3434
1.975,62.3409
2,62.3384
2.025,62.3359
2.05,62.3333
2.075,62.3307
2.1,62.3281
2.125,62.3254
2.15,62.3226
2.175,62.3198
2.2,62.317
2.225,62.3141
2.25,62.3112
2.275,62.3082
2.3,62.3052
2.325,62.3021
2.35,62.299
2.375,62.2959
2.4,62.2927
2.425,62.2895
2.45,62.2862
2.475,62.2829
2.5,62.2795
2.525,62.2761
2.55,62.2726
2.575,62.2691
2.6,62.2656
2.625,62.262
2.65,62.2583
2.675,62.2546
2.7,62.2509
2.725,62.2472
2.75,62.2434
2.775,62.2395
2.8,62.2356
2.825,62.2317
2.85,62.2277
2.875,62.2237
2.9,62.2196
2.925,62.2154
2.95,62.2113
2.975,62.207
3,62.2028
3.025,62.1984
3.05,62.1941
3.075,62.1897
3.1,62.1852
3.125,62.1807
3.15,62.1762
3.175,62.1716
3.2,62.167
3.225,62.1623
3.25,62.1575
3.275,62.1528
3.3,62.1479
3.325,62.1431
3.35,62.1381
3.375,62.1332
3.4,62.1282
3.425,62.1231
3.45,62.118
3.475,62.1128
3.5,62.1076
3.525,62.1024
3.55,62.0971
3.575,62.0917
3.6,62.0863
3.625,62.0809
3.65,62.0754
3.675,62.0698
3.7,62.0642
3.725,62.0586
3.75,62.0529
3.775,62.0471
3.8,62.0413
3.825,62.0355
3.85,62.0296
3.875,62.0237
3.9,62.0177
3.925,62.0116
3.95,62.0055
3.975,61.9994
4,61.9932
4.025,61.987
4.05,61.9807
4.075,61.9743
4.1,61.9679
4.125,61.9615
4.15,61.955
4.175,61.9484
4.2,61.9418
4.225,61.9352
4.25,61.9285
4.275,61.9217
4.3,61.9149
4.325,61.908
4.35,61.9011
4.375,61.8942
4.4,61.8871
4.425,61.8801
4.45,61.8729
4.475,61.8657
4.5,61.8585
4.525,61.8512
4.55,61.8439
4.575,61.8365
4.6,61.829
4.625,61.8215
4.65,61.814
4.675,61.8063
4.7,61.7987
4.725,61.7909
4.75,61.7832
4.775,61.7753
4.8,61.7674
4.825,61.7595
4.85,61.7515
4.875,61.7434
4.9,61.7353
4.925,61.7271
4.95,61.7189
4.975,61.7106
5,61.7022
5.025,61.6938
5.05,61.6853
5.075,61.6768
5.1,61.6682
5.125,61.6596
5.15,61.6509
5.175,61.6421
5.2,61.6333
5.225,61.6244
5.25,61.6155
5.275,61.6065
5.3,61.5974
5.325,61.5883
5.35,61.5791
5.375,61.5698
5.4,61.5606
5.425,61.5513
5.45,61.5418
5.475,61.5323
5.5,61.5227
5.525,61.5132
5.55,61.5034
5.575,61.4937
5.6,61.4839
5.625,61.4741
5.65,61.4641
5.675,61.4541
5.7,61.4441
5.725,61.434
5.75,61.4237
5.775,61.4135
5.8,61.4032
5.825,61.3927
5.85,61.3823
5.875,61.3719
5.9,61.3612
5.925,61.3505
5.95,61.3398
5.975,61.3291
6,61.3182
6.025,61.3072
6.05,61.2962
6.075,61.2852
6.1,61.274
6.125,61.2628
6.15,61.2516
6.175,61.2402
6.2,61.2288
6.225,61.2174
6.25,61.2058
6.275,61.194
6.3,61.1824
6.325,61.1707
6.35,61.1588
6.375,61.1468
6.4,61.1348
6.425,61.1228
6.45,61.1107
6.475,61.0984
6.5,61.0861
6.525,61.0738
6.55,61.0613
6.575,61.0487
6.6,61.0362
6.625,61.0234
6.65,61.0106
6.675,60.9979
6.7,60.985
6.725,60.972
6.75,60.9588
6.775,60.9457
6.8,60.9325
6.825,60.9192
6.85,60.9057
6.875,60.8922
6.9,60.8788
6.925,60.8651
6.95,60.8513
6.975,60.8375
7,60.8236
7.025,60.8096
7.05,60.7955
7.075,60.7814
7.1,60.7671
7.125,60.7528
7.15,60.7384
7.175,60.7239
7.2,60.7093
7.225,60.6946
7.25,60.6798
7.275,60.6649
7.3,60.65
7.325,60.635
7.35,60.6198
7.375,60.6046
7.4,60.5893
7.425,60.5739
7.45,60.5583
7.475,60.5427
7.5,60.527
7.525,60.5112
7.55,60.4953
7.575,60.4793
7.6,60.4632
7.625,60.447
7.65,60.4307
7.675,60.4143
7.7,60.3978
7.725,60.3813
7.75,60.3645
7.775,60.3477
7.8,60.3308
7.825,60.3138
7.85,60.2967
7.875,60.2795
7.9,60.2622
7.925,60.2447
7.95,60.2272
7.975,60.2095
8,60.1918
8.025,60.1739
8.05,60.1559
8.075,60.1378
8.1,60.1196
8.125,60.1012
8.15,60.0828
8.175,60.0642
8.2,60.0456
8.225,60.0268
8.25,60.0078
8.275,59.9888
8.3,59.9696
8.325,59.9504
8.35,59.931
8.375,59.9114
8.4,59.8918
8.425,59.872
8.45,59.8521
8.475,59.8321
8.5,59.8119
8.525,59.7916
8.55,59.7712
8.575,59.7507
8.6,59.73
8.625,59.7092
8.65,59.6882
8.675,59.6671
8.7,59.6459
8.725,59.6245
8.75,59.603
8.775,59.5813
8.8,59.5596
8.825,59.5376
8.85,59.5155
8.875,59.4933
8.9,59.4709
8.925,59.4484
8.95,59.4257
8.975,59.4029
9,59.3799
9.025,59.3567
9.05,59.3334
9.075,59.31
9.1,59.2864
9.125,59.2626
9.15,59.2386
9.175,59.2145
9.2,59.1902
9.225,59.1658
9.25,59.1412
9.275,59.1164
9.3,59.0915
9.325,59.0663
9.35,59.041
9.375,59.0155
9.4,58.9899
9.425,58.964
9.45,58.938
9.475,58.9118
9.5,58.8853
9.525,58.8588
9.55,58.832
9.575,58.805
9.6,58.7778
9.625,58.7504
9.65,58.7228
9.675,58.695
9.7,58.6671
9.725,58.6389
9.75,58.6104
9.775,58.5818
9.8,58.553
9.825,58.5239
9.85,58.4947
9.875,58.4652
9.9,58.4354
9.925,58.4055
9.95,58.3753
9.975,58.3449
10,58.3142
10.025,58.2833
10.05,58.2522
10.075,58.2208
10.1,58.1892
10.125,58.1573
10.15,58.1251
10.175,58.0927
10.2,58.06
10.225,58.0271
10.25,57.9939
10.275,57.9604
10.3,57.9267
10.325,57.8926
10.35,57.8583
10.375,57.8237
10.4,57.7888
10.425,57.7536
10.45,57.7181
10.475,57.6823
10.5,57.6462
10.525,57.6097
10.55,57.573
10.575,57.5359
10.6,57.4985
10.625,57.4607
10.65,57.4226
10.675,57.3842
10.7,57.3454
10.725,57.3062
