"arc_length","N","M"
0.579,0.807068,0.48893
0.58,0.806448,0.489903
0.581,0.805827,0.490878
0.582,0.805205,0.491853
0.583,0.804583,0.492828
0.584,0.80396,0.493805
0.585,0.803336,0.494782
0.586,0.802711,0.49576
0.587,0.802086,0.496739
0.588,0.801459,0.497719
0.589,0.800832,0.498699
0.59,0.800205,0.49968
0.591,0.799576,0.500662
0.592,0.798947,0.501645
0.593,0.798317,0.502628
0.594,0.797686,0.503612
0.595,0.797055,0.504597
0.596,0.796423,0.505583
0.597,0.79579,0.50657
0.598,0.795157,0.507557
0.599,0.794522,0.508545
0.6,0.793887,0.509534
0.601,0.793251,0.510524
0.602,0.792615,0.511514
0.603,0.791978,0.512505
0.604,0.79134,0.513498
0.605,0.790701,0.51449
0.606,0.790062,0.515484
0.607,0.789422,0.516479
0.608,0.788781,0.517474
0.609,0.788139,0.51847
0.61,0.787497,0.519467
0.611,0.786854,0.520465
0.612,0.786211,0.521463
0.613,0.785566,0.522463
0.614,0.784921,0.523463
0.615,0.784275,0.524464
0.616,0.783629,0.525466
0.617,0.782982,0.526468
0.618,0.782334,0.527472
0.619,0.781685,0.528476
0.62,0.781036,0.529481
0.621,0.780386,0.530487
0.622,0.779736,0.531494
0.623,0.779084,0.532502
0.624,0.778432,0.53351
0.625,0.777779,0.53452
0.626,0.777126,0.53553
0.627,0.776472,0.536541
0.628,0.775817,0.537553
0.629,0.775162,0.538566
0.63,0.774506,0.539579
0.631,0.773849,0.540594
0.632,0.773191,0.541609
0.633,0.772533,0.542626
0.634,0.771875,0.543643
0.635,0.771215,0.544661
0.636,0.770555,0.545679
0.637,0.769894,0.546699
0.638,0.769233,0.54772
0.639,0.76857,0.548741
0.64,0.767908,0.549763
0.641,0.767244,0.550787
0.642,0.76658,0.551811
0.643,0.765915,0.552836
0.644,0.76525,0.553862
0.645,0.764584,0.554888
0.646,0.763917,0.555916
0.647,0.76325,0.556945
0.648,0.762582,0.557974
0.649,0.761913,0.559005
0.65,0.761244,0.560036
0.651,0.760573,0.561068
0.652,0.759903,0.562101
0.653,0.759232,0.563135
0.654,0.75856,0.56417
0.655,0.757887,0.565206
0.656,0.757214,0.566243
0.657,0.75654,0.56728
0.658,0.755866,0.568319
0.659,0.755191,0.569358
0.66,0.754515,0.570399
0.661,0.753839,0.57144
0.662,0.753162,0.572483
0.663,0.752484,0.573526
0.664,0.751806,0.57457
0.665,0.751127,0.575615
0.666,0.750447,0.576661
0.667,0.749767,0.577708
0.668,0.749087,0.578756
0.669,0.748405,0.579805
0.67,0.747723,0.580855
0.671,0.747041,0.581906
0.672,0.746358,0.582958
0.673,0.745674,0.584011
0.674,0.74499,0.585065
0.675,0.744305,0.586119
0.676,0.743619,0.587175
0.677,0.742933,0.588232
0.678,0.742246,0.589289
0.679,0.741559,0.590348
0.68,0.740871,0.591407
0.681,0.740182,0.592468
0.682,0.739493,0.59353
0.683,0.738803,0.594592
0.684,0.738113,0.595656
0.685,0.737422,0.59672
0.686,0.736731,0.597786
0.687,0.736039,0.598852
0.688,0.735346,0.59992
0.689,0.734653,0.600989
0.69,0.733959,0.602058
0.691,0.733265,0.603129
0.692,0.73257,0.6042
0.693,0.731874,0.605273
0.694,0.731178,0.606347
0.695,0.730481,0.607421
0.696,0.729784,0.608497
0.697,0.729086,0.609574
0.698,0.728388,0.610651
0.699,0.727689,0.61173
0.7,0.726989,0.61281
0.701,0.726289,0.613891
0.702,0.725588,0.614973
0.703,0.724887,0.616056
0.704,0.724186,0.61714
0.705,0.723483,0.618225
0.706,0.72278,0.619311
0.707,0.722077,0.620398
0.708,0.721373,0.621486
0.709,0.720669,0.622576
0.71,0.719964,0.623666
0.711,0.719258,0.624757
0.712,0.718552,0.62585
0.713,0.717845,0.626944
0.714,0.717138,0.628038
0.715,0.71643,0.629134
0.716,0.715722,0.630231
0.717,0.715013,0.631329
0.718,0.714304,0.632428
0.719,0.713594,0.633528
0.72,0.712884,0.634629
0.721,0.712173,0.635731
0.722,0.711461,0.636834
0.723,0.710749,0.637939
0.724,0.710037,0.639044
0.725,0.709324,0.640151
0.726,0.70861,0.641259
0.727,0.707896,0.642368
0.728,0.707182,0.643478
0.729,0.706467,0.644589
0.73,0.705751,0.645701
0.731,0.705035,0.646815
0.732,0.704318,0.647929
0.733,0.703601,0.649045
0.734,0.702884,0.650162
0.735,0.702166,0.65128
0.736,0.701447,0.652399
0.737,0.700728,0.653519
0.738,0.700008,0.654641
0.739,0.699288,0.655763
0.74,0.698568,0.656887
0.741,0.697847,0.658012
0.742,0.697125,0.659138
0.743,0.696403,0.660265
0.744,0.695681,0.661393
0.745,0.694958,0.662523
0.746,0.694234,0.663654
0.747,0.69351,0.664786
0.748,0.692786,0.665919
0.749,0.692061,0.667053
0.75,0.691335,0.668188
0.751,0.69061,0.669325
0.752,0.689883,0.670463
0.753,0.689156,0.671602
0.754,0.688429,0.672742
0.755,0.687702,0.673884
0.756,0.686973,0.675026
0.757,0.686245,0.67617
0.758,0.685516,0.677315
0.759,0.684786,0.678462
0.76,0.684056,0.679609
0.761,0.683326,0.680758
0.762,0.682595,0.681908
0.763,0.681863,0.683059
0.764,0.681131,0.684212
0.765,0.680399,0.685365
0.766,0.679666,0.68652
0.767,0.678933,0.687677
0.768,0.6782,0.688834
0.769,0.677466,0.689993
0.77,0.676731,0.691153
0.771,0.675996,0.692314
0.772,0.675261,0.693476
0.773,0.674525,0.69464
0.774,0.673789,0.695805
0.775,0.673052,0.696971
0.776,0.672315,0.698139
0.777,0.671578,0.699308
0.778,0.67084,0.700478
0.779,0.670101,0.701649
0.78,0.669363,0.702822
0.781,0.668623,0.703996
0.782,0.667884,0.705171
0.783,0.667144,0.706348
0.784,0.666403,0.707526
0.785,0.665663,0.708705
0.786,0.664921,0.709885
0.787,0.66418,0.711067
0.788,0.663438,0.71225
0.789,0.662695,0.713435
0.79,0.661952,0.714621
0.791,0.661209,0.715808
0.792,0.660465,0.716996
0.793,0.659721,0.718186
0.794,0.658977,0.719377
0.795,0.658232,0.72057
0.796,0.657487,0.721764
0.797,0.656741,0.722959
0.798,0.655995,0.724156
0.799,0.655249,0.725354
0.8,0.654502,0.726553
0.801,0.653755,0.727754
0.802,0.653007,0.728956
0.803,0.652259,0.730159
0.804,0.651511,0.731364
0.805,0.650763,0.73257
0.806,0.650014,0.733778
0.807,0.649264,0.734987
0.808,0.648514,0.736197
0.809,0.647764,0.737409
0.81,0.647014,0.738622
0.811,0.646263,0.739837
0.812,0.645512,0.741052
0.813,0.64476,0.74227
0.814,0.644008,0.743489
0.815,0.643256,0.744709
0.816,0.642503,0.745931
0.817,0.64175,0.747154
0.818,0.640997,0.748378
0.819,0.640243,0.749604
0.82,0.639489,0.750832
0.821,0.638735,0.752061
0.822,0.63798,0.753291
