"arc_length","N","M"
0.555,0.915918,0.302986
0.556,0.915584,0.303643
0.557,0.915249,0.3043
0.558,0.914913,0.304958
0.559,0.914577,0.305617
0.56,0.914239,0.306277
0.561,0.913901,0.306938
0.562,0.913561,0.307599
0.563,0.913221,0.308261
0.564,0.91288,0.308924
0.565,0.912538,0.309588
0.566,0.912195,0.310252
0.567,0.911852,0.310917
0.568,0.911507,0.311584
0.569,0.911161,0.31225
0.57,0.910815,0.312918
0.571,0.910468,0.313587
0.572,0.910119,0.314256
0.573,0.90977,0.314926
0.574,0.90942,0.315597
0.575,0.909069,0.316269
0.576,0.908717,0.316942
0.577,0.908365,0.317615
0.578,0.908011,0.31829
0.579,0.907656,0.318965
0.58,0.907301,0.319641
0.581,0.906944,0.320318
0.582,0.906587,0.320996
0.583,0.906228,0.321674
0.584,0.905869,0.322354
0.585,0.905509,0.323034
0.586,0.905148,0.323716
0.587,0.904786,0.324398
0.588,0.904423,0.325081
0.589,0.904059,0.325765
0.59,0.903694,0.32645
0.591,0.903328,0.327135
0.592,0.902961,0.327822
0.593,0.902593,0.32851
0.594,0.902225,0.329198
0.595,0.901855,0.329887
0.596,0.901484,0.330578
0.597,0.901113,0.331269
0.598,0.90074,0.331961
0.599,0.900367,0.332654
0.6,0.899992,0.333348
0.601,0.899617,0.334043
0.602,0.89924,0.334739
0.603,0.898863,0.335436
0.604,0.898484,0.336133
0.605,0.898105,0.336832
0.606,0.897724,0.337532
0.607,0.897343,0.338233
0.608,0.89696,0.338934
0.609,0.896577,0.339637
0.61,0.896193,0.34034
0.611,0.895807,0.341045
0.612,0.895421,0.341751
0.613,0.895033,0.342457
0.614,0.894645,0.343165
0.615,0.894255,0.343873
0.616,0.893865,0.344583
0.617,0.893473,0.345294
0.618,0.893081,0.346005
0.619,0.892687,0.346718
0.62,0.892293,0.347431
0.621,0.891897,0.348146
0.622,0.8915,0.348862
0.623,0.891102,0.349579
0.624,0.890704,0.350297
0.625,0.890304,0.351016
0.626,0.889903,0.351736
0.627,0.889501,0.352457
0.628,0.889098,0.353179
0.629,0.888694,0.353902
0.63,0.888289,0.354626
0.631,0.887883,0.355352
0.632,0.887476,0.356078
0.633,0.887067,0.356806
0.634,0.886658,0.357534
0.635,0.886247,0.358264
0.636,0.885836,0.358995
0.637,0.885423,0.359727
0.638,0.885009,0.36046
0.639,0.884595,0.361194
0.64,0.884179,0.36193
0.641,0.883762,0.362666
0.642,0.883343,0.363404
0.643,0.882924,0.364143
0.644,0.882504,0.364883
0.645,0.882082,0.365624
0.646,0.88166,0.366366
0.647,0.881236,0.36711
0.648,0.880811,0.367855
0.649,0.880385,0.368601
0.65,0.879958,0.369348
0.651,0.87953,0.370096
0.652,0.8791,0.370846
0.653,0.87867,0.371596
0.654,0.878238,0.372348
0.655,0.877805,0.373102
0.656,0.877371,0.373856
0.657,0.876936,0.374612
0.658,0.8765,0.375369
0.659,0.876062,0.376127
0.66,0.875624,0.376886
0.661,0.875184,0.377647
0.662,0.874743,0.378409
0.663,0.8743,0.379172
0.664,0.873857,0.379937
0.665,0.873412,0.380703
0.666,0.872966,0.38147
0.667,0.872519,0.382239
0.668,0.872071,0.383008
0.669,0.871622,0.38378
0.67,0.871171,0.384552
0.671,0.870719,0.385326
0.672,0.870266,0.386101
0.673,0.869812,0.386877
0.674,0.869356,0.387655
0.675,0.868899,0.388435
0.676,0.868441,0.389215
0.677,0.867982,0.389997
0.678,0.867521,0.390781
0.679,0.867059,0.391566
0.68,0.866596,0.392352
0.681,0.866132,0.393139
0.682,0.865666,0.393928
0.683,0.865199,0.394719
0.684,0.864731,0.395511
0.685,0.864262,0.396304
0.686,0.863791,0.397099
0.687,0.863319,0.397895
0.688,0.862845,0.398693
0.689,0.862371,0.399492
0.69,0.861895,0.400293
0.691,0.861417,0.401095
0.692,0.860939,0.401899
0.693,0.860459,0.402705
0.694,0.859977,0.403511
0.695,0.859495,0.40432
0.696,0.859011,0.405129
0.697,0.858525,0.405941
0.698,0.858039,0.406754
0.699,0.857551,0.407568
0.7,0.857061,0.408385
0.701,0.85657,0.409202
0.702,0.856078,0.410022
0.703,0.855584,0.410843
0.704,0.85509,0.411665
0.705,0.854593,0.412489
0.706,0.854095,0.413315
0.707,0.853596,0.414143
0.708,0.853096,0.414972
0.709,0.852594,0.415802
0.71,0.85209,0.416635
0.711,0.851585,0.417469
0.712,0.851079,0.418305
0.713,0.850571,0.419142
0.714,0.850062,0.419982
0.715,0.849551,0.420823
0.716,0.849039,0.421665
0.717,0.848526,0.42251
0.718,0.848011,0.423356
0.719,0.847494,0.424204
0.72,0.846976,0.425054
0.721,0.846457,0.425906
0.722,0.845936,0.426759
0.723,0.845413,0.427614
0.724,0.844889,0.428471
0.725,0.844363,0.42933
0.726,0.843836,0.430191
0.727,0.843308,0.431053
0.728,0.842777,0.431918
0.729,0.842246,0.432784
0.73,0.841712,0.433652
0.731,0.841177,0.434523
0.732,0.840641,0.435395
0.733,0.840103,0.436269
0.734,0.839563,0.437145
0.735,0.839022,0.438023
0.736,0.838479,0.438902
0.737,0.837935,0.439784
0.738,0.837389,0.440668
0.739,0.836841,0.441554
0.74,0.836292,0.442442
0.741,0.835741,0.443332
0.742,0.835188,0.444224
0.743,0.834634,0.445118
0.744,0.834078,0.446014
0.745,0.83352,0.446912
0.746,0.832961,0.447813
0.747,0.8324,0.448715
0.748,0.831837,0.44962
0.749,0.831273,0.450527
0.75,0.830707,0.451435
0.751,0.830139,0.452347
0.752,0.82957,0.45326
0.753,0.828998,0.454175
0.754,0.828425,0.455093
0.755,0.82785,0.456013
0.756,0.827274,0.456935
0.757,0.826695,0.45786
0.758,0.826115,0.458787
0.759,0.825533,0.459716
0.76,0.824949,0.460647
0.761,0.824364,0.461581
0.762,0.823776,0.462517
0.763,0.823187,0.463456
0.764,0.822596,0.464397
0.765,0.822003,0.46534
0.766,0.821408,0.466286
0.767,0.820811,0.467234
0.768,0.820212,0.468184
0.769,0.819612,0.469137
0.77,0.819009,0.470093
0.771,0.818405,0.471051
0.772,0.817798,0.472012
0.773,0.81719,0.472975
0.774,0.81658,0.473941
0.775,0.815968,0.474909
0.776,0.815353,0.47588
0.777,0.814737,0.476854
0.778,0.814119,0.47783
0.779,0.813499,0.478809
0.78,0.812877,0.479791
0.781,0.812252,0.480775
0.782,0.811626,0.481762
0.783,0.810998,0.482752
0.784,0.810367,0.483744
0.785,0.809734,0.48474
0.786,0.8091,0.485738
0.787,0.808463,0.486739
0.788,0.807824,0.487743
0.789,0.807183,0.48875
0.79,0.80654,0.48976
0.791,0.805894,0.490772
0.792,0.805247,0.491788
0.793,0.804597,0.492806
0.794,0.803945,0.493828
0.795,0.803291,0.494853
0.796,0.802634,0.49588
0.797,0.801976,0.496911
0.798,0.801315,0.497945
0.799,0.800651,0.498982
0.8,0.799986,0.500022
0.801,0.799318,0.501065
0.802,0.798648,0.502112
0.803,0.797975,0.503162
0.804,0.7973,0.504215
0.805,0.796623,0.505271
0.806,0.795943,0.506331
0.807,0.795261,0.507394
0.808,0.794577,0.50846
0.809,0.79389,0.50953
0.81,0.7932,0.510603
0.811,0.792508,0.51168
0.812,0.791814,0.51276
0.813,0.791117,0.513844
0.814,0.790418,0.514931
0.815,0.789716,0.516022
0.816,0.789011,0.517116
