"arc_length","N"
36.3,1.02621
36.4,1.02628
36.5,1.02636
36.6,1.02644
36.7,1.02651
36.8,1.02659
36.9,1.02667
37,1.02674
37.1,1.02682
37.2,1.0269
37.3,1.02697
37.4,1.02705
37.5,1.02713
37.6,1.02721
37.7,1.02728
37.8,1.02736
37.9,1.02744
38,1.02751
38.1,1.02759
38.2,1.02767
38.3,1.02774
38.4,1.02782
38.5,1.0279
38.6,1.02798
38.7,1.02805
38.8,1.02813
38.9,1.02821
39,1.02828
39.1,1.02836
39.2,1.02844
39.3,1.02852
39.4,1.02859
39.5,1.02867
39.6,1.02875
39.7,1.02883
39.8,1.0289
39.9,1.02898
40,1.02906
40.1,1.02914
40.2,1.02921
40.3,1.02929
40.4,1.02937
40.5,1.02945
40.6,1.02952
40.7,1.0296
40.8,1.02968
40.9,1.02976
41,1.02983
41.1,1.02991
41.2,1.02999
41.3,1.03007
41.4,1.03015
41.5,1.03022
41.6,1.0303
41.7,1.03038
41.8,1.03046
41.9,1.03054
42,1.03061
42.1,1.03069
42.2,1.03077
42.3,1.03085
42.4,1.03093
42.5,1.031
42.6,1.03108
42.7,1.03116
42.8,1.03124
42.9,1.03132
43,1.0314
43.1,1.03147
43.2,1.03155
43.3,1.03163
43.4,1.03171
43.5,1.03179
43.6,1.03187
43.7,1.03194
43.8,1.03202
43.9,1.0321
44,1.03218
44.1,1.03226
44.2,1.03234
44.3,1.03242
44.4,1.03249
44.5,1.03257
44.6,1.03265
44.7,1.03273
44.8,1.03281
44.9,1.03289
45,1.03297
45.1,1.03305
45.2,1.03312
45.3,1.0332
45.4,1.03328
45.5,1.03336
45.6,1.03344
45.7,1.03352
45.8,1.0336
45.9,1.03368
46,1.03376
46.1,1.03384
46.2,1.03391
46.3,1.03399
46.4,1.03407
46.5,1.03415
46.6,1.03423
46.7,1.03431
46.8,1.03439
46.9,1.03447
47,1.03455
47.1,1.03463
47.2,1.03471
47.3,1.03479
47.4,1.03487
47.5,1.03495
47.6,1.03503
47.7,1.03511
47.8,1.03519
47.9,1.03526
48,1.03534
48.1,1.03542
48.2,1.0355
48.3,1.03558
48.4,1.03566
48.5,1.03574
48.6,1.03582
48.7,1.0359
48.8,1.03598
48.9,1.03606
49,1.03614
49.1,1.03622
49.2,1.0363
49.3,1.03638
49.4,1.03646
49.5,1.03654
49.6,1.03662
49.7,1.0367
49.8,1.03678
49.9,1.03686
50,1.03694
50.1,1.03702
50.2,1.0371
50.3,1.03718
50.4,1.03726
50.5,1.03734
50.6,1.03742
50.7,1.03751
50.8,1.03759
50.9,1.03767
51,1.03775
51.1,1.03783
51.2,1.03791
51.3,1.03799
51.4,1.03807
51.5,1.03815
51.6,1.03823
51.7,1.03831
51.8,1.03839
51.9,1.03847
52,1.03855
52.1,1.03863
52.2,1.03871
52.3,1.0388
52.4,1.03888
52.5,1.03896
52.6,1.03904
52.7,1.03912
52.8,1.0392
52.9,1.03928
53,1.03936
53.1,1.03944
53.2,1.03952
53.3,1.03961
53.4,1.03969
53.5,1.03977
53.6,1.03985
53.7,1.03993
53.8,1.04001
53.9,1.04009
54,1.04017
54.1,1.04026
54.2,1.04034
54.3,1.04042
54.4,1.0405
54.5,1.04058
54.6,1.04066
54.7,1.04074
54.8,1.04083
54.9,1.04091
55,1.04099
55.1,1.04107
55.2,1.04115
55.3,1.04123
55.4,1.04132
55.5,1.0414
55.6,1.04148
55.7,1.04156
55.8,1.04164
55.9,1.04173
56,1.04181
56.1,1.04189
56.2,1.04197
56.3,1.04205
56.4,1.04214
56.5,1.04222
56.6,1.0423
56.7,1.04238
56.8,1.04246
56.9,1.04255
57,1.04263
57.1,1.04271
57.2,1.04279
57.3,1.04287
57.4,1.04296
57.5,1.04304
57.6,1.04312
57.7,1.0432
57.8,1.04329
57.9,1.04337
58,1.04345
58.1,1.04353
58.2,1.04362
58.3,1.0437
58.4,1.04378
58.5,1.04386
58.6,1.04395
58.7,1.04403
58.8,1.04411
58.9,1.0442
59,1.04428
59.1,1.04436
59.2,1.04444
59.3,1.04453
59.4,1.04461
59.5,1.04469
59.6,1.04478
59.7,1.04486
59.8,1.04494
59.9,1.04502
60,1.04511
60.1,1.04519
60.2,1.04527
60.3,1.04536
60.4,1.04544
60.5,1.04552
60.6,1.04561
60.7,1.04569
60.8,1.04577
60.9,1.04586
61,1.04594
61.1,1.04602
61.2,1.04611
61.3,1.04619
61.4,1.04627
61.5,1.04636
61.6,1.04644
61.7,1.04652
61.8,1.04661
61.9,1.04669
62,1.04678
62.1,1.04686
62.2,1.04694
62.3,1.04703
62.4,1.04711
62.5,1.04719
62.6,1.04728
62.7,1.04736
62.8,1.04745
62.9,1.04753
63,1.04761
63.1,1.0477
63.2,1.04778
63.3,1.04787
63.4,1.04795
63.5,1.04803
63.6,1.04812
63.7,1.0482
63.8,1.04829
63.9,1.04837
64,1.04846
64.1,1.04854
64.2,1.04862
64.3,1.04871
64.4,1.04879
64.5,1.04888
64.6,1.04896
64.7,1.04905
64.8,1.04913
64.9,1.04922
65,1.0493
65.1,1.04938
65.2,1.04947
65.3,1.04955
65.4,1.04964
65.5,1.04972
65.6,1.04981
65.7,1.04989
65.8,1.04998
65.9,1.05006
66,1.05015
66.1,1.05023
66.2,1.05032
66.3,1.0504
66.4,1.05049
66.5,1.05057
66.6,1.05066
66.7,1.05074
66.8,1.05083
66.9,1.05091
67,1.051
67.1,1.05108
67.2,1.05117
67.3,1.05125
67.4,1.05134
67.5,1.05143
67.6,1.05151
67.7,1.0516
67.8,1.05168
67.9,1.05177
68,1.05185
68.1,1.05194
68.2,1.05202
68.3,1.05211
68.4,1.0522
68.5,1.05228
68.6,1.05237
68.7,1.05245
68.8,1.05254
68.9,1.05262
69,1.05271
69.1,1.0528
69.2,1.05288
69.3,1.05297
69.4,1.05305
69.5,1.05314
69.6,1.05323
69.7,1.05331
69.8,1.0534
69.9,1.05348
70,1.05357
70.1,1.05366
70.2,1.05374
70.3,1.05383
70.4,1.05391
70.5,1.054
70.6,1.05409
70.7,1.05417
70.8,1.05426
70.9,1.05435
71,1.05443
71.1,1.05452
71.2,1.05461
71.3,1.05469
71.4,1.05478
71.5,1.05487
71.6,1.05495
71.7,1.05504
71.8,1.05513
71.9,1.05521
72,1.0553
72.1,1.05539
72.2,1.05547
72.3,1.05556
72.4,1.05565
72.5,1.05573
72.6,1.05582
72.7,1.05591
72.8,1.056
72.9,1.05608
73,1.05617
73.1,1.05626
73.2,1.05634
73.3,1.05643
73.4,1.05652
73.5,1.05661
73.6,1.05669
73.7,1.05678
73.8,1.05687
73.9,1.05695
74,1.05704
74.1,1.05713
74.2,1.05722
74.3,1.0573
74.4,1.05739
74.5,1.05748
74.6,1.05757
74.7,1.05766
74.8,1.05774
74.9,1.05783
75,1.05792
75.1,1.05801
75.2,1.05809
75.3,1.05818
75.4,1.05827
75.5,1.05836
75.6,1.05845
75.7,1.05853
75.8,1.05862
75.9,1.05871
76,1.0588
76.1,1.05889
76.2,1.05897
76.3,1.05906
76.4,1.05915
76.5,1.05924
76.6,1.05933
76.7,1.05942
76.8,1.0595
76.9,1.05959
77,1.05968
77.1,1.05977
77.2,1.05986
77.3,1.05995
77.4,1.06003
77.5,1.06012
77.6,1.06021
77.7,1.0603
77.8,1.06039
77.9,1.06048
78,1.06057
78.1,1.06066
78.2,1.06074
78.3,1.06083
78.4,1.06092
78.5,1.06101
78.6,1.0611
78.7,1.06119
78.8,1.06128
78.9,1.06137
79,1.06146
79.1,1.06155
79.2,1.06163
79.3,1.06172
79.4,1.06181
79.5,1.0619
79.6,1.06199
79.7,1.06208
79.8,1.06217
79.9,1.06226
80,1.06235
80.1,1.06244
80.2,1.06253
80.3,1.06262
80.4,1.06271
80.5,1.0628
80.6,1.06289
80.7,1.06298
80.8,1.06307
80.9,1.06316
81,1.06325
81.1,1.06334
81.2,1.06342
81.3,1.06351
81.4,1.0636
81.5,1.06369
81.6,1.06378
81.7,1.06387
81.8,1.06396
81.9,1.06405
82,1.06414
82.1,1.06424
82.2,1.06433
82.3,1.06442
82.4,1.06451
82.5,1.0646
82.6,1.06469
82.7,1.06478
82.8,1.06487
82.9,1.06496
83,1.06505
83.1,1.06514
83.2,1.06523
83.3,1.06532
83.4,1.06541
83.5,1.0655
83.6,1.06559
83.7,1.06568
83.8,1.06577
83.9,1.06586
84,1.06595
84.1,1.06605
84.2,1.06614
84.3,1.06623
84.4,1.06632
84.5,1.06641
84.6,1.0665
84.7,1.06659
84.8,1.06668
84.9,1.06677
85,1.06686
85.1,1.06696
85.2,1.06705
85.3,1.06714
85.4,1.06723
85.5,1.06732
85.6,1.06741
85.7,1.0675
85.8,1.0676
85.9,1.06769
86,1.06778
86.1,1.06787
86.2,1.06796
86.3,1.06805
86.4,1.06814
86.5,1.06824
86.6,1.06833
86.7,1.06842
86.8,1.06851
86.9,1.0686
87,1.0687
87.1,1.06879
87.2,1.06888
87.3,1.06897
87.4,1.06906
87.5,1.06915
87.6,1.06925
87.7,1.06934
87.8,1.06943
87.9,1.06952
88,1.06962
88.1,1.06971
88.2,1.0698
88.3,1.06989
88.4,1.06998
88.5,1.07008
88.6,1.07017
88.7,1.07026
88.8,1.07035
88.9,1.07045
89,1.07054
89.1,1.07063
89.2,1.07073
89.3,1.07082
89.4,1.07091
89.5,1.071
89.6,1.0711
89.7,1.07119
89.8,1.07128
89.9,1.07137
90,1.07147
90.1,1.07156
90.2,1.07165
90.3,1.07175
90.4,1.07184
90.5,1.07193
90.6,1.07203
90.7,1.07212
90.8,1.07221
90.9,1.07231
91,1.0724
91.1,1.07249
91.2,1.07259
91.3,1.07268
91.4,1.07277
91.5,1.07287
91.6,1.07296
91.7,1.07305
91.8,1.07315
91.9,1.07324
92,1.07333
92.1,1.07343
92.2,1.07352
92.3,1.07362
92.4,1.07371
92.5,1.0738
92.6,1.0739
92.7,1.07399
92.8,1.07408
92.9,1.07418
93,1.07427
93.1,1.07437
93.2,1.07446
93.3,1.07456
93.4,1.07465
93.5,1.07474
93.6,1.07484
93.7,1.07493
93.8,1.07503
93.9,1.07512
94,1.07522
94.1,1.07531
94.2,1.0754
94.3,1.0755
94.4,1.07559
94.5,1.07569
94.6,1.07578
94.7,1.07588
94.8,1.07597
94.9,1.07607
95,1.07616
95.1,1.07626
95.2,1.07635
95.3,1.07645
95.4,1.07654
95.5,1.07664
95.6,1.07673
95.7,1.07683
95.8,1.07692
95.9,1.07702
96,1.07711
96.1,1.07721
96.2,1.0773
96.3,1.0774
96.4,1.07749
96.5,1.07759
96.6,1.07768
96.7,1.07778
96.8,1.07787
96.9,1.07797
97,1.07807
97.1,1.07816
97.2,1.07826
97.3,1.07835
97.4,1.07845
97.5,1.07854
97.6,1.07864
97.7,1.07873
97.8,1.07883
97.9,1.07893
98,1.07902
98.1,1.07912
98.2,1.07921
98.3,1.07931
98.4,1.07941
98.5,1.0795
98.6,1.0796
98.7,1.0797
98.8,1.07979
98.9,1.07989
99,1.07998
99.1,1.08008
99.2,1.08018
99.3,1.08027
99.4,1.08037
99.5,1.08047
99.6,1.08056
99.7,1.08055
99.8,1.07904
99.9,1.0547
100,0.5411
