"arc_length","T"
0,341.212
0.1,341.189
0.2,341.166
0.3,341.143
0.4,341.119
0.5,341.096
0.6,341.073
0.7,341.05
0.8,341.026
0.9,341.003
1,340.98
1.1,340.956
1.2,340.933
1.3,340.91
1.4,340.886
1.5,340.863
1.6,340.84
1.7,340.817
1.8,340.793
1.9,340.77
2,340.747
2.1,340.723
2.2,340.7
2.3,340.677
2.4,340.653
2.5,340.63
2.6,340.607
2.7,340.583
2.8,340.56
2.9,340.536
3,340.513
3.1,340.49
3.2,340.466
3.3,340.443
3.4,340.42
3.5,340.396
3.6,340.373
3.7,340.349
3.8,340.326
3.9,340.303
4,340.279
4.1,340.256
4.2,340.232
4.3,340.209
4.4,340.186
4.5,340.162
4.6,340.139
4.7,340.115
4.8,340.092
4.9,340.068
5,340.045
5.1,340.021
5.2,339.998
5.3,339.975
5.4,339.951
5.5,339.928
5.6,339.904
5.7,339.881
5.8,339.857
5.9,339.834
6,339.81
6.1,339.787
6.2,339.763
6.3,339.74
6.4,339.716
6.5,339.693
6.6,339.669
6.7,339.646
6.8,339.622
6.9,339.599
7,339.575
7.1,339.552
7.2,339.528
7.3,339.505
7.4,339.481
7.5,339.457
7.6,339.434
7.7,339.41
7.8,339.387
7.9,339.363
8,339.34
8.1,339.316
8.2,339.292
8.3,339.269
8.4,339.245
8.5,339.222
8.6,339.198
8.7,339.175
8.8,339.151
8.9,339.127
9,339.104
9.1,339.08
9.2,339.056
9.3,339.033
9.4,339.009
9.5,338.986
9.6,338.962
9.7,338.938
9.8,338.915
9.9,338.891
10,338.867
10.1,338.844
10.2,338.82
10.3,338.796
10.4,338.773
10.5,338.749
10.6,338.725
10.7,338.702
10.8,338.678
10.9,338.654
11,338.631
11.1,338.607
11.2,338.583
11.3,338.56
11.4,338.536
11.5,338.512
11.6,338.488
11.7,338.465
11.8,338.441
11.9,338.417
12,338.393
12.1,338.37
12.2,338.346
12.3,338.322
12.4,338.298
12.5,338.275
12.6,338.251
12.7,338.227
12.8,338.203
12.9,338.18
13,338.156
13.1,338.132
13.2,338.108
13.3,338.085
13.4,338.061
13.5,338.037
13.6,338.013
13.7,337.989
13.8,337.966
13.9,337.942
14,337.918
14.1,337.894
14.2,337.87
14.3,337.846
14.4,337.823
14.5,337.799
14.6,337.775
14.7,337.751
14.8,337.727
14.9,337.703
15,337.679
15.1,337.656
15.2,337.632
15.3,337.608
15.4,337.584
15.5,337.56
15.6,337.536
15.7,337.512
15.8,337.488
15.9,337.465
16,337.441
16.1,337.417
16.2,337.393
16.3,337.369
16.4,337.345
16.5,337.321
16.6,337.297
16.7,337.273
16.8,337.249
16.9,337.225
17,337.201
17.1,337.177
17.2,337.154
17.3,337.13
17.4,337.106
17.5,337.082
17.6,337.058
17.7,337.034
17.8,337.01
17.9,336.986
18,336.962
18.1,336.938
18.2,336.914
18.3,336.89
18.4,336.866
18.5,336.842
18.6,336.818
18.7,336.794
18.8,336.77
18.9,336.746
19,336.722
19.1,336.698
19.2,336.674
19.3,336.65
19.4,336.625
19.5,336.601
19.6,336.577
19.7,336.553
19.8,336.529
19.9,336.505
20,336.481
20.1,336.457
20.2,336.433
20.3,336.409
20.4,336.385
20.5,336.361
20.6,336.337
20.7,336.312
20.8,336.288
20.9,336.264
21,336.24
21.1,336.216
21.2,336.192
21.3,336.168
21.4,336.144
21.5,336.119
21.6,336.095
21.7,336.071
21.8,336.047
21.9,336.023
22,335.999
22.1,335.975
22.2,335.95
22.3,335.926
22.4,335.902
22.5,335.878
22.6,335.854
22.7,335.829
22.8,335.805
22.9,335.781
23,335.757
23.1,335.733
23.2,335.708
23.3,335.684
23.4,335.66
23.5,335.636
23.6,335.612
23.7,335.587
23.8,335.563
23.9,335.539
24,335.515
24.1,335.49
24.2,335.466
24.3,335.442
24.4,335.418
24.5,335.393
24.6,335.369
24.7,335.345
24.8,335.32
24.9,335.296
25,335.272
25.1,335.248
25.2,335.223
25.3,335.199
25.4,335.175
25.5,335.15
25.6,335.126
25.7,335.102
25.8,335.077
25.9,335.053
26,335.029
26.1,335.004
26.2,334.98
26.3,334.956
26.4,334.931
26.5,334.907
26.6,334.883
26.7,334.858
26.8,334.834
26.9,334.81
27,334.785
27.1,334.761
27.2,334.736
27.3,334.712
27.4,334.688
27.5,334.663
27.6,334.639
27.7,334.614
27.8,334.59
27.9,334.566
28,334.541
28.1,334.517
28.2,334.492
