"arc_length","N"
0,0.152027
0.025,0.152022
0.05,0.152017
0.075,0.152012
0.1,0.152007
0.125,0.152001
0.15,0.151996
0.175,0.15199
0.2,0.151984
0.225,0.151978
0.25,0.151972
0.275,0.151965
0.3,0.151959
0.325,0.151952
0.35,0.151945
0.375,0.151938
0.4,0.151931
0.425,0.151924
0.45,0.151916
0.475,0.151908
0.5,0.1519
0.525,0.151892
0.55,0.151884
0.575,0.151876
0.6,0.151867
0.625,0.151859
0.65,0.15185
0.675,0.151841
0.7,0.151832
0.725,0.151822
0.75,0.151813
0.775,0.151803
0.8,0.151793
0.825,0.151783
0.85,0.151773
0.875,0.151763
0.9,0.151753
0.925,0.151742
0.95,0.151731
0.975,0.15172
1,0.151709
1.025,0.151698
1.05,0.151686
1.075,0.151675
1.1,0.151663
1.125,0.151651
1.15,0.151639
1.175,0.151627
1.2,0.151614
1.225,0.151602
1.25,0.151589
1.275,0.151576
1.3,0.151563
1.325,0.15155
1.35,0.151536
1.375,0.151523
1.4,0.151509
1.425,0.151495
1.45,0.151481
1.475,0.151467
1.5,0.151452
1.525,0.151438
1.55,0.151423
1.575,0.151408
1.6,0.151393
1.625,0.151378
1.65,0.151363
1.675,0.151347
1.7,0.151331
1.725,0.151315
1.75,0.151299
1.775,0.151283
1.8,0.151267
1.825,0.15125
1.85,0.151234
1.875,0.151217
1.9,0.1512
1.925,0.151182
1.95,0.151165
1.975,0.151147
2,0.15113
2.025,0.151112
2.05,0.151094
2.075,0.151075
2.1,0.151057
2.125,0.151038
2.15,0.15102
2.175,0.151001
2.2,0.150982
2.225,0.150962
2.25,0.150943
2.275,0.150923
2.3,0.150904
2.325,0.150884
2.35,0.150864
2.375,0.150843
2.4,0.150823
2.425,0.150802
2.45,0.150782
2.475,0.150761
2.5,0.150739
2.525,0.150718
2.55,0.150697
2.575,0.150675
2.6,0.150653
2.625,0.150631
2.65,0.150609
2.675,0.150587
2.7,0.150564
2.725,0.150541
2.75,0.150519
2.775,0.150496
2.8,0.150472
2.825,0.150449
2.85,0.150425
2.875,0.150402
2.9,0.150378
2.925,0.150354
2.95,0.150329
2.975,0.150305
3,0.15028
3.025,0.150256
3.05,0.150231
3.075,0.150205
3.1,0.15018
3.125,0.150155
3.15,0.150129
3.175,0.150103
3.2,0.150077
3.225,0.150051
3.25,0.150024
3.275,0.149998
3.3,0.149971
3.325,0.149944
3.35,0.149917
3.375,0.14989
3.4,0.149862
3.425,0.149835
3.45,0.149807
3.475,0.149779
3.5,0.149751
3.525,0.149722
3.55,0.149694
3.575,0.149665
3.6,0.149636
3.625,0.149607
3.65,0.149578
3.675,0.149548
3.7,0.149518
3.725,0.149489
3.75,0.149459
3.775,0.149428
3.8,0.149398
3.825,0.149367
3.85,0.149337
3.875,0.149306
3.9,0.149274
3.925,0.149243
3.95,0.149212
3.975,0.14918
4,0.149148
4.025,0.149116
4.05,0.149084
