"arc_length","M"
8.65,0.343912
8.675,0.345033
8.7,0.346157
8.725,0.347282
8.75,0.348409
8.775,0.349539
8.8,0.35067
8.825,0.351804
8.85,0.35294
8.875,0.354078
8.9,0.355218
8.925,0.356361
8.95,0.357506
8.975,0.358653
9,0.359802
9.025,0.360954
9.05,0.362108
9.075,0.363264
9.1,0.364423
9.125,0.365583
9.15,0.366747
9.175,0.367912
9.2,0.369081
9.225,0.370251
9.25,0.371424
9.275,0.3726
9.3,0.373778
9.325,0.374958
9.35,0.376141
9.375,0.377327
9.4,0.378515
9.425,0.379706
9.45,0.380899
9.475,0.382095
9.5,0.383294
9.525,0.384495
9.55,0.385699
9.575,0.386906
9.6,0.388115
9.625,0.389328
9.65,0.390543
9.675,0.391761
9.7,0.392981
9.725,0.394205
9.75,0.395431
9.775,0.396661
9.8,0.397893
9.825,0.399128
9.85,0.400367
9.875,0.401608
9.9,0.402852
9.925,0.4041
9.95,0.40535
9.975,0.406604
10,0.407861
10.025,0.40912
10.05,0.410384
10.075,0.41165
10.1,0.41292
10.125,0.414192
10.15,0.415469
10.175,0.416748
10.2,0.418031
10.225,0.419318
10.25,0.420607
10.275,0.421901
10.3,0.423197
10.325,0.424498
10.35,0.425801
10.375,0.427109
10.4,0.42842
10.425,0.429735
10.45,0.431053
10.475,0.432375
10.5,0.433701
10.525,0.435031
10.55,0.436365
10.575,0.437702
10.6,0.439044
10.625,0.440389
10.65,0.441738
10.675,0.443092
10.7,0.444449
10.725,0.445811
10.75,0.447176
10.775,0.448546
10.8,0.44992
10.825,0.451299
10.85,0.452682
10.875,0.454069
10.9,0.45546
10.925,0.456856
10.95,0.458257
10.975,0.459662
11,0.461071
11.025,0.462486
11.05,0.463905
11.075,0.465328
11.1,0.466757
11.125,0.46819
11.15,0.469628
11.175,0.471071
11.2,0.47252
11.225,0.473973
11.25,0.475431
11.275,0.476895
11.3,0.478363
11.325,0.479837
11.35,0.481317
11.375,0.482801
11.4,0.484291
11.425,0.485787
11.45,0.487288
11.475,0.488795
11.5,0.490308
11.525,0.491826
11.55,0.493351
11.575,0.494881
11.6,0.496417
11.625,0.497959
11.65,0.499507
11.675,0.501062
11.7,0.502623
11.725,0.50419
11.75,0.505764
11.775,0.507344
11.8,0.50893
11.825,0.510524
11.85,0.512124
11.875,0.513731
11.9,0.515345
11.925,0.516966
11.95,0.518594
11.975,0.520229
12,0.521872
12.025,0.523522
12.05,0.525179
12.075,0.526844
12.1,0.528517
12.125,0.530197
12.15,0.531886
12.175,0.533582
12.2,0.535287
12.225,0.537
12.25,0.538721
12.275,0.54045
12.3,0.542189
12.325,0.543936
12.35,0.545691
12.375,0.547456
12.4,0.54923
12.425,0.551013
12.45,0.552806
12.475,0.554608
12.5,0.556419
12.525,0.556321
12.55,0.556223
12.575,0.556126
12.6,0.556028
12.625,0.55593
12.65,0.555832
12.675,0.555733
12.7,0.555635
12.725,0.555537
12.75,0.555439
12.775,0.55534
12.8,0.555242
12.825,0.555143
12.85,0.555045
12.875,0.554946
12.9,0.554848
12.925,0.554749
12.95,0.55465
12.975,0.554551
13,0.554452
13.025,0.554354
13.05,0.554255
13.075,0.554156
13.1,0.554056
13.125,0.553957
13.15,0.553858
13.175,0.553759
13.2,0.553659
13.225,0.55356
13.25,0.553461
13.275,0.553361
13.3,0.553261
13.325,0.553162
13.35,0.553062
13.375,0.552962
13.4,0.552863
13.425,0.552763
13.45,0.552663
13.475,0.552563
13.5,0.552463
13.525,0.552363
13.55,0.552263
13.575,0.552162
13.6,0.552062
13.625,0.551962
13.65,0.551861
13.675,0.551761
13.7,0.55166
13.725,0.55156
13.75,0.551459
13.775,0.551358
13.8,0.551258
13.825,0.551157
13.85,0.551056
13.875,0.550955
13.9,0.550854
13.925,0.550753
13.95,0.550652
13.975,0.550551
14,0.55045
14.025,0.550348
14.05,0.550247
14.075,0.550146
14.1,0.550044
14.125,0.549943
14.15,0.549841
14.175,0.549739
14.2,0.549638
14.225,0.549536
14.25,0.549434
14.275,0.549332
14.3,0.54923
14.325,0.549128
14.35,0.549026
14.375,0.548924
14.4,0.548822
14.425,0.548719
14.45,0.548617
14.475,0.548515
14.5,0.548412
14.525,0.54831
14.55,0.548207
14.575,0.548104
14.6,0.548002
14.625,0.547899
14.65,0.547796
14.675,0.547693
14.7,0.54759
14.725,0.547487
14.75,0.547384
14.775,0.547281
14.8,0.547178
14.825,0.547075
14.85,0.546971
14.875,0.546868
14.9,0.546765
14.925,0.546661
14.95,0.546557
14.975,0.546454
15,0.54635
15.025,0.546246
15.05,0.546143
15.075,0.546039
15.1,0.545935
15.125,0.545831
15.15,0.545727
15.175,0.545622
15.2,0.545518
15.225,0.545414
15.25,0.54531
15.275,0.545205
15.3,0.545101
15.325,0.544996
15.35,0.544892
15.375,0.544787
15.4,0.544682
15.425,0.544578
15.45,0.544473
15.475,0.544368
15.5,0.544263
15.525,0.544158
15.55,0.544053
15.575,0.543947
15.6,0.543842
15.625,0.543737
15.65,0.543632
15.675,0.543526
15.7,0.543421
15.725,0.543315
15.75,0.543209
15.775,0.543104
15.8,0.542998
15.825,0.542892
15.85,0.542786
15.875,0.54268
15.9,0.542574
15.925,0.542468
15.95,0.542362
15.975,0.542256
16,0.54215
16.025,0.542043
16.05,0.541937
16.075,0.54183
16.1,0.541724
16.125,0.541617
16.15,0.54151
16.175,0.541404
16.2,0.541297
16.225,0.54119
16.25,0.541083
16.275,0.540976
16.3,0.540869
16.325,0.540762
16.35,0.540655
16.375,0.540547
16.4,0.54044
16.425,0.540332
16.45,0.540225
16.475,0.540117
16.5,0.54001
16.525,0.539902
16.55,0.539794
16.575,0.539686
16.6,0.539579
16.625,0.539471
16.65,0.539363
16.675,0.539254
16.7,0.539146
16.725,0.539038
16.75,0.53893
16.775,0.538821
16.8,0.538713
16.825,0.538604
16.85,0.538496
16.875,0.538387
16.9,0.538278
16.925,0.53817
16.95,0.538061
16.975,0.537952
17,0.537843
17.025,0.537734
17.05,0.537625
17.075,0.537515
17.1,0.537406
17.125,0.537297
17.15,0.537187
17.175,0.537078
17.2,0.536968
17.225,0.536859
17.25,0.536749
17.275,0.536639
17.3,0.536529
17.325,0.536419
17.35,0.536309
17.375,0.536199
17.4,0.536089
17.425,0.535979
17.45,0.535869
17.475,0.535758
17.5,0.535648
17.525,0.535537
17.55,0.535427
17.575,0.535316
17.6,0.535205
17.625,0.535095
17.65,0.534984
17.675,0.534873
17.7,0.534762
17.725,0.534651
17.75,0.53454
17.775,0.534428
17.8,0.534317
17.825,0.534206
17.85,0.534094
17.875,0.533983
17.9,0.533871
17.925,0.53376
17.95,0.533648
17.975,0.533536
18,0.533424
18.025,0.533312
18.05,0.5332
18.075,0.533088
18.1,0.532976
18.125,0.532864
18.15,0.532751
18.175,0.532639
18.2,0.532527
18.225,0.532414
18.25,0.532301
18.275,0.532189
18.3,0.532076
18.325,0.531963
18.35,0.53185
18.375,0.531737
18.4,0.531624
18.425,0.531511
18.45,0.531398
18.475,0.531285
18.5,0.531171
18.525,0.531058
18.55,0.530944
18.575,0.530831
18.6,0.530717
18.625,0.530603
18.65,0.53049
18.675,0.530376
18.7,0.530262
18.725,0.530148
18.75,0.530033
18.775,0.529919
18.8,0.529805
18.825,0.529691
18.85,0.529576
18.875,0.529462
18.9,0.529347
18.925,0.529233
18.95,0.529118
18.975,0.529003
19,0.528888
19.025,0.528773
19.05,0.528658
19.075,0.528543
19.1,0.528428
19.125,0.528312
19.15,0.528197
19.175,0.528082
19.2,0.527966
19.225,0.527851
19.25,0.527735
19.275,0.527619
19.3,0.527503
19.325,0.527387
19.35,0.527271
19.375,0.527155
19.4,0.527039
19.425,0.526923
19.45,0.526807
19.475,0.52669
19.5,0.526574
19.525,0.526457
19.55,0.526341
19.575,0.526224
19.6,0.526107
19.625,0.52599
19.65,0.525873
19.675,0.525756
19.7,0.525639
19.725,0.525522
19.75,0.525405
19.775,0.525287
19.8,0.52517
19.825,0.525053
19.85,0.524935
19.875,0.524817
19.9,0.5247
19.925,0.524582
19.95,0.524464
19.975,0.524346
20,0.524228
20.025,0.52411
20.05,0.523991
20.075,0.523873
20.1,0.523755
20.125,0.523636
20.15,0.523518
20.175,0.523399
20.2,0.52328
20.225,0.523161
20.25,0.523042
20.275,0.522923
20.3,0.522804
20.325,0.522685
20.35,0.522566
20.375,0.522447
20.4,0.522327
20.425,0.522208
20.45,0.522088
20.475,0.521969
20.5,0.521849
20.525,0.521729
20.55,0.521609
20.575,0.521489
20.6,0.521369
20.625,0.521249
20.65,0.521129
20.675,0.521008
20.7,0.520888
20.725,0.520767
20.75,0.520647
20.775,0.520526
20.8,0.520405
20.825,0.520285
20.85,0.520164
20.875,0.520043
20.9,0.519922
20.925,0.5198
20.95,0.519679
20.975,0.519558
21,0.519436
21.025,0.519315
21.05,0.519193
21.075,0.519072
21.1,0.51895
21.125,0.518828
21.15,0.518706
21.175,0.518584
21.2,0.518462
21.225,0.51834
21.25,0.518217
21.275,0.518095
21.3,0.517973
21.325,0.51785
21.35,0.517727
21.375,0.517605
21.4,0.517482
21.425,0.517359
21.45,0.517236
21.475,0.517113
21.5,0.51699
21.525,0.516867
21.55,0.516743
21.575,0.51662
21.6,0.516497
21.625,0.516373
21.65,0.51625
21.675,0.516126
21.7,0.516002
21.725,0.515878
21.75,0.515755
21.775,0.515631
21.8,0.515507
21.825,0.515383
21.85,0.515258
21.875,0.515134
21.9,0.51501
21.925,0.514886
21.95,0.514761
21.975,0.514637
22,0.514512
22.025,0.514388
22.05,0.514263
22.075,0.514139
22.1,0.514014
22.125,0.51389
22.15,0.513765
22.175,0.51364
22.2,0.513516
22.225,0.513391
22.25,0.513266
22.275,0.513142
22.3,0.513017
22.325,0.512893
22.35,0.512768
22.375,0.512644
22.4,0.51252
22.425,0.512396
22.45,0.512272
22.475,0.512148
22.5,0.512024
22.525,0.511901
22.55,0.511778
22.575,0.511655
22.6,0.511532
22.625,0.51141
22.65,0.511288
22.675,0.511166
22.7,0.511045
22.725,0.510924
22.75,0.510804
22.775,0.510685
22.8,0.510566
22.825,0.510448
22.85,0.510331
22.875,0.510215
22.9,0.510099
22.925,0.509985
22.95,0.509872
22.975,0.50976
23,0.50965
23.025,0.509542
23.05,0.509435
23.075,0.50933
23.1,0.509228
23.125,0.509127
23.15,0.509029
23.175,0.508934
23.2,0.508842
23.225,0.508754
23.25,0.508669
23.275,0.508588
23.3,0.508512
23.325,0.50844
23.35,0.508374
23.375,0.508313
23.4,0.508259
23.425,0.508212
23.45,0.508172
23.475,0.50814
23.5,0.508118
23.525,0.508105
23.55,0.508104
23.575,0.508114
23.6,0.508137
23.625,0.508174
23.65,0.508226
23.675,0.508296
23.7,0.508384
23.725,0.508492
23.75,0.508622
23.775,0.508777
