# Nnorm    = 1e+20 1/m^3
# Tnorm    = 100.0 eV
# Pnorm    = 1602.176634 Pa
# Cs0      = 69205.61141651045 m/s
# Cst      = 63102.40045929264 m/s
# Nesource = 3.1999999999999996e+22 m/s
# PeSource = 1066666.6666666667 m/s
ypos,M,Ne,Te,P,Nn,NVi,Cs
0.0,-0.0019978043966003087,0.15202712705826016,0.45109150486556315,0.1371562910501975,7.344645603278933e-08,65733.78377620182,-0.0002884837634414284
0.0625,0.0019978043966003087,0.15202712705826016,0.45109150486556315,0.1371562910501975,7.344645603278933e-08,65733.78377620182,0.0002884837634414284
0.1875,0.006001493365642983,0.15202332023548423,0.45108928338671694,0.13715218116618794,7.344531724218216e-08,65733.62191725707,0.0008665942366524504
0.3125,0.010007658218910158,0.15201473094533152,0.45108484204434796,0.13714308179377785,7.344240122820309e-08,65733.29831586656,0.0014449813930299577
0.4375,0.01401184038320427,0.1520024015072744,0.4510781811187111,0.13712993359515474,7.343813065443569e-08,65732.8129900614,0.0020229564758353124
0.5625,0.018016782451682745,0.15198601556375782,0.45106929944336843,0.13711245113106627,7.343252752177853e-08,65732.16585126969,0.0026008631221566903
0.6875,0.022023755072396067,0.15196543863960307,0.45105819674708647,0.13709051344131876,7.34255209126007e-08,65731.35687494915,0.0031788313254661436
0.8125,0.02603272386949163,0.15194072718447424,0.45104487286625927,0.13706417195225634,7.341709715972136e-08,65730.38604320328,0.003756805278767001
0.9375,0.030043912571958,0.15191189620120263,0.45102932745673774,0.13703344075261237,7.340726219333292e-08,65729.25332378344,0.0043347660482643815
1.0625,0.034057752617864354,0.15187892799072863,0.45101156013410365,0.1369983045291874,7.339601419037169e-08,65727.95868030851,0.004912723756742997
1.1875,0.038074627770130674,0.15184181119220463,0.45099157052136607,0.1369587538007622,7.338334793056276e-08,65726.5020757391,0.005490681495241807
1.3125,0.042094889436775855,0.15180053845763808,0.4509693582210619,0.13691478281170533,7.336925872862234e-08,65724.8834703436,0.006068637551915842
1.4375,0.046118899863517,0.1517550999589388,0.4509449227983762,0.13686638367048704,7.335374170545953e-08,65723.1028204668,0.006646591420908834
1.5625,0.05014702947875437,0.1517054839553662,0.4509182637835634,0.13681354686319794,7.33367912340839e-08,65721.16007870475,0.007224543382361712
1.6875,0.05417965056849465,0.15165167790442868,0.45088938066662526,0.13675626225476478,7.331840109485106e-08,65719.0551935153,0.0078024935948276
1.8125,0.05821713864417779,0.15159366833139565,0.4508582729054914,0.13669451897460186,7.329856451635991e-08,65716.78810981238,0.008380442253683935
1.9375,0.0622598743901176,0.1515314406206486,0.4508249399346023,0.13662830523201533,7.32772740914997e-08,65714.35876958958,0.008958389824582809
2.0625,0.06630824362334768,0.15146497902791803,0.45078938118082007,0.1365576083331221,7.325452172943605e-08,65711.76711307793,0.009536336999102281
2.1875,0.07036263687639825,0.1513942667492747,0.4507515960812522,0.13648241474957284,7.323029866765662e-08,65709.01308004322,0.010114284599863162
2.3125,0.07442344882994455,0.15131928596268696,0.4507115840952148,0.13640271016079888,7.320459551821118e-08,65706.0966106564,0.010692233463408122
2.4375,0.07849107775957254,0.15124001785105992,0.45066934471543385,0.1363184794793754,7.317740230583335e-08,65703.01764630881,0.011270184324505635
2.5625,0.08256592551986607,0.1511564426010379,0.450624877466397,0.13622970685069835,7.314870849257347e-08,65699.77612949071,0.011848137775881708
2.6875,0.0866483981786916,0.1510685393799841,0.4505781819058011,0.13613637563399633,7.311850295873844e-08,65696.37200389574,0.012426094318969976
2.8125,0.0907389072168623,0.15097628628883342,0.4505292576166376,0.1360384683588501,7.308677394378061e-08,65692.80521384276,0.013004054492121558
2.9375,0.09483787075535854,0.15087966030875602,0.45047810421029505,0.13593596667956342,7.305350896732928e-08,65689.07570450088,0.013582019000002696
3.0625,0.0989457143725983,0.15077863725866006,0.4504247213307229,0.13582885133971623,7.301869475894768e-08,65685.18342219187,0.0141599887827364
3.1875,0.10306287107944422,0.15067319173753857,0.45036910866200375,0.13571710212418886,7.298231720401728e-08,65681.12831494134,0.014737964960934087
3.3125,0.10718978063082871,0.1505632970572954,0.4503112659419116,0.13560069780451758,7.294436132138566e-08,65676.91033346675,0.015315948682958953
3.4375,0.11132688854109984,0.1504489251859324,0.4502511929637467,0.13547961609015907,7.290481127822005e-08,65672.5294313107,0.015893940928905007
3.5625,0.11547464543151986,0.15033004676113476,0.4501888895845685,0.13535383364518302,7.286365045668796e-08,65667.98556544128,0.01647194236836337
3.6875,0.11963350710004485,0.15020663122968778,0.45012435572333537,0.13522332621527167,7.282086157299762e-08,65663.27869611637,0.017049953335291586
3.8125,0.12380393512982711,0.15007864706527144,0.45005759136671925,0.13508806882754404,7.277642679584853e-08,65658.40878730794,0.01762797389143312
3.9375,0.12798639771984624,0.14994606195377488,0.449988596572823,0.13494803596040145,7.273032781170707e-08,65653.37580697374,0.018206003921286667
4.0625,0.13218137030132024,0.14980884280865606,0.4499173714764747,0.13480320156080583,7.26825457742281e-08,65648.17972744416,0.01878404317829294
4.1875,0.13638933602624356,0.14966695557306547,0.4498439162932693,0.13465353886935705,7.263306115410385e-08,65642.82052571811,0.01936209128426964
4.3125,0.1406107863210106,0.14952036488128673,0.44976823131718213,0.1344990201171121,7.258185353912204e-08,65637.29818329023,0.01994014771311363
4.4375,0.14484622175777034,0.1493690337228859,0.4496903169202879,0.13433961622584345,7.252890147320137e-08,65631.61268613163,0.020518211810288484
4.5625,0.14909615316253857,0.14921292324673646,0.4496101735472785,0.13417529663292385,7.247418239615649e-08,65625.76402429151,0.021096282855422036
