"arc_length","Nn"
6.675,5.98058e-08
6.7,5.97891e-08
6.725,5.97723e-08
6.75,5.97554e-08
6.775,5.97385e-08
6.8,5.97214e-08
6.825,5.97043e-08
6.85,5.96871e-08
6.875,5.96698e-08
6.9,5.96525e-08
6.925,5.9635e-08
6.95,5.96175e-08
6.975,5.95998e-08
7,5.95821e-08
7.025,5.95643e-08
7.05,5.95464e-08
7.075,5.95284e-08
7.1,5.95104e-08
7.125,5.94922e-08
7.15,5.9474e-08
7.175,5.94556e-08
7.2,5.94372e-08
7.225,5.94187e-08
7.25,5.94001e-08
7.275,5.93814e-08
7.3,5.93626e-08
7.325,5.93437e-08
7.35,5.93247e-08
7.375,5.93056e-08
7.4,5.92865e-08
7.425,5.92672e-08
7.45,5.92478e-08
7.475,5.92284e-08
7.5,5.92088e-08
7.525,5.91892e-08
7.55,5.91695e-08
7.575,5.91496e-08
7.6,5.91297e-08
7.625,5.91096e-08
7.65,5.90895e-08
7.675,5.90693e-08
7.7,5.90489e-08
7.725,5.90285e-08
7.75,5.9008e-08
7.775,5.89873e-08
7.8,5.89666e-08
7.825,5.89457e-08
7.85,5.89248e-08
7.875,5.89037e-08
7.9,5.88826e-08
7.925,5.88613e-08
7.95,5.884e-08
7.975,5.88185e-08
8,5.87969e-08
8.025,5.87752e-08
8.05,5.87534e-08
8.075,5.87315e-08
8.1,5.87095e-08
8.125,5.86874e-08
8.15,5.86652e-08
8.175,5.86428e-08
8.2,5.86204e-08
8.225,5.85978e-08
8.25,5.85751e-08
8.275,5.85523e-08
8.3,5.85294e-08
8.325,5.85064e-08
8.35,5.84833e-08
8.375,5.846e-08
8.4,5.84367e-08
8.425,5.84132e-08
8.45,5.83896e-08
8.475,5.83659e-08
8.5,5.8342e-08
8.525,5.83181e-08
8.55,5.8294e-08
8.575,5.82698e-08
8.6,5.82454e-08
8.625,5.8221e-08
8.65,5.81964e-08
8.675,5.81717e-08
8.7,5.81469e-08
8.725,5.81219e-08
8.75,5.80969e-08
8.775,5.80717e-08
8.8,5.80463e-08
8.825,5.80209e-08
8.85,5.79953e-08
8.875,5.79696e-08
8.9,5.79437e-08
8.925,5.79177e-08
8.95,5.78916e-08
8.975,5.78653e-08
9,5.7839e-08
9.025,5.78124e-08
9.05,5.77858e-08
9.075,5.7759e-08
9.1,5.7732e-08
9.125,5.7705e-08
9.15,5.76778e-08
9.175,5.76504e-08
9.2,5.76229e-08
9.225,5.75953e-08
9.25,5.75675e-08
9.275,5.75395e-08
9.3,5.75115e-08
9.325,5.74832e-08
9.35,5.74549e-08
9.375,5.74263e-08
9.4,5.73977e-08
9.425,5.73688e-08
9.45,5.73399e-08
9.475,5.73107e-08
9.5,5.72815e-08
9.525,5.7252e-08
9.55,5.72224e-08
9.575,5.71927e-08
9.6,5.71628e-08
9.625,5.71327e-08
9.65,5.71025e-08
9.675,5.70721e-08
9.7,5.70416e-08
9.725,5.70108e-08
9.75,5.698e-08
9.775,5.69489e-08
9.8,5.69177e-08
9.825,5.68863e-08
9.85,5.68548e-08
9.875,5.6823e-08
9.9,5.67912e-08
9.925,5.67591e-08
9.95,5.67268e-08
9.975,5.66944e-08
10,5.66618e-08
10.025,5.66291e-08
10.05,5.65961e-08
10.075,5.6563e-08
10.1,5.65296e-08
10.125,5.64961e-08
10.15,5.64625e-08
10.175,5.64286e-08
10.2,5.63945e-08
10.225,5.63603e-08
10.25,5.63258e-08
10.275,5.62912e-08
10.3,5.62564e-08
10.325,5.62214e-08
10.35,5.61861e-08
10.375,5.61507e-08
10.4,5.61151e-08
10.425,5.60793e-08
10.45,5.60433e-08
10.475,5.60071e-08
10.5,5.59707e-08
10.525,5.5934e-08
10.55,5.58972e-08
10.575,5.58602e-08
10.6,5.58229e-08
10.625,5.57854e-08
10.65,5.57478e-08
10.675,5.57099e-08
10.7,5.56718e-08
10.725,5.56334e-08
10.75,5.55949e-08
10.775,5.55562e-08
10.8,5.55172e-08
10.825,5.5478e-08
10.85,5.54386e-08
10.875,5.53989e-08
10.9,5.53591e-08
10.925,5.5319e-08
10.95,5.52787e-08
10.975,5.52381e-08
11,5.51974e-08
11.025,5.51564e-08
11.05,5.51152e-08
11.075,5.50737e-08
11.1,5.5032e-08
11.125,5.49902e-08
11.15,5.4948e-08
11.175,5.49057e-08
11.2,5.48631e-08
11.225,5.48203e-08
11.25,5.47773e-08
11.275,5.47341e-08
11.3,5.46907e-08
11.325,5.4647e-08
11.35,5.46031e-08
11.375,5.45591e-08
11.4,5.45148e-08
11.425,5.44703e-08
11.45,5.44256e-08
11.475,5.43808e-08
11.5,5.43357e-08
11.525,5.42905e-08
11.55,5.42452e-08
11.575,5.41996e-08
11.6,5.4154e-08
11.625,5.41082e-08
11.65,5.40622e-08
11.675,5.40162e-08
11.7,5.39701e-08
11.725,5.39239e-08
11.75,5.38777e-08
11.775,5.38314e-08
11.8,5.37851e-08
11.825,5.37388e-08
11.85,5.36926e-08
11.875,5.36464e-08
11.9,5.36003e-08
11.925,5.35544e-08
11.95,5.35087e-08
11.975,5.34632e-08
12,5.34179e-08
12.025,5.3373e-08
12.05,5.33284e-08
12.075,5.32843e-08
12.1,5.32407e-08
12.125,5.31976e-08
12.15,5.31553e-08
12.175,5.31136e-08
12.2,5.30728e-08
12.225,5.30329e-08
12.25,5.29941e-08
12.275,5.29564e-08
12.3,5.292e-08
12.325,5.28851e-08
12.35,5.28518e-08
12.375,5.28202e-08
12.4,5.27905e-08
12.425,5.2763e-08
12.45,5.27378e-08
12.475,5.27153e-08
12.5,5.26955e-08
12.525,5.26788e-08
12.55,5.26649e-08
12.575,5.26537e-08
12.6,5.26449e-08
12.625,5.26383e-08
12.65,5.26337e-08
12.675,5.26311e-08
12.7,5.26302e-08
12.725,5.2631e-08
12.75,5.26332e-08
12.775,5.26368e-08
12.8,5.26417e-08
12.825,5.26477e-08
12.85,5.26548e-08
12.875,5.26629e-08
12.9,5.26719e-08
12.925,5.26817e-08
12.95,5.26924e-08
12.975,5.27037e-08
13,5.27158e-08
13.025,5.27284e-08
13.05,5.27416e-08
13.075,5.27553e-08
13.1,5.27695e-08
13.125,5.27842e-08
13.15,5.27993e-08
13.175,5.28147e-08
13.2,5.28305e-08
13.225,5.28467e-08
13.25,5.28631e-08
13.275,5.28799e-08
13.3,5.28968e-08
13.325,5.29141e-08
13.35,5.29315e-08
13.375,5.29492e-08
13.4,5.29671e-08
13.425,5.29851e-08
13.45,5.30033e-08
13.475,5.30217e-08
13.5,5.30402e-08
13.525,5.30589e-08
13.55,5.30776e-08
13.575,5.30965e-08
13.6,5.31156e-08
13.625,5.31347e-08
13.65,5.31539e-08
13.675,5.31732e-08
13.7,5.31926e-08
13.725,5.32121e-08
13.75,5.32317e-08
13.775,5.32513e-08
13.8,5.3271e-08
13.825,5.32908e-08
13.85,5.33106e-08
13.875,5.33305e-08
13.9,5.33505e-08
13.925,5.33705e-08
13.95,5.33905e-08
13.975,5.34106e-08
14,5.34308e-08
14.025,5.3451e-08
14.05,5.34713e-08
14.075,5.34916e-08
14.1,5.35119e-08
14.125,5.35323e-08
14.15,5.35527e-08
14.175,5.35731e-08
14.2,5.35936e-08
14.225,5.36142e-08
14.25,5.36347e-08
14.275,5.36553e-08
14.3,5.3676e-08
14.325,5.36966e-08
14.35,5.37173e-08
14.375,5.37381e-08
14.4,5.37588e-08
14.425,5.37796e-08
14.45,5.38005e-08
14.475,5.38213e-08
14.5,5.38422e-08
14.525,5.38631e-08
14.55,5.38841e-08
14.575,5.39051e-08
14.6,5.39261e-08
14.625,5.39471e-08
14.65,5.39682e-08
14.675,5.39893e-08
14.7,5.40104e-08
14.725,5.40315e-08
14.75,5.40527e-08
14.775,5.40739e-08
14.8,5.40952e-08
14.825,5.41164e-08
14.85,5.41377e-08
14.875,5.4159e-08
14.9,5.41804e-08
14.925,5.42018e-08
14.95,5.42232e-08
14.975,5.42446e-08
15,5.42661e-08
15.025,5.42876e-08
15.05,5.43091e-08
15.075,5.43306e-08
15.1,5.43522e-08
15.125,5.43738e-08
15.15,5.43954e-08
15.175,5.44171e-08
15.2,5.44388e-08
15.225,5.44605e-08
15.25,5.44822e-08
15.275,5.4504e-08
15.3,5.45258e-08
15.325,5.45476e-08
15.35,5.45694e-08
15.375,5.45913e-08
15.4,5.46132e-08
15.425,5.46352e-08
15.45,5.46571e-08
15.475,5.46791e-08
15.5,5.47011e-08
15.525,5.47232e-08
15.55,5.47453e-08
15.575,5.47674e-08
15.6,5.47895e-08
15.625,5.48117e-08
15.65,5.48339e-08
15.675,5.48561e-08
15.7,5.48783e-08
15.725,5.49006e-08
15.75,5.49229e-08
15.775,5.49452e-08
15.8,5.49676e-08
15.825,5.499e-08
15.85,5.50124e-08
15.875,5.50349e-08
15.9,5.50573e-08
15.925,5.50799e-08
15.95,5.51024e-08
15.975,5.5125e-08
16,5.51476e-08
16.025,5.51702e-08
16.05,5.51928e-08
16.075,5.52155e-08
16.1,5.52382e-08
16.125,5.5261e-08
16.15,5.52837e-08
16.175,5.53065e-08
16.2,5.53294e-08
16.225,5.53522e-08
16.25,5.53751e-08
16.275,5.53981e-08
16.3,5.5421e-08
16.325,5.5444e-08
16.35,5.5467e-08
16.375,5.549e-08
16.4,5.55131e-08
16.425,5.55362e-08
16.45,5.55593e-08
16.475,5.55825e-08
16.5,5.56057e-08
16.525,5.56289e-08
16.55,5.56522e-08
16.575,5.56755e-08
16.6,5.56988e-08
16.625,5.57221e-08
16.65,5.57455e-08
16.675,5.57689e-08
16.7,5.57924e-08
16.725,5.58158e-08
16.75,5.58393e-08
16.775,5.58629e-08
16.8,5.58864e-08
16.825,5.591e-08
16.85,5.59337e-08
16.875,5.59573e-08
16.9,5.5981e-08
16.925,5.60047e-08
16.95,5.60285e-08
16.975,5.60523e-08
17,5.60761e-08
17.025,5.60999e-08
17.05,5.61238e-08
17.075,5.61477e-08
17.1,5.61717e-08
17.125,5.61957e-08
17.15,5.62197e-08
17.175,5.62437e-08
17.2,5.62678e-08
17.225,5.62919e-08
17.25,5.6316e-08
17.275,5.63402e-08
17.3,5.63644e-08
17.325,5.63887e-08
17.35,5.64129e-08
17.375,5.64372e-08
17.4,5.64616e-08
17.425,5.64859e-08
17.45,5.65103e-08
17.475,5.65348e-08
17.5,5.65593e-08
17.525,5.65838e-08
17.55,5.66083e-08
17.575,5.66329e-08
17.6,5.66575e-08
17.625,5.66821e-08
17.65,5.67068e-08
17.675,5.67315e-08
17.7,5.67563e-08
17.725,5.6781e-08
17.75,5.68058e-08
17.775,5.68307e-08
17.8,5.68556e-08
17.825,5.68805e-08
17.85,5.69055e-08
17.875,5.69305e-08
17.9,5.69555e-08
17.925,5.69805e-08
17.95,5.70056e-08
17.975,5.70308e-08
18,5.7056e-08
18.025,5.70812e-08
18.05,5.71064e-08
18.075,5.71317e-08
18.1,5.7157e-08
18.125,5.71824e-08
18.15,5.72078e-08
18.175,5.72332e-08
18.2,5.72587e-08
18.225,5.72842e-08
18.25,5.73098e-08
18.275,5.73354e-08
18.3,5.73611e-08
18.325,5.73868e-08
18.35,5.74125e-08
18.375,5.74383e-08
18.4,5.74641e-08
18.425,5.749e-08
18.45,5.75159e-08
18.475,5.75419e-08
18.5,5.75679e-08
18.525,5.75939e-08
18.55,5.76201e-08
18.575,5.76462e-08
18.6,5.76725e-08
18.625,5.76988e-08
18.65,5.77251e-08
18.675,5.77515e-08
18.7,5.7778e-08
18.725,5.78045e-08
18.75,5.78311e-08
18.775,5.78578e-08
18.8,5.78846e-08
18.825,5.79114e-08
18.85,5.79383e-08
18.875,5.79653e-08
18.9,5.79924e-08
18.925,5.80196e-08
18.95,5.80469e-08
18.975,5.80743e-08
19,5.81018e-08
19.025,5.81295e-08
19.05,5.81572e-08
19.075,5.81851e-08
19.1,5.82132e-08
19.125,5.82414e-08
19.15,5.82697e-08
19.175,5.82983e-08
19.2,5.8327e-08
19.225,5.8356e-08
19.25,5.83851e-08
19.275,5.84145e-08
19.3,5.84441e-08
19.325,5.8474e-08
19.35,5.85042e-08
19.375,5.85348e-08
19.4,5.85656e-08
19.425,5.85968e-08
19.45,5.86285e-08
19.475,5.86605e-08
19.5,5.8693e-08
19.525,5.8726e-08
19.55,5.87596e-08
19.575,5.87937e-08
19.6,5.88285e-08
19.625,5.8864e-08
19.65,5.89002e-08
19.675,5.89373e-08
19.7,5.89752e-08
19.725,5.90141e-08
19.75,5.90541e-08
19.775,5.90952e-08
19.8,5.91375e-08
19.825,5.91811e-08
19.85,5.92263e-08
19.875,5.9273e-08
19.9,5.93214e-08
19.925,5.93718e-08
19.95,5.94242e-08
19.975,5.94788e-08
20,5.95358e-08
20.025,5.95955e-08
20.05,5.96581e-08
20.075,5.97238e-08
20.1,5.97929e-08
20.125,5.98657e-08
20.15,5.99426e-08
20.175,6.00239e-08
20.2,6.01101e-08
20.225,6.02014e-08
20.25,6.02985e-08
20.275,6.04019e-08
20.3,6.0512e-08
20.325,6.06295e-08
20.35,6.07551e-08
20.375,6.08895e-08
20.4,6.10334e-08
20.425,6.11878e-08
20.45,6.13537e-08
20.475,6.15319e-08
20.5,6.17237e-08
20.525,6.19303e-08
20.55,6.21529e-08
20.575,6.23932e-08
20.6,6.26526e-08
20.625,6.29328e-08
20.65,6.32359e-08
20.675,6.35638e-08
20.7,6.39188e-08
20.725,6.43034e-08
20.75,6.47201e-08
20.775,6.51721e-08
20.8,6.56623e-08
20.825,6.61945e-08
20.85,6.67722e-08
20.875,6.73996e-08
20.9,6.80814e-08
20.925,6.88223e-08
20.95,6.96279e-08
20.975,7.05039e-08
21,7.14568e-08
21.025,7.24935e-08
21.05,7.36217e-08
21.075,7.48498e-08
21.1,7.61867e-08
21.125,7.76423e-08
21.15,7.92276e-08
21.175,8.09543e-08
21.2,8.28353e-08
21.225,8.48846e-08
21.25,8.71175e-08
21.275,8.95508e-08
21.3,9.22028e-08
21.325,9.50936e-08
21.35,9.82445e-08
21.375,1.01679e-07
21.4,1.05424e-07
21.425,1.09508e-07
21.45,1.1396e-07
21.475,1.18815e-07
21.5,1.2411e-07
21.525,1.29884e-07
21.55,1.36182e-07
21.575,1.43052e-07
21.6,1.50545e-07
21.625,1.58718e-07
21.65,1.67634e-07
21.675,1.7736e-07
21.7,1.87971e-07
21.725,1.99548e-07
21.75,2.12178e-07
21.775,2.25958e-07
21.8,2.40993e-07
21.825,2.574e-07
21.85,2.75301e-07
21.875,2.94834e-07
21.9,3.1615e-07
21.925,3.3941e-07
21.95,3.64795e-07
21.975,3.92496e-07
22,4.22727e-07
22.025,4.55719e-07
22.05,4.91726e-07
22.075,5.31027e-07
22.1,5.73918e-07
22.125,6.20731e-07
22.15,6.71826e-07
22.175,7.27595e-07
22.2,7.88473e-07
22.225,8.54918e-07
22.25,9.27445e-07
22.275,1.00661e-06
22.3,1.09304e-06
22.325,1.18738e-06
22.35,1.29036e-06
22.375,1.40278e-06
22.4,1.52551e-06
22.425,1.65948e-06
22.45,1.80576e-06
22.475,1.96544e-06
22.5,2.13977e-06
22.525,2.3301e-06
22.55,2.53789e-06
22.575,2.76477e-06
22.6,3.01247e-06
22.625,3.28292e-06
22.65,3.5782e-06
22.675,3.90061e-06
22.7,4.25267e-06
22.725,4.63706e-06
22.75,5.05678e-06
22.775,5.51509e-06
22.8,6.01554e-06
22.825,6.56205e-06
22.85,7.15879e-06
22.875,7.81043e-06
22.9,8.52204e-06
22.925,9.29913e-06
22.95,1.01478e-05
22.975,1.10746e-05
23,1.20867e-05
23.025,1.3192e-05
23.05,1.43991e-05
23.075,1.57175e-05
23.1,1.71574e-05
23.125,1.87299e-05
23.15,2.04473e-05
23.175,2.23231e-05
23.2,2.4372e-05
23.225,2.66096e-05
23.25,2.90536e-05
23.275,3.17231e-05
23.3,3.46389e-05
23.325,3.78239e-05
23.35,4.13026e-05
23.375,4.51023e-05
23.4,4.92528e-05
23.425,5.37864e-05
23.45,5.8739e-05
23.475,6.41484e-05
23.5,7.00574e-05
23.525,7.6512e-05
23.55,8.35627e-05
23.575,9.12652e-05
23.6,9.96785e-05
23.625,0.000108869
23.65,0.000118908
23.675,0.000129875
23.7,0.000141855
23.725,0.000154942
23.75,0.000169236
23.775,0.000184851
23.8,0.000201908
23.825,0.000220541
23.85,0.000240893
23.875,0.000263122
23.9,0.000287404
23.925,0.000313925
23.95,0.000342894
23.975,0.000374531
24,0.000409084
24.025,0.000446819
24.05,0.000488028
24.075,0.000533031
24.1,0.000582168
24.125,0.000635819
24.15,0.000694394
