"arc_length","T"
0,44.3268
0.025,44.3268
0.05,44.3268
0.075,44.3267
0.1,44.3267
0.125,44.3266
0.15,44.3266
0.175,44.3265
0.2,44.3264
0.225,44.3263
0.25,44.3262
0.275,44.3261
0.3,44.326
0.325,44.3258
0.35,44.3257
0.375,44.3255
0.4,44.3254
0.425,44.3252
0.45,44.325
0.475,44.3248
0.5,44.3246
0.525,44.3243
0.55,44.3241
0.575,44.3239
0.6,44.3236
0.625,44.3233
0.65,44.323
0.675,44.3228
0.7,44.3224
0.725,44.3221
0.75,44.3218
0.775,44.3215
0.8,44.3211
0.825,44.3208
0.85,44.3204
0.875,44.32
0.9,44.3196
0.925,44.3192
0.95,44.3188
0.975,44.3184
1,44.3179
1.025,44.3175
1.05,44.317
1.075,44.3166
1.1,44.3161
1.125,44.3156
1.15,44.3151
1.175,44.3146
1.2,44.314
1.225,44.3135
1.25,44.313
1.275,44.3124
1.3,44.3118
1.325,44.3112
1.35,44.3107
1.375,44.3101
1.4,44.3094
1.425,44.3088
1.45,44.3082
1.475,44.3075
1.5,44.3069
1.525,44.3062
1.55,44.3055
1.575,44.3048
1.6,44.3041
1.625,44.3034
1.65,44.3027
1.675,44.302
1.7,44.3012
1.725,44.3005
1.75,44.2997
1.775,44.2989
1.8,44.2981
1.825,44.2973
1.85,44.2965
1.875,44.2957
1.9,44.2948
1.925,44.294
1.95,44.2931
1.975,44.2923
2,44.2914
2.025,44.2905
2.05,44.2896
2.075,44.2887
2.1,44.2878
2.125,44.2868
2.15,44.2859
2.175,44.2849
2.2,44.284
2.225,44.283
2.25,44.282
2.275,44.281
2.3,44.28
2.325,44.2789
2.35,44.2779
2.375,44.2769
2.4,44.2758
2.425,44.2747
2.45,44.2737
2.475,44.2726
2.5,44.2715
2.525,44.2704
2.55,44.2692
2.575,44.2681
2.6,44.267
2.625,44.2658
2.65,44.2646
2.675,44.2635
2.7,44.2623
2.725,44.2611
2.75,44.2599
2.775,44.2586
2.8,44.2574
2.825,44.2562
2.85,44.2549
2.875,44.2536
2.9,44.2524
2.925,44.2511
2.95,44.2498
2.975,44.2485
3,44.2471
3.025,44.2458
3.05,44.2445
3.075,44.2431
3.1,44.2417
3.125,44.2404
3.15,44.239
3.175,44.2376
3.2,44.2362
3.225,44.2347
3.25,44.2333
3.275,44.2319
3.3,44.2304
3.325,44.2289
3.35,44.2275
3.375,44.226
3.4,44.2245
3.425,44.223
3.45,44.2214
3.475,44.2199
3.5,44.2184
3.525,44.2168
3.55,44.2152
3.575,44.2137
3.6,44.2121
3.625,44.2105
3.65,44.2089
3.675,44.2072
3.7,44.2056
3.725,44.204
3.75,44.2023
3.775,44.2006
3.8,44.199
3.825,44.1973
3.85,44.1956
3.875,44.1939
3.9,44.1921
3.925,44.1904
3.95,44.1887
3.975,44.1869
4,44.1851
4.025,44.1834
4.05,44.1816
4.075,44.1798
4.1,44.178
4.125,44.1761
4.15,44.1743
4.175,44.1725
4.2,44.1706
4.225,44.1687
4.25,44.1669
4.275,44.165
4.3,44.1631
4.325,44.1612
4.35,44.1592
4.375,44.1573
4.4,44.1554
4.425,44.1534
4.45,44.1514
4.475,44.1495
4.5,44.1475
4.525,44.1455
4.55,44.1435
4.575,44.1414
4.6,44.1394
4.625,44.1374
4.65,44.1353
4.675,44.1332
4.7,44.1312
4.725,44.1291
4.75,44.127
4.775,44.1249
4.8,44.1227
4.825,44.1206
4.85,44.1185
4.875,44.1163
4.9,44.1141
4.925,44.112
4.95,44.1098
4.975,44.1076
5,44.1054
5.025,44.1031
5.05,44.1009
5.075,44.0986
5.1,44.0964
5.125,44.0941
5.15,44.0918
5.175,44.0896
5.2,44.0873
5.225,44.0849
5.25,44.0826
5.275,44.0803
5.3,44.0779
5.325,44.0756
5.35,44.0732
5.375,44.0708
5.4,44.0684
5.425,44.066
5.45,44.0636
5.475,44.0612
5.5,44.0588
5.525,44.0563
5.55,44.0539
5.575,44.0514
5.6,44.0489
5.625,44.0464
5.65,44.0439
5.675,44.0414
5.7,44.0389
5.725,44.0363
5.75,44.0338
5.775,44.0312
5.8,44.0287
5.825,44.0261
5.85,44.0235
5.875,44.0209
5.9,44.0183
5.925,44.0157
5.95,44.013
5.975,44.0104
6,44.0077
6.025,44.005
6.05,44.0024
6.075,43.9997
6.1,43.997
6.125,43.9943
6.15,43.9915
6.175,43.9888
6.2,43.986
6.225,43.9833
6.25,43.9805
6.275,43.9777
6.3,43.9749
6.325,43.9721
6.35,43.9693
6.375,43.9665
6.4,43.9637
6.425,43.9608
6.45,43.9579
6.475,43.9551
6.5,43.9522
6.525,43.9493
6.55,43.9464
6.575,43.9435
6.6,43.9405
6.625,43.9376
6.65,43.9347
6.675,43.9317
6.7,43.9287
6.725,43.9257
6.75,43.9227
6.775,43.9197
6.8,43.9167
6.825,43.9137
6.85,43.9107
6.875,43.9076
6.9,43.9045
6.925,43.9015
6.95,43.8984
6.975,43.8953
7,43.8922
7.025,43.8891
7.05,43.8859
7.075,43.8828
7.1,43.8797
7.125,43.8765
7.15,43.8733
7.175,43.8701
7.2,43.8669
7.225,43.8637
7.25,43.8605
7.275,43.8573
7.3,43.854
7.325,43.8508
7.35,43.8475
7.375,43.8443
7.4,43.841
7.425,43.8377
7.45,43.8344
7.475,43.831
7.5,43.8277
7.525,43.8244
7.55,43.821
7.575,43.8177
7.6,43.8143
7.625,43.8109
7.65,43.8075
7.675,43.8041
7.7,43.8007
7.725,43.7972
7.75,43.7938
7.775,43.7903
7.8,43.7869
7.825,43.7834
7.85,43.7799
7.875,43.7764
7.9,43.7729
7.925,43.7694
7.95,43.7659
7.975,43.7623
8,43.7588
8.025,43.7552
8.05,43.7516
8.075,43.748
8.1,43.7445
8.125,43.7408
8.15,43.7372
8.175,43.7336
8.2,43.73
8.225,43.7263
8.25,43.7226
8.275,43.719
8.3,43.7153
8.325,43.7116
8.35,43.7079
8.375,43.7041
8.4,43.7004
8.425,43.6967
8.45,43.6929
8.475,43.6892
8.5,43.6854
8.525,43.6816
8.55,43.6778
8.575,43.674
8.6,43.6702
8.625,43.6663
8.65,43.6625
8.675,43.6586
8.7,43.6548
8.725,43.6509
8.75,43.647
8.775,43.6431
8.8,43.6392
8.825,43.6353
8.85,43.6314
8.875,43.6274
8.9,43.6235
8.925,43.6195
8.95,43.6155
8.975,43.6116
9,43.6076
9.025,43.6036
9.05,43.5995
9.075,43.5955
9.1,43.5915
9.125,43.5874
9.15,43.5834
9.175,43.5793
9.2,43.5752
9.225,43.5711
9.25,43.567
9.275,43.5629
9.3,43.5588
9.325,43.5546
9.35,43.5505
9.375,43.5463
9.4,43.5422
9.425,43.538
9.45,43.5338
9.475,43.5296
9.5,43.5254
9.525,43.5211
9.55,43.5169
9.575,43.5127
9.6,43.5084
9.625,43.5041
9.65,43.4999
9.675,43.4956
9.7,43.4913
9.725,43.487
9.75,43.4826
9.775,43.4783
9.8,43.474
9.825,43.4696
9.85,43.4652
9.875,43.4609
9.9,43.4565
9.925,43.4521
9.95,43.4477
9.975,43.4433
10,43.4388
10.025,43.4344
10.05,43.4299
10.075,43.4255
10.1,43.421
10.125,43.4165
10.15,43.412
10.175,43.4075
10.2,43.403
10.225,43.3985
10.25,43.394
10.275,43.3894
10.3,43.3849
10.325,43.3803
10.35,43.3757
10.375,43.3711
10.4,43.3665
10.425,43.3619
10.45,43.3573
10.475,43.3527
10.5,43.348
10.525,43.3434
10.55,43.3387
10.575,43.3341
10.6,43.3294
10.625,43.3247
10.65,43.32
10.675,43.3153
10.7,43.3106
10.725,43.3058
10.75,43.3011
10.775,43.2963
10.8,43.2916
10.825,43.2868
10.85,43.282
10.875,43.2772
10.9,43.2724
10.925,43.2676
10.95,43.2628
10.975,43.258
11,43.2531
