"arc_length","T"
40.9,101.688
41,101.64
41.1,101.591
41.2,101.542
41.3,101.493
41.4,101.444
41.5,101.395
41.6,101.346
41.7,101.297
41.8,101.248
41.9,101.199
42,101.149
42.1,101.1
42.2,101.051
42.3,101.001
42.4,100.952
42.5,100.902
42.6,100.852
42.7,100.803
42.8,100.753
42.9,100.703
43,100.653
43.1,100.603
43.2,100.553
43.3,100.503
43.4,100.453
43.5,100.402
43.6,100.352
43.7,100.302
43.8,100.251
43.9,100.201
44,100.15
44.1,100.1
44.2,100.049
44.3,99.9984
44.4,99.9476
44.5,99.8967
44.6,99.8458
44.7,99.7948
44.8,99.7438
44.9,99.6926
45,99.6414
45.1,99.5902
45.2,99.5389
45.3,99.4875
45.4,99.436
45.5,99.3845
45.6,99.3329
45.7,99.2813
45.8,99.2296
45.9,99.1778
46,99.1259
46.1,99.074
46.2,99.022
46.3,98.9699
46.4,98.9178
46.5,98.8656
46.6,98.8133
46.7,98.761
46.8,98.7086
46.9,98.6561
47,98.6036
47.1,98.551
47.2,98.4983
47.3,98.4455
47.4,98.3927
47.5,98.3398
47.6,98.2868
47.7,98.2338
47.8,98.1807
47.9,98.1275
48,98.0743
48.1,98.0209
48.2,97.9675
48.3,97.9141
48.4,97.8605
48.5,97.8069
48.6,97.7532
48.7,97.6994
48.8,97.6456
48.9,97.5917
49,97.5377
49.1,97.4836
49.2,97.4295
49.3,97.3753
49.4,97.321
49.5,97.2666
49.6,97.2122
49.7,97.1576
49.8,97.103
49.9,97.0484
50,96.9936
50.1,96.9388
50.2,96.8839
50.3,96.8289
50.4,96.7738
50.5,96.7187
50.6,96.6635
50.7,96.6082
50.8,96.5528
50.9,96.4974
51,96.4418
51.1,96.3862
51.2,96.3305
51.3,96.2747
51.4,96.2189
51.5,96.1629
51.6,96.1069
51.7,96.0508
51.8,95.9946
51.9,95.9384
52,95.882
52.1,95.8256
52.2,95.7691
52.3,95.7125
52.4,95.6558
52.5,95.599
52.6,95.5422
52.7,95.4852
52.8,95.4282
52.9,95.3711
53,95.3139
53.1,95.2567
53.2,95.1993
53.3,95.1418
53.4,95.0843
53.5,95.0267
53.6,94.969
53.7,94.9112
53.8,94.8533
53.9,94.7953
54,94.7372
54.1,94.6791
54.2,94.6208
54.3,94.5625
54.4,94.5041
54.5,94.4456
54.6,94.387
54.7,94.3283
54.8,94.2695
54.9,94.2106
55,94.1516
55.1,94.0926
55.2,94.0334
55.3,93.9742
55.4,93.9148
55.5,93.8554
55.6,93.7959
55.7,93.7362
55.8,93.6765
55.9,93.6167
56,93.5568
56.1,93.4968
56.2,93.4367
56.3,93.3765
56.4,93.3162
56.5,93.2558
56.6,93.1953
56.7,93.1347
56.8,93.074
56.9,93.0132
57,92.9523
57.1,92.8913
57.2,92.8302
57.3,92.7691
57.4,92.7078
57.5,92.6464
57.6,92.5849
57.7,92.5233
57.8,92.4616
57.9,92.3998
58,92.3379
58.1,92.2759
58.2,92.2138
58.3,92.1515
58.4,92.0892
58.5,92.0268
58.6,91.9642
58.7,91.9016
58.8,91.8389
58.9,91.776
59,91.713
59.1,91.65
59.2,91.5868
59.3,91.5235
59.4,91.4601
59.5,91.3966
59.6,91.333
59.7,91.2692
59.8,91.2054
59.9,91.1414
60,91.0774
60.1,91.0132
60.2,90.9489
60.3,90.8845
60.4,90.82
60.5,90.7553
60.6,90.6906
60.7,90.6257
60.8,90.5607
60.9,90.4956
61,90.4304
61.1,90.3651
61.2,90.2996
61.3,90.234
61.4,90.1683
61.5,90.1025
61.6,90.0366
61.7,89.9705
61.8,89.9044
61.9,89.8381
62,89.7717
62.1,89.7051
62.2,89.6384
62.3,89.5717
62.4,89.5047
62.5,89.4377
62.6,89.3705
62.7,89.3032
62.8,89.2358
62.9,89.1683
63,89.1006
63.1,89.0328
63.2,88.9649
63.3,88.8968
63.4,88.8286
63.5,88.7603
63.6,88.6918
63.7,88.6232
63.8,88.5545
63.9,88.4856
64,88.4167
64.1,88.3475
64.2,88.2783
64.3,88.2089
64.4,88.1393
64.5,88.0697
64.6,87.9999
64.7,87.9299
64.8,87.8598
64.9,87.7896
65,87.7192
65.1,87.6487
65.2,87.5781
65.3,87.5073
65.4,87.4363
65.5,87.3653
65.6,87.294
65.7,87.2227
65.8,87.1511
65.9,87.0795
66,87.0077
66.1,86.9357
66.2,86.8636
66.3,86.7913
66.4,86.7189
66.5,86.6464
66.6,86.5736
66.7,86.5008
66.8,86.4278
66.9,86.3546
67,86.2812
67.1,86.2078
67.2,86.1341
67.3,86.0603
67.4,85.9863
67.5,85.9122
67.6,85.8379
67.7,85.7635
67.8,85.6889
67.9,85.6141
68,85.5392
68.1,85.4641
68.2,85.3889
68.3,85.3134
68.4,85.2378
68.5,85.1621
68.6,85.0861
68.7,85.01
68.8,84.9338
68.9,84.8573
69,84.7807
69.1,84.7039
69.2,84.627
69.3,84.5498
69.4,84.4725
69.5,84.395
69.6,84.3173
69.7,84.2395
69.8,84.1615
69.9,84.0833
70,84.0049
70.1,83.9263
70.2,83.8475
70.3,83.7686
70.4,83.6894
70.5,83.6101
70.6,83.5306
70.7,83.4509
70.8,83.371
70.9,83.2909
71,83.2107
71.1,83.1302
71.2,83.0495
71.3,82.9687
71.4,82.8876
71.5,82.8064
71.6,82.7249
71.7,82.6433
71.8,82.5614
71.9,82.4793
72,82.3971
72.1,82.3146
72.2,82.2319
72.3,82.149
72.4,82.0659
72.5,81.9826
72.6,81.8991
72.7,81.8154
72.8,81.7314
72.9,81.6473
73,81.5629
73.1,81.4783
73.2,81.3935
73.3,81.3084
73.4,81.2231
73.5,81.1377
73.6,81.0519
73.7,80.966
73.8,80.8798
73.9,80.7934
74,80.7068
74.1,80.6199
74.2,80.5328
74.3,80.4455
74.4,80.3579
74.5,80.2701
74.6,80.182
74.7,80.0937
74.8,80.0052
74.9,79.9164
75,79.8274
75.1,79.7381
75.2,79.6486
75.3,79.5588
75.4,79.4687
75.5,79.3784
75.6,79.2879
75.7,79.1971
75.8,79.106
75.9,79.0146
76,78.923
76.1,78.8312
76.2,78.739
76.3,78.6466
76.4,78.5539
76.5,78.461
76.6,78.3678
76.7,78.2743
76.8,78.1805
76.9,78.0864
77,77.992
77.1,77.8974
77.2,77.8025
77.3,77.7073
77.4,77.6117
77.5,77.5159
77.6,77.4198
77.7,77.3234
77.8,77.2267
77.9,77.1297
78,77.0324
78.1,76.9348
78.2,76.8368
78.3,76.7386
78.4,76.64
78.5,76.5412
78.6,76.442
78.7,76.3424
78.8,76.2426
78.9,76.1424
79,76.0419
79.1,75.9411
79.2,75.8399
79.3,75.7384
79.4,75.6365
79.5,75.5343
79.6,75.4318
79.7,75.3289
79.8,75.2256
79.9,75.122
80,75.0181
80.1,74.9137
80.2,74.809
80.3,74.704
80.4,74.5986
80.5,74.4928
80.6,74.3866
80.7,74.28
80.8,74.1731
80.9,74.0658
81,73.958
81.1,73.8499
81.2,73.7414
81.3,73.6325
81.4,73.5232
81.5,73.4135
81.6,73.3033
81.7,73.1928
81.8,73.0818
81.9,72.9704
82,72.8586
82.1,72.7464
82.2,72.6337
82.3,72.5205
82.4,72.407
82.5,72.293
82.6,72.1785
82.7,72.0636
82.8,71.9482
82.9,71.8324
83,71.7161
83.1,71.5993
83.2,71.482
83.3,71.3643
83.4,71.246
83.5,71.1273
83.6,71.0081
83.7,70.8884
83.8,70.7681
83.9,70.6474
84,70.5261
84.1,70.4043
84.2,70.282
84.3,70.1591
84.4,70.0358
84.5,69.9118
84.6,69.7873
84.7,69.6623
84.8,69.5367
84.9,69.4105
85,69.2837
85.1,69.1564
85.2,69.0285
85.3,68.8999
85.4,68.7708
85.5,68.6411
85.6,68.5107
85.7,68.3797
85.8,68.2481
85.9,68.1159
86,67.983
86.1,67.8495
86.2,67.7153
86.3,67.5804
86.4,67.4449
86.5,67.3086
86.6,67.1717
86.7,67.0341
86.8,66.8957
86.9,66.7567
87,66.6169
87.1,66.4764
87.2,66.3351
87.3,66.1931
87.4,66.0503
87.5,65.9068
87.6,65.7624
87.7,65.6173
87.8,65.4713
87.9,65.3246
88,65.177
88.1,65.0285
88.2,64.8792
88.3,64.7291
88.4,64.578
88.5,64.4261
88.6,64.2733
88.7,64.1196
88.8,63.9649
88.9,63.8093
89,63.6528
89.1,63.4952
89.2,63.3367
89.3,63.1772
89.4,63.0167
89.5,62.8552
89.6,62.6926
89.7,62.5289
89.8,62.3642
89.9,62.1983
90,62.0314
90.1,61.8633
90.2,61.6941
90.3,61.5237
90.4,61.3522
90.5,61.1794
90.6,61.0054
90.7,60.8301
90.8,60.6536
90.9,60.4757
91,60.2966
91.1,60.1161
91.2,59.9343
91.3,59.751
91.4,59.5664
91.5,59.3803
91.6,59.1927
91.7,59.0037
91.8,58.8131
91.9,58.6209
92,58.4272
92.1,58.2318
92.2,58.0348
92.3,57.8361
92.4,57.6357
92.5,57.4335
92.6,57.2296
92.7,57.0238
92.8,56.8161
92.9,56.6065
93,56.3949
93.1,56.1814
93.2,55.9658
93.3,55.7481
93.4,55.5283
93.5,55.3062
93.6,55.0819
93.7,54.8553
93.8,54.6264
93.9,54.395
94,54.1611
94.1,53.9247
94.2,53.6856
94.3,53.4439
94.4,53.1994
94.5,52.952
94.6,52.7018
94.7,52.4485
94.8,52.1921
94.9,51.9326
95,51.6697
95.1,51.4035
95.2,51.1338
95.3,50.8604
95.4,50.5834
95.5,50.3025
95.6,50.0177
95.7,49.7287
95.8,49.4354
95.9,49.1377
96,48.8355
96.1,48.5285
96.2,48.2166
96.3,47.8995
96.4,47.5772
96.5,47.2492
96.6,46.9155
96.7,46.5757
96.8,46.2296
96.9,45.8769
97,45.5173
97.1,45.1505
97.2,44.7761
97.3,44.3936
97.4,44.0027
97.5,43.603
97.6,43.1939
97.7,42.7748
97.8,42.3452
97.9,41.9045
98,41.4519
98.1,40.9865
98.2,40.5075
98.3,40.0139
98.4,39.5047
98.5,38.9785
98.6,38.4339
98.7,37.8693
98.8,37.2828
98.9,36.6723
99,36.0352
99.1,35.3688
99.2,34.6694
99.3,33.9326
99.4,33.1537
99.5,32.3261
99.6,31.4421
99.7,30.4908
99.8,29.4588
99.9,28.3279
100,27.0716
