"arc_length","N"
0,1
0.1,1.00028
0.2,1.00057
0.3,1.00085
0.4,1.00114
0.5,1.00143
0.6,1.00171
0.7,1.002
0.8,1.00228
0.9,1.00257
1,1.00286
1.1,1.00315
1.2,1.00344
1.3,1.00372
1.4,1.00401
1.5,1.0043
1.6,1.00459
1.7,1.00488
1.8,1.00517
1.9,1.00547
2,1.00576
2.1,1.00605
2.2,1.00634
2.3,1.00663
2.4,1.00693
2.5,1.00722
2.6,1.00751
2.7,1.00781
2.8,1.0081
2.9,1.0084
3,1.00869
3.1,1.00899
3.2,1.00928
3.3,1.00958
3.4,1.00988
3.5,1.01017
3.6,1.01047
3.7,1.01077
3.8,1.01107
3.9,1.01137
4,1.01167
4.1,1.01196
4.2,1.01226
4.3,1.01256
4.4,1.01287
4.5,1.01317
4.6,1.01347
4.7,1.01377
4.8,1.01407
4.9,1.01438
5,1.01468
5.1,1.01498
5.2,1.01529
5.3,1.01559
5.4,1.0159
5.5,1.0162
5.6,1.01651
5.7,1.01681
5.8,1.01712
5.9,1.01743
6,1.01773
6.1,1.01804
6.2,1.01835
6.3,1.01866
6.4,1.01897
6.5,1.01928
6.6,1.01959
6.7,1.0199
6.8,1.02021
6.9,1.02052
7,1.02083
7.1,1.02114
7.2,1.02145
7.3,1.02177
7.4,1.02208
7.5,1.02239
7.6,1.02271
7.7,1.02302
7.8,1.02334
7.9,1.02365
8,1.02397
8.1,1.02428
8.2,1.0246
8.3,1.02492
8.4,1.02524
8.5,1.02555
8.6,1.02587
8.7,1.02619
8.8,1.02651
8.9,1.02683
9,1.02715
9.1,1.02747
9.2,1.02779
9.3,1.02811
9.4,1.02844
9.5,1.02876
9.6,1.02908
9.7,1.02941
9.8,1.02973
9.9,1.03005
10,1.03038
10.1,1.0307
10.2,1.03103
10.3,1.03136
10.4,1.03168
10.5,1.03201
10.6,1.03234
10.7,1.03267
10.8,1.03299
10.9,1.03332
11,1.03365
11.1,1.03398
11.2,1.03431
11.3,1.03464
11.4,1.03498
11.5,1.03531
11.6,1.03564
11.7,1.03597
11.8,1.03631
11.9,1.03664
12,1.03697
12.1,1.03731
12.2,1.03764
12.3,1.03798
12.4,1.03832
12.5,1.03865
12.6,1.03899
12.7,1.03933
12.8,1.03967
12.9,1.04001
13,1.04034
13.1,1.04068
13.2,1.04102
13.3,1.04137
13.4,1.04171
13.5,1.04205
13.6,1.04239
13.7,1.04273
13.8,1.04308
13.9,1.04342
14,1.04376
14.1,1.04411
14.2,1.04445
14.3,1.0448
14.4,1.04515
14.5,1.04549
14.6,1.04584
14.7,1.04619
14.8,1.04654
14.9,1.04689
15,1.04724
15.1,1.04759
15.2,1.04794
15.3,1.04829
15.4,1.04864
15.5,1.04899
15.6,1.04934
15.7,1.0497
15.8,1.05005
15.9,1.0504
16,1.05076
16.1,1.05111
16.2,1.05147
16.3,1.05183
16.4,1.05218
16.5,1.05254
16.6,1.0529
16.7,1.05326
16.8,1.05362
16.9,1.05398
17,1.05434
17.1,1.0547
17.2,1.05506
17.3,1.05542
17.4,1.05578
17.5,1.05615
17.6,1.05651
17.7,1.05687
17.8,1.05724
17.9,1.0576
18,1.05797
18.1,1.05834
18.2,1.0587
18.3,1.05907
18.4,1.05944
18.5,1.05981
18.6,1.06018
18.7,1.06055
18.8,1.06092
18.9,1.06129
19,1.06166
19.1,1.06203
19.2,1.0624
19.3,1.06278
19.4,1.06315
19.5,1.06353
19.6,1.0639
19.7,1.06428
19.8,1.06465
19.9,1.06503
20,1.06541
20.1,1.06579
20.2,1.06616
20.3,1.06654
20.4,1.06692
20.5,1.0673
20.6,1.06769
20.7,1.06807
20.8,1.06845
20.9,1.06883
21,1.06922
21.1,1.0696
21.2,1.06999
21.3,1.07037
21.4,1.07076
21.5,1.07114
21.6,1.07153
21.7,1.07192
21.8,1.07231
21.9,1.0727
22,1.07309
22.1,1.07348
22.2,1.07387
22.3,1.07426
22.4,1.07465
22.5,1.07505
22.6,1.07544
22.7,1.07583
22.8,1.07623
22.9,1.07663
23,1.07702
23.1,1.07742
23.2,1.07782
23.3,1.07822
23.4,1.07861
23.5,1.07901
23.6,1.07941
23.7,1.07982
23.8,1.08022
23.9,1.08062
24,1.08102
24.1,1.08143
24.2,1.08183
24.3,1.08224
24.4,1.08264
24.5,1.08305
24.6,1.08346
24.7,1.08386
24.8,1.08427
24.9,1.08468
25,1.08509
25.1,1.0855
25.2,1.08591
25.3,1.08632
25.4,1.08674
25.5,1.08715
25.6,1.08757
25.7,1.08798
25.8,1.0884
25.9,1.08881
26,1.08923
26.1,1.08965
26.2,1.09007
26.3,1.09048
26.4,1.0909
26.5,1.09132
26.6,1.09175
26.7,1.09217
26.8,1.09259
26.9,1.09301
27,1.09344
27.1,1.09386
27.2,1.09429
27.3,1.09472
27.4,1.09514
27.5,1.09557
27.6,1.096
27.7,1.09643
27.8,1.09686
27.9,1.09729
28,1.09772
28.1,1.09816
28.2,1.09859
28.3,1.09902
28.4,1.09946
28.5,1.09989
28.6,1.10033
28.7,1.10077
28.8,1.10121
28.9,1.10164
29,1.10208
29.1,1.10252
29.2,1.10297
29.3,1.10341
29.4,1.10385
29.5,1.10429
29.6,1.10474
29.7,1.10518
29.8,1.10563
29.9,1.10608
30,1.10652
30.1,1.10697
30.2,1.10742
30.3,1.10787
30.4,1.10832
30.5,1.10877
30.6,1.10923
30.7,1.10968
30.8,1.11013
30.9,1.11059
31,1.11105
31.1,1.1115
31.2,1.11196
31.3,1.11242
31.4,1.11288
31.5,1.11334
31.6,1.1138
31.7,1.11426
31.8,1.11472
31.9,1.11519
32,1.11565
32.1,1.11612
32.2,1.11658
32.3,1.11705
32.4,1.11752
32.5,1.11799
32.6,1.11846
32.7,1.11893
32.8,1.1194
32.9,1.11987
33,1.12034
33.1,1.12082
33.2,1.12129
33.3,1.12177
33.4,1.12225
33.5,1.12272
33.6,1.1232
33.7,1.12368
33.8,1.12416
33.9,1.12465
34,1.12513
34.1,1.12561
34.2,1.1261
34.3,1.12658
34.4,1.12707
34.5,1.12755
34.6,1.12804
34.7,1.12853
34.8,1.12902
34.9,1.12951
35,1.13
35.1,1.1305
35.2,1.13099
35.3,1.13149
35.4,1.13198
35.5,1.13248
35.6,1.13298
35.7,1.13347
35.8,1.13397
35.9,1.13448
36,1.13498
36.1,1.13548
36.2,1.13598
36.3,1.13649
36.4,1.13699
36.5,1.1375
36.6,1.13801
36.7,1.13852
36.8,1.13903
36.9,1.13954
37,1.14005
37.1,1.14056
37.2,1.14108
37.3,1.14159
37.4,1.14211
37.5,1.14263
37.6,1.14314
37.7,1.14366
37.8,1.14418
37.9,1.1447
38,1.14523
38.1,1.14575
38.2,1.14628
38.3,1.1468
38.4,1.14733
38.5,1.14786
38.6,1.14838
